title,title_translated,content,link,snippet,source,date
Charging stations: The reason Australians aren’t buying electric cars,Charging stations: The reason Australians aren’t buying electric cars,"Ask Marc England, a power-industry chief executive, why electric vehicles haven’t taken off in Australia and he points to one big program: charging them.

England’s company, Ausgrid, is installing 150 charging stations on streets across greater Sydney, the Hunter Valley and the Central Coast.",https://www.afr.com/companies/transport/the-reason-australians-aren-t-buying-electric-cars-20240619-p5jn6w,"The industry can overcome “range anxiety” by building thousands of charging 
stations across Australia, experts say.",AFR,2024年06月27日
"Electricity storage: To get power bills down, your suburb needs a battery","Electricity storage: To get power bills down, your suburb needs a battery","Australians have installed an estimated 250,000 batteries to store electricity generated by solar panels. The batteries power their homes, recharge electric cars and generate income.

A quarter of a million sounds like a lot. Compared to Australia’s 11 million dwellings, it isn’t. Even as Australians have embraced solar power – about 30 per cent of houses have them – many are reluctant to invest in batteries.",https://www.afr.com/companies/energy/to-get-power-bills-down-your-suburb-needs-a-battery-20240619-p5jn5d,"Australians have installed an estimated 250,000 batteries to store 
electricity generated by solar panels. The batteries power their homes, 
recharge electric...",AFR,2024年06月27日
Cyber attack on Ausgrid could lead to costs of $2.9bn per day,Cyber attack on Ausgrid could lead to costs of $2.9bn per day,"Cyber attack on Ausgrid could lead to costs of $2.9bn per day

Australia’s largest east coast electricity provider has revealed the staggering potential cost of a cyber attack in a submission to the Cyber Security Expert Advisory Board.

In its response to the board’s 2023–30 Australian Cyber Security Strategy: Legislative Reforms Consultation Paper, Ausgrid has said a cyber attack on its systems could cost upwards of $2.9 billion each day that services are disrupted.

“Ausgrid operates a shared electricity network that powers the homes and businesses of more than 4 million Australians living and working in an area that covers over 22,000 square kilometres from the Sydney CBD to the Upper Hunter,” Murray Chandler, Ausgrid’s head of network strategy and future grid, said in the submission, before going into detail on the potential impact of a cyber attack.

============ ============

“As the most populous network area and financial capital of Australia, over 20 per cent of Australia’s GDP is generated within our network area.

“We supply energy to 105 hospitals, Australia’s only radiopharmaceuticals production facility, four of the world‘s top 200 ranking universities, three major ports and 37 per cent of Australia’s financial services industry. This means that a cyber attack on our network, even for a few hours, would severely disrupt lives and livelihoods.”

According to Ausgrid, the cost of an attack that causes a “complete shutdown of our infrastructure” could cost more than $2.9 billion each day, or $120 million per hour of disruption.

“We support the board’s ambitions for Australia to become the most cyber secure nation in the world by 2030 and broadly support the consultation paper,” Chandler said.

Ausgrid’s support may be broad, but the rest of its submission did contain some specific points of contention.

For instance, when it comes to mandatory ransomware reporting, “Ausgrid supports the $10 million per year threshold for mandatory reporting. However, Ausgrid sees merit in lower threshold voluntary reporting so that the government can release case studies and alerts about incidents that impact smaller entities.”

Similarly, Ausgrid does support a 72-hour initial reporting window for ransomware attacks but also notes that detailed reporting is another case entirely.

“We do not recommend a time frame for detailed reporting as it will depend on the complexity of the incident and will need to be agreed upon between relevant parties based on the circumstances,” Ausgrid said.",https://www.cyberdaily.au/security/10588-cyber-attack-on-ausgrid-could-lead-to-costs-of-2-9-billion-per-day,"Ausgrid reveals potential cost of a cyber attack in response to 2023–30 
Australian Cyber Security Strategy: Legislative Reforms Consultation Paper.",Cyber Daily,2024年05月20日
ASX WBC: Westpac to pay ‘risible’ $1.8m fine in insider trading settlement,ASX WBC: Westpac to pay ‘risible’ $1.8m fine in insider trading settlement,"A Federal Court judge has described a $1.8 million penalty agreed with Westpac for trades that netted it more than $20 million in profit as “risible”, after the lender settled an insider trading case brought by the corporate regulator with an admission of unconscionable conduct.

Lawyers for the Australian Securities and Investments Commission and Westpac appeared in Federal Court on Wednesday to rubber stamp an agreement in relation to the bank’s interest rate trading on October 20, 2016, when the $16 billion privatisation of Ausgrid was announced.",https://www.afr.com/companies/financial-services/westpac-to-pay-risible-1-8m-fine-in-insider-trading-settlement-20240131-p5f1ab,"Federal Court judge Michael Lee has lamented the modest penalty Westpac 
will have to pay after it struck an agreement with ASIC over insider 
trading...",AFR,2024年01月31日
"Westpac, ASIC seek deal in Ausgrid insider trading case","Westpac, ASIC seek deal in Ausgrid insider trading case","Westpac is on the cusp of settling a long-running insider trading claim brought by the corporate regulator, ending a long-running legal dispute relating to the bank’s role in the $16 billion privatisation of Ausgrid.

The Australian Securities and Investments Commission and Westpac are scheduled to appear in the Federal Court today after a six-week trial in April was called off last year.",https://www.afr.com/companies/financial-services/westpac-asic-seek-deal-in-ausgrid-insider-trading-case-20240130-p5f106,"The bank and ASIC appear ready to settle allegations Westpac traders broke 
the law, hedging $12 billion of debt relating to the 2016 Ausgrid 
privatisation.",AFR,2024年01月31日
‘Risible’: Federal Court justice slams $9.8m Westpac settlement,‘Risible’: Federal Court justice slams $9.8m Westpac settlement,"Westpac has agreed to pay $9.8 million to the corporate regulator for its unconscionable conduct during a 2016 transaction involving the largest one-time interest rate swap executed in Australian history – a “risible” penalty given the bank’s size and its conduct, the Federal Court has found.

On Wednesday, legal representatives for Westpac and the Australian Securities and Investments Commission (ASIC) appeared before the court in Sydney, where they proposed a settlement for the bank to pay a $1.8 million penalty and $8 million to cover ASIC’s litigation and investigation costs.

ASIC’s allegations of insider trading were dropped against Westpac after the bank agreed to a $9.8 million settlement. Credit: Bloomberg

“The fact that there’s a pecuniary penalty of $1.8 million in these circumstances is something which I think would rightly shock the conscience of a large number of people,” said Federal Court Justice Michael Lee. “It’s a risible amount compared to the nature of the conduct and the size of the organisation.”

Under the settlement terms, Westpac agreed it had engaged in unconscionable conduct, had not clearly and fully disclosed its pre-hedging strategy, and had inadequate training and policies, but ASIC’s original insider trading allegations were dropped.",https://www.smh.com.au/business/banking-and-finance/risible-federal-court-justice-slams-9-8m-westpac-settlement-20240131-p5f1ad.html,"Justice Michael Lee said Westpac's agreement to pay a $1.8 million penalty 
and $8 million for litigation and investigation costs for unconscionable 
conduct...",The Sydney Morning Herald,2024年01月31日
Local bond issuers turn to US private placements,Local bond issuers turn to US private placements,"According to Valladares, Australian issuers with long-term assets are a great match for the US investor base. Given US private placement investors are looking for creditor and geographic diversification, Australia offers a resilient economy matched with a strong regulatory and governance regime which is appealing, particularly in the utilities sector, she says.

One Australian utility which has issued into the USPP market this year is Ausgrid. The company raised over $1.48 billion across four currency pairings and multiple tranches, making it one of the top five foreign US private placement transactions in 2023[2].

“The size of the Ausgrid transaction moved the needle for utilities,” Valladares says.

Michael Bradburn, chief financial officer at Ausgrid.

Ausgrid chief financial officer Michael Bradburn says the USPP market is stable and reliable – which made it a good option for issuance against the backdrop of rising rates and the uncertainty around inflation. Importantly, Ausgrid was an attractive proposition for US investors who are “generally very keen to support Australian companies, especially a regulated utility and repeat issuer like ourselves.”

Facing a sizeable refinancing task, Ausgrid had the challenge of finding a market that would be able to support a strong volume and pricing outcome when the issuer was ready to execute following an extended amendment process, says group treasurer, Ed Waters. “The USPP market is attractive because of its reliability across the cycle and the option to diversify across different tenors meaning we could spread a large volume of issuance across more than one tenor and significantly reduce future refinancing risk,” Waters says.

“This allowed us to blend multiple tenors together ranging from seven to 15 years, creating greater access to capital and an overall larger transaction size. Ausgrid’s distribution network has an important role to play in supporting the NSW’s energy transition and the funding certainty of the USPP market makes it a reliable core issuance market.“

Ed Waters, group treasurer at Ausgrid.

“We were also assisted by CBA as one of three – lead placement agents on the transaction. CBA was very well co-ordinated between relationship and the product teams offshore and onshore. Being under the one roof and the co-ordination between teams was a core part of delivering such a strong and well balanced, price competitive outcome,” Waters says.

CBA’s executive director, real estate and infrastructure, future cities and networks Scott Young, says “In the context of Ausgrid, they will continue to participate in bank and debt capital market issuance into the foreseeable future and it’s expected they’ll be a prominent issuer in various markets in Australia and around the globe.”

Bearing this in mind, Young says CBA works strategically with Ausgrid well in advance of any transaction coming to market.

“We’re continually refining and assisting Ausgrid to better understand their funding needs and being proactive. Working closely with clients is one of the core tenets of what CBA seeks to do.”

Another local company tapping the USPP market this year was AGL Energy, which sought funding to support its role in the nation’s energy transition.

“What we fundamentally like about the USPP market is the tenor,” says AGL’s general manager of capital markets and corporate development, Stephen Brown. “It provides a longer tenor debt product that helps us better balance the treasury book to achieve our diversification goals across tenor, markets and structures.”

Stephen Brown, AGL’s general manager of capital markets and corporate development.

Brown said the CBA team were especially helpful in managing investors and walking them through where Australia is at in its energy transition.

“Bringing that local market knowledge and helping provide that to the US investors enabled us to have more productive conversations and was probably a key value add,” Brown says.

“There are certain States in the US, including California, who are about where we are in the energy transition, but there are some states that are behind. It was interesting seeing a diversity of views from investors on how they’re addressing the transition and from our perspective, really talking about how we are managing, leaning into and delivering on Australia’s energy transition.”

As for CBA’s broader role in the USPP market, the bank provides an end-to-end service supporting Australian and New Zealand corporate issuers. Companies such as Ausgrid and AGL have turned to CBA for risk management solutions including cross currency swaps to convert issuance proceeds into the desired currency and protect against future movements in foreign exchange and interest rates. A key feature of the USPP market is the flexibility it can provide issuers to obtain funding from investors across a range of maturities and currencies on the same transaction.

“Our focus is to work closely with each client to streamline and manage what can be a very intricate swap execution process. Establishing trust and confidence in this aspect of the deal allows our clients to concentrate on all the other competing, time-sensitive priorities supporting the transaction to reach a successful conclusion”, says CBA’s managing director of client risk solutions, Hope Gatis.

This information is published solely for informational purposes. As this information has been prepared without considering your objectives, financial situation or needs, you should, before acting on the information, consider its appropriateness to your circumstances. Commonwealth Bank of Australia ABN 48 123 123 124 and AFSL and Australian Credit Licence 234945.

[1] http://www.privateplacementmonitor.com/

[2] http://www.privateplacementmonitor.com/ - top 5 foreign US Private Placement transactions in CY2023 by volume",https://www.afr.com/companies/financial-services/local-bond-issuers-turn-to-us-private-placements-20230929-p5e8kw,"Early 2023 was a relatively unstable period for debt markets fuelled by 
increasing interest rates, regional US bank failures and rising inflation.",AFR,2023年10月03日
Billions in capital ready to finance the transition,Billions in capital ready to finance the transition,"The scale of new generation and transmission needed for Australia to meet its greenhouse gas targets is enormous, but bankers and fund managers say there is adequate capital ready to be deployed if Australia can get the settings right.

Australia will need more than 141 gigawatts of renewable energy capacity by 2050, a ninefold increase on the current 16 gigawatts capacity of renewable energy, according to the Australian Energy Market Operator’s 2022 Integrated System Plan, which outlines how the National Energy Market will have to change as the economy decarbonises.",https://www.afr.com/policy/energy-and-climate/billions-in-capital-ready-to-finance-the-transition-20230817-p5dxdk,"Banks, super funds and private equity players are all lining up to help 
finance Australian renewable energy projects.",AFR,2023年08月31日
Community batteries hit ‘sweet spot’ for Ausgrid,Community batteries hit ‘sweet spot’ for Ausgrid,"Ben Potter Senior writer Aug 29, 2023 – 5.00am Save Share Copy link Copied Email LinkedIn Twitter Facebook Copy link Copied Share via... Gift this article New Subscribe to gift this article Gift 5 articles to anyone you choose each month when you subscribe. Subscribe now Already a subscriber? Login

Marc England, the chief executive of NSW distribution company Ausgrid, says he’s found a sweet spot in the gap between home batteries and utility scale batteries that could save the state $20 billion on its huge energy storage task.

It’s a “medium-sized” battery with 5 megawatt hours to 10 MWh of energy storage located on Ausgrid’s own land – typically a substation. England reckons it should be able to be installed at just 40 per cent of a residential battery’s cost per kilowatt-hour.",https://www.afr.com/policy/energy-and-climate/community-batteries-hit-sweet-spot-for-ausgrid-20230822-p5dykp,"The CEO of NSW distribution company Ausgrid has found a sweet spot in the 
gap between residential batteries and utility scale batteries that could 
save the...",AFR,2023年08月29日
"Poles and wires super-profits causing energy price spikes, and foreign 
takeovers","Poles and wires super-profits causing energy price spikes, and foreign 
takeovers","A hidden super-profit being levied by network providers is costing Australians a billion dollars a year. Callum Foote reveals new research on the “gold-plating” rip-off which has made this country a haven for foreign billionaires and has enticed financial engineers from Brookfield into splashing $30bn in network takeovers.

When you don’t pay tax, you can afford to pay more in a corporate takeover. That’s Brookfield’s magic. Not a cent in income tax paid by Brookfield’s BPIH on $16bn in total income over 8 years.

The tax haven specialists are now pouncing on Origin Energy in a binding $18.7 billion takeover just a year after snapping up Victorian energy transmitter Ausnet for just shy of $10bn. They had a crack at AGL too. Like Hong Kong billionaires Michael Kadoorie (EnergyAustralia) and Li-ka-Shing (Spark and CKI) they know Australia’s regulators are ripe for gaming. They know super-profits are on the corporate menu for over-charging Australian consumers.

New research from Simon Orme at IEEFA (below) identifies the profiteers, but first, will the Brookfield and EIG takeover for Origin succeed, will it diminish competition?

Possibly not, according to the experts.

Bruce Mountain, Director of Victoria Energy Policy Centre at Victoria University says that “I presume that the ACCC will require strict legal separation of Ausnet from Bookfield’s retail and generation businesses.”

Nod and a wink?

Regarding whether the deal is likely to go ahead, Mountain says that “I presume they have been given the nod on this by the ACCC or they would not have progressed to this point.”

Mountain points to state governments that own generation, retail and network businesses as a model for Brookfield’s planned endeavour. “There is a precedent for this” Mountain says “the Tasmania and Queensland governments own generation, retail and networks.”

Mountain believes that even if it were inclined to do so, the ACCC will have a tough time deciding against the takeover: “I imagine with the precedent, it would have been hard for ACCC to push back.”

Over the last 8 years Brookfield, under its Australian subsidiary BPIH Pty Ltd, has produced $15.8 billion in revenue and not paid a single cent in corporate income tax.

The deal is yet to get its stamp of approval from the ACCC as well as the Foreign Investment Review Board, which is something of a rubber stamp. However, other energy experts say that monopolistic network providers are already levying over a billion dollars in super profits from Australian customers annually.

Prices to rise anyway

Many may not realise it, but east coast governments set a ceiling on energy prices. Called the default market offer in NSW, South East Queensland and South Australia, and the Victoria Default Offer in Victoria, these offers are made to ensure competition underneath the set price.

Energy market expert, Simon Orme says that “Both the Australian Energy Regulator and the Victorian regulator have price comparison sites. Customers can go to this price comparison site and determine whether their current provider is offering lower than the default price.”

Power bills for households in Queensland, NSW and South Australia will rise as much as 23.7% from 1 July if the Australian Energy Regulator’s draft determination, announced on Wednesday, is confirmed. Prices in Victoria may rise by almost a third.

While the majority of the increase in the default offer is a result of rising energy costs resulting from Russia’s invasion of Ukraine, excessive network costs charged by providers account for up to a third of the increase.

A report from the Institute for Energy Economics and Financial Analysis finds that 15–33% of energy bill rises could be avoided if private monopoly electricity networks were no longer allowed to extract supernormal profits.

How the super profits are gassed up

Energy network providers are natural monopolies because it is not efficient to build multiple electricity networks alongside one another.

To ensure that the networks do not exert monopoly pricing power, the AER regulates the prices that these networks charge consumers.

The total cost that networks can recover from consumers is the “regulated revenue”.

The AER sets the “regulated revenue” based on forecasts of the cost of transmitting energy to customers provided by the companies themselves.

Regulated revenue is expected to “to cover the costs of investing in, building, maintaining and operating the networks, plus a reasonable profit to ensure compensation for investors,” says report author Simon Orme.

Gold plating the networks

However, Orme has found that these companies have consistently misrepresented how expensive these factors are by up to a third in some cases.

“AER and the network businesses overestimated the costs that network businesses would require to build, operate and maintain the network. Networks charged those overestimated costs to consumers, and shareholders retained the differences between revenues and costs” Orme says.

The most costly overestimation is financing costs, which Orme says account for half of the super-profits being earned by network businesses.

“Most network businesses are charging consumers significantly more than required to achieve their normal return and pocketing the difference in the form of additional returns” says Orme “However, the AER has decided to let this practice continue for another five years.”

Worst offenders: Ausgrid, Endeavour, Origin

In NSW, which has a new incoming government, supernormal network profits are being extracted in privately owned Endeavour and Ausgrid network areas. This contrasts with publicly owned Essential Energy serving regional NSW where returns are adequate but no more than adequate.

IEEFA’s analysis found that Origin Energy’s subsidiary Endeavour Energy, which services Greater Western Sydney, the Blue Mountains, the Southern Highlands and the Illawarra region charges a 21.1% super-profit on its customers.

Endeavour Energy was formed when the NSW government sold its network to Origin in 2011.

By contrast, Essential Energy, an NSW Government-owned corporation that services rural NSW and parts of southern Queensland, charges no super-profits whatsoever actually taking a 1% haircut on return on investment according to Orme’s analysis.

Another offender is Ausgrid, again formed in 2011 when the NSW sold off its network assets.

Ausgrid, owned in a joint venture between the NSW government and AustralianSuper and IMF investors charges a 9.1% super-profit on the power bills of 1.8 million customers.

Super profits for Hong Kong billionaires too

SAPN, or South Australian Power Networks, sold by the South Australian government to controlling shareholder Hong Kong-based Cheung Kong Infrastructure Holdings, and Australian investment fund Spark Infrastructure charges a 15.5% super-profit to its customers.

On average, excluding publicly owned Essential Energy, network providers are earning a 13-14% super-profit across the east coast and South Australia.

With NSW Labor in power, Orme says that “This is the perfect time for state governments to make changes that families will appreciate by reducing power price rises. Since our report was published last October, no action has been taken to stem supernormal monopoly network profits.",https://michaelwest.com.au/energy-superprofit-brookfield-origin-energy/,"As foreign takeovers swirl, a hidden super-profit is being levied by 
electricity network providers costing Australians $1bn a year.",Michael West Media,2023年04月03日
