title,title_translated,content,link,snippet,source,date
"Chariot Limited – Near Term Production, Long Term Scalability – Shares Are 
Valued Almost Seven Times Current Price","Chariot Limited – Near Term Production, Long Term Scalability – Shares Are 
Valued Almost Seven Times Current Price","“Our primary purpose is to connect the abundance of Africa’s energy resource with energy-hungry urban and industrial sectors as well as underserved populations.”

Chairman George Canjar of Chariot Limited (LON:CHAR)

- Advertisement -

The company declares that its mission is to create value and deliver positive change through investment in projects that are driving the energy revolution.

Subscribe to our newsletter

It claims that energy security and sustainability are at the top of the global agenda, and affordable, accessible energy is critical to enabling the ongoing energy transition.

The Business

The Guernsey-based Chariot is an Africa-focused transitional energy group with three business streams, Transitional Gas, Transitional Power and Green Hydrogen.

- Advertisement -

Transitional Gas – is focused on high value, low risk gas development projects in Morocco, a fast-growing emerging economy, with a clear route to early monetisation, delivery of free cashflow and material exploration upside.

Its Lixus Offshore license covers an area of approximately 1,794 sq.km. The area has data coverage with 3D seismic data covering approximately 1,425 sq.km and five exploration wells, including the Anchois-1 and Anchois-2 discovery wells.

Transitional Power – is focused on providing competitive, sustainable and reliable energy and water solutions across the continent through building, generating and trading renewable power.

Green Hydrogen – is partnering with TEH2 (80% owned by TotalEnergies, 20% by the EREN Group) and the Government of Mauritania on the potential development of a 10GW green hydrogen project, the Project Nour covering two onshore areas over 5,000 sq.km across Northern Mauritania, and it is progressing pilot projects in Morocco.

Deal With Vivo Energy

Last week the group announced that it had signed a Heads of Terms agreement with Vivo Energy regarding future natural gas offtake from the Loukos Onshore licence in Morocco.

Vivo Energy, is a market-leading, pan-African retailer and distributor of high-quality fuels and lubricants with a long-standing presence in Morocco’s petroleum products’ sector.

Through Vivo Energy Maroc, it operates a network of over 400 service stations, supplying commercial and industrial customers across a number of sectors in the Kingdom.

The aim of the agreement is to set out the next steps for implementing a gas-to-industry strategy business, through commercialisation of domestic gas and the creation of a midstream compressed natural gas partnership to supply Morocco’s growing industrial energy needs.

Chariot intends to sell initial volumes of up to 3MMscf/d to the midstream CNG business; additionally, Vivo Energy intends to design, fund, construct and operate a CNG plant and virtual distribution network to transport natural gas.

This midstream CNG business would be operated though a special purpose vehicle in which Chariot can participate up to a 49% interest.

The group will be able to leverage Vivo’s existing Moroccan customer base, allowing it to quickly gain traction into a rapidly growing market.

News Due With Joint Venture Partner Energean

Chariot and its JV partner Energean are expected to spud the offshore Anchois East appraisal/development well in August.

The drilling and testing campaign will further appraise the existing gas sands and target undrilled prospective resources to potentially increase the Anchois gas development to >1Tcf.

Success has the potential to upscale the development and lead to FID shortly thereafter, unlocking further material cash flows from the Energean partnering transaction.

Analyst’s Views

Stephane Foucaud at Auctus considers that the Chariot Core NAV is 30p and the Sum of the Parts valuation is 50p per share.

The high impact Anchois East well continues to be expected to spud in August. A drilling success could increase the size of Anchois to over 1 tcf (300 bcf net to Chariot).

Its overall unrisked NAV for Anchois, including Anchois East Footwall and Anchois East North Flank, is £0.42 per share, which represents nearly six times the current share price.

Foucaud notes that testing of the company’s Dartois discovery onshore Morocco is expected to take place in 3Q24.

At Cavendish Capital Markets analyst James McCormick has a 57.7p Price Objective out on the company’s shares, which are now trading at around at 7.0p, valuing the whole group at a mere £75m.",https://ukinvestormagazine.co.uk/chariot-limited-near-term-production-long-term-scalability-shares-are-valued-almost-seven-times-current-price/,"“Our primary purpose is to connect the abundance of Africa's energy 
resource with energy-hungry urban and industrial sectors as well as 
underserved...",UK Investor Magazine,2024年07月04日
A potential catalyst for Chariot's shares,A potential catalyst for Chariot's shares,"Net cash of $7.9mn on 30 April 2024

Forecast cash deficit in funding position from July 2024

Multiple expressions of interest for funding transitional power unit

Aim-traded shares in Africa-focused transitional energy group Chariot (CHAR:7.15p) have lost 16 per cent of their value after the board forecast a cash deficit in its funding position from July 2024.

On 30 April 2024, the debt-free group had cash of $7.9mn (£6.2mn), trade and other receivables of $1.3mn, inventories of $2.2mn and trade and other payables of $3.2mn. Over the 1 May 2024 to 31 December 2025 forecast period, the directors estimate gross cash outflows for the following parts of the group: Anchois offshore gas project, Morocco ($6.5mn); Loukos onshore gas development, Morocco ($6.7mn – the remaining cost of drilling two wells); Transitional Power business ($3.6mn); Green hydrogen division ($1.4mn); and corporate general and administration costs ($7.2mn).",https://www.investorschronicle.co.uk/ideas/2024/06/18/a-potential-catalyst-for-chariot-s-shares/,"Aim-traded shares in Africa-focused transitional energy group Chariot 
(CHAR:7.15p) have lost 16 per cent of their value after the board forecast 
a cash...",Investors' Chronicle,2024年06月18日
South African gas supply risks highlight transition’s baseload challenge,South African gas supply risks highlight transition’s baseload challenge,"A major source of natural gas for South Africa could be constrained as soon as 2025, with declining reserves at Mozambique’s Pande and Temane fields potentially leading to supply shortages. South Africa will need to secure new sources of feedstock if it is to develop the gas-to-power projects that many see as essential to provide baseload for the renewable energy sector that African Energy Live Data shows is gaining momentum.",https://www.africa-energy.com/news-centre/article/south-african-gas-supply-risks-highlight-transitions-baseload,"South Africa faces a potential natural gas supply crunch, just as it is 
planning to increase the role of gas-to-power (GTP) schemes to offer a 
cleaner...",African Energy,2024年05月13日
潘蘇通破產案未完債主又殺到 銀行入稟追數兼收回中半山單位,"Pan Sutong's bankruptcy case has not yet been completed, and the creditors have come again. The bank has filed a lawsuit to pursue the debt and repossess the Mid-Levels unit.","近年屢傳財困、已辭任高銀金融主席及執行董事職務的潘蘇通，早前因其全資持有的Silver Starlight Limited(下稱「公司」)未有清還80億港元貸款，被高院頒令破產，公司亦遭下令清盤。潘及公司已就高院的判決提出上訴。至上周五(26日)，潘蘇通及其一間關聯公司再被銀行入稟高等法院，要求追討按揭款項，及收回潘位於中半山富匯豪庭的單位。司法機構網頁顯示，本案暫未排期聆訊。

原告是上海商業銀行有限公司，兩名被告依次是潘蘇通及Chariot Power Investments Limited，據入稟狀指，2020年1月14日，就着中半山寶雲道2號富匯豪庭1座27樓B室，原告與兩名被告做按揭貸款，潘蘇通是按揭人，次被告作為借款方，原告是承按人。原告現入稟要求潘蘇通交吉單位，以及要求次被告根據2019年12月31日所簽訂的貸款通知書，支付所有款項連利息，同時要求兩名被告支付本訴訟所衍生的訟費，加上進一步或其他濟助。

據早前報道指，潘蘇通雖然於2022年7月被頒令破產，但因潘未有現身到庭交代其財務狀況，因此法庭在2023年2月批准債務受託人的「不開始令」申請，意指暫不開始計算潘的破產期，直至他與受託人會面為止，這亦意味其4年破產令將會延長。另外，法庭在2023年10月頒判詞指，就潘蘇通的欠債問題，眾債權人於2022年8月舉行債權會議，會議最終裁定潘現時共欠中銀深圳560億港元。但其中一名債權人Seashore Global Group Ltd表明反對。法官最終判定該560億港元均屬潘的欠債。

潘及其公司不服破產及清盤裁決並提出上訴，上訴庭今年1月開庭處理。上訴方當時批評原審法官犯錯，使用錯誤測試原則及門檻去考慮，要求撤銷破產及清盤令，並要求把追款案發還重審。上訴庭當日聽畢雙方陳詞後，表示會於半年內頒發書面裁決。

案件編號：HCMP 709 / 2024",https://hk.on.cc/hk/bkn/cnt/news/20240429/bkn-20240429130659408-0429_00822_001.html,"近年屢傳財困、已辭任高銀金融主席及執行董事職務的潘蘇通，早前因其全資持有的Silver Starlight 
Limited(下稱「公司」)未有清還80億港元貸款，被高院頒令破產，公司亦...",on.cc東網,2024年04月29日
潘蘇通再被入稟追討 上商要求收回富匯豪庭單位 (15:49) - 20240429 - 即時財經新聞,Pan Sutong was again sued and Shangshang requested to take back the unit in Fortune Palace (15:49) - 20240429 - Real-time financial news,"該行現要求收回該富匯豪庭單位，並要求Chariot Power根據2019年12月31日簽署的貸款通知書條款，支付所有按揭本金及利息。同時，亦要求潘及Chariot Power支付一切訴訟衍生的費用等。

繼潘蘇通私人持有的豪宅樓盤何文田「傲玟」被接管後，去年初便已傳出潘蘇通名下的富匯豪庭單位已淪為銀主盤，不過當時傳出的是1座高層A、B室，是相連單位。

至於今年初，就高院原訟庭於2022年中頒令潘蘇通破產及其公司清盤一案，潘蘇通不服上訴，其後獲上訴庭押後裁決。

其他報道

宏利與渣打香港就私銀業務建立分銷伙伴合作安排

人行地方分支行據報指導部分區域性銀行控制超長債投資

許家印前妻丁玉梅被入稟追討近8.6億

內地銀行據報限制涉俄交易業務 避免被美國制裁

平安壹賬通去年虧損1.8億 貸存比率升至84%

滬深三大指數高收 兩市成交額連續第二日破萬億人幣

調查：中小企打工仔盼今年加薪5.6% 八成員工視福利為去留關鍵

日本出手干預匯市？財務官神田真人不予置評

日圓反彈逾1%兌港元重上5算 外電指央行入市干預

調查：首季本港37%受訪餐廳外賣收入有增長

【有片：埋身擊】納指後市料維持大型區間波動 宜高沽低買

蘇新服務棄在港購寫字樓 改IPO資金用於蘇州投地

保監打擊向內地客無牌銷售保單 友邦：已暫停涉案經紀的新業務

多隻「出險」內房升逾2成 成都今起取消限購

恒指一度重上萬八點 5個月來首次 半日升226點 碧服升8.6% 內房熱炒

友邦料75%目標派付率可以持續 加碼回購為減少空窗期

傳上市前融資目標市值200億美元 小紅書否認

港元拆息全線向上 一個月HIBOR創近兩周高

滬深三大指數全線走高 滬指收復3100點大關

日圓兌美元34年來首跌穿160 兌港元見4.91算 瑞穗銀行：可能是「肥手指」交易

中集車輛：美國當局認定旗下公司無違規進口商品行為

旭輝與債券持有人原則上達成一致 股價曾升25%

滬深三大指數個別發展 人行進行20億人幣逆回購",https://finance.mingpao.com/fin/instantf/20240429/1714377375389/%E6%BD%98%E8%98%87%E9%80%9A%E5%86%8D%E8%A2%AB%E5%85%A5%E7%A8%9F%E8%BF%BD%E8%A8%8E-%E4%B8%8A%E5%95%86%E8%A6%81%E6%B1%82%E6%94%B6%E5%9B%9E%E5%AF%8C%E5%8C%AF%E8%B1%AA%E5%BA%AD%E5%96%AE%E4%BD%8D,"高銀金融前主席、富豪潘蘇通再被入稟追討，據入稟狀顯示，被告為潘蘇通及旗下公司Chariot Power Investments 
Limited，原告為上海商業銀行。上商入稟指，Chariot Power...",明報財經網,2024年04月29日
高銀前主席潘蘇通遭銀行入稟 要求清還貸款及交出按揭單位,"Pan Sutong, the former chairman of Goldin, was filed by the bank and required to repay the loan and hand over the mortgage unit.","高銀金融前主席潘蘇通去年遭頒令破產，現正上訴，潘蘇通旗下公司2019年除夕向上海商業銀行貸款，翌月中再按揭了名下半山富匯豪庭2座一個單位。上海商業銀行上周五入稟高等法院，要求潘蘇通及其公司清還欠款及交出單位。

原告為上海商業銀行有限公司，被告分別為潘蘇通及其全資擁有公司Chariot Power Investments Limited。

案件編號：HCMP709/2024

法庭記者：陳子豪

---

《星島申訴王》推出全新項目「區區有申訴」，並增設「我要讚佢」欄目，現誠邀市民投稿讚揚身邊好人好事，共建更有愛社區。立即「我要讚佢」︰ https://bit.ly/3uJ3yyF

緊貼最新最快新聞資訊，請立即下載星島頭條App：https://bit.ly/3Q29Vow",https://www.stheadline.com/society/3339864/%E9%AB%98%E9%8A%80%E5%89%8D%E4%B8%BB%E5%B8%AD%E6%BD%98%E8%98%87%E9%80%9A%E9%81%AD%E9%8A%80%E8%A1%8C%E5%85%A5%E7%A8%9F-%E8%A6%81%E6%B1%82%E6%B8%85%E9%82%84%E8%B2%B8%E6%AC%BE%E5%8F%8A%E4%BA%A4%E5%87%BA%E6%8C%89%E6%8F%AD%E5%96%AE%E4%BD%8D,高銀金融前主席潘蘇通去年遭頒令破產，現正上訴，潘蘇通旗下公司2019年除夕向上海商業銀行貸款，翌月中再按揭了名下半山富匯豪庭2座一個單位。上海商業銀行上周五入稟...,星島頭條,2024年04月29日
"Zambia And SkyPower Global Partner For 1,000 MW Solar Energy Project","Zambia And SkyPower Global Partner For 1,000 MW Solar Energy Project","SkyPower Global, an independent power producer headquartered in Canada, has entered into a power purchase agreement (PPA) with Zambia’s state-owned utility ZESCO Ltd to supply 1,000 MW of solar energy to the Southern African nation. The agreement, announced jointly by both companies in a press release, supports the Green Giant Zambia project, which aims to provide electricity to approximately 4 million households, stimulate employment opportunities, and bolster Zambia’s economy reliant on copper mining with more renewable energy.

President Hakainde Hichilema highlighted the significance of the Green Giant Zambia project within the framework of Zambia’s Integrated Renewable Energy Plan, particularly amidst the prevailing drought conditions due to climate change. The initiative seeks to significantly expand Zambia’s renewable energy capacity to address both present and future energy requirements, as the country strives to boost industrial productivity and achieve an annual copper production of over 3 million metric tonnes.

While specific details about the project were not disclosed, the initiative mirrors SkyPower’s DRC Green Giant project in the Democratic Republic of the Congo, which transitioned from a PPA between SkyPower and the state-owned utility SNEL to a 200-MW first phase development agreement earlier this year.

Last year, President Hichilema welcomed solar energy investments by Masdar from the UAE, emphasizing that Zambia had only developed 3,500 MW of generation capacity since gaining independence.

Like this: Like Loading...",https://solarquarter.com/2024/04/29/zambia-and-skypower-global-partner-for-1000-mw-solar-energy-project/,"SkyPower Global, a Canadian independent power producer, has inked a power 
purchase agreement (PPA) with Zambia's state-owned utility ZESCO Ltd to 
deliver...",SolarQuarter,2024年04月29日
高銀前主席潘蘇通遭銀行入稟 要求清還貸款及交出按揭單位,"Pan Sutong, the former chairman of Goldin, was filed by the bank and required to repay the loan and hand over the mortgage unit.","舉報

高銀金融前主席潘蘇通去年遭頒令破產，現正上訴，潘蘇通旗下公司2019年除夕向上海商業銀行貸款，翌月中再按揭了名下半山富匯豪庭2座一個單位。上海商業銀行上周五入稟高等法院，要求潘蘇通及其公司清還欠款及交出單位。

原告為上海商業銀行有限公司，被告分別為潘蘇通及其全資擁有公司Chariot Power Investments Limited。

案件編號：HCMP709/2024

法庭記者：陳子豪

---

《星島申訴王》推出全新項目「區區有申訴」，並增設「我要讚佢」欄目，現誠邀市民投稿讚揚身邊好人好事，共建更有愛社區。立即「我要讚佢」︰ https://bit.ly/3uJ3yyF

緊貼最新最快新聞資訊，請立即下載星島頭條App：https://bit.ly/3Q29Vow",https://www.singtao.ca/6670102/2024-04-28/news-%E9%AB%98%E9%8A%80%E5%89%8D%E4%B8%BB%E5%B8%AD%E6%BD%98%E8%98%87%E9%80%9A%E9%81%AD%E9%8A%80%E8%A1%8C%E5%85%A5%E7%A8%9F+%E8%A6%81%E6%B1%82%E6%B8%85%E9%82%84%E8%B2%B8%E6%AC%BE%E5%8F%8A%E4%BA%A4%E5%87%BA%E6%8C%89%E6%8F%AD%E5%96%AE%E4%BD%8D/,高銀金融前主席潘蘇通去年遭頒令破產，現正上訴，潘蘇通旗下公司2019年除夕向上海商業銀行貸款，翌月中再按揭了名下半山富匯豪庭2座一個單位。上海商業銀行上周五入稟.,singtao.ca,2024年04月28日
Chariot aims for first drill on Morocco gas project,Chariot aims for first drill on Morocco gas project,"Chariot LON:CHAR the AIM-listed, Africa focused energy group is hoping to start drilling in Morocco around the end of this quarter at its majority-owned Loukos Onshore project after receiving approval from the Moroccan government for its Environmental Impact Assessment (EIA) earlier this month.

The EIA for Loukos covers up to 20 well operations and Chariot will kick off with an initial exploratory drill on two prospective wells at Gaufrette and Dartois and has the option to re-enter an historic gas discovery.

Pierre Raillard, head of gas business and Morocco country director said: “…This is not only an important step towards our initial drilling campaign but EIA approval for multiple additional locations gives us flexibility in future campaigns. In addition to this, the land access activities and civil work contracting have concluded, site construction activities are now underway, and we are on track for commencement of operations around the end of 1Q24.”

Chariot owns 75% of the Loukos Onshore project, the other 25% of is held by Morocco’s national energy company ONHYM.

The Guernsey-headquartered exploration company focuses on three areas: Transitional Gas; Renewable Energy and Green Hydrogen and has a number of interests in other projects on the African continent.

Chariot is an onshore-offshore play

Chariot has been exploring Morocco’s coastline for some time and secured the Lixus Offshore licence, an area of nearly 1,800 square kilometres, with water depths ranging from the coastline to 850 metres in 2019. Within that tenement lay the Anchois Field an 18 billion cubic metre development opportunity. Proving the field through a drilling programme, Chariot confirmed Anchois’ geological model and development potential as a significant gas discovery.

The company also holds an interest in the adjacent Rissana licence, another offshore developmental gas play covering an area of almost 8,500Km2 and with the aforementioned Loukos Onshore development makes up the troika of Chariot’s Moroccan gas projects.

Chariot’s management announced a farm-in with a developmental partner for the Offshore assets in December and brought in FTSE250-listed Energean LON:ENOG as operator to develop the Offshore projects into production.

Energean acquired a 45% interest in Lixus, and a 37.5% interest in the Rissana licence and assumed operatorship. Chariot retained a 30% stake in Lixus and 37.5% of Rissana with ONHYM keeping a quarter of each licence and will receive USD10m in cash on completion, which is expected shortly, followed by another USD15m on Final Investment Decision and USD85m gross carry which covers all Lixus costs up to Final Investment Decision including an additional Anchois well with a gas flow test. The planned Rissana seismic acquisition costs were separately capped at USD7m.

Once Anchois is complete, Energean has the option to acquire another 10% of Chariot’s share in Lixus in return for USD850m gross development carry to first gas and USD50m five-year zero-coupon convertible loan note with a strike price of GBP20 adjusted down for dividends, or the issuance of three million Energean shares, at Chariot’s option on FID. Chariot would also be due a 7% royalty payment on Energean’s gas production revenues in excess of a base hurdle on the realised gas price.

All-in, that’s a good deal for Chariot and a fair deal for Energean and Morocco, with Chariot being suitably compensated for its set-up work on the project, de-risking its portfolio, and allowing it to use the capital realised from the Offshore assets to develop its Onshore project. Energean gets into a new market on what could be a fantastic project for a low initial cost, that Chariot has already spent time and treasure developing to a launchpad level and Morocco gets a partner that has a proven track record taking independent offshore development plays into production. Win-win.





Renewable interests expanding

The company, which operates in six African nations, is also developing 515MW of renewable energy projects at four different sites. The energy developer has zeroed into the mining sector in Africa, providing renewable energy solutions at Iamgold [TMX:IMG]’s Essakane project in Burkina Faso; Tharisa’s PGM mine in South Africa; First Quantum [TMX:FM.]’s Zambian copper-gold mine and Karo Mining’s Zimbabwean PGM mine. Chariot is working in partnership with TotalEnergies, to co-develop these projects on a 49:51 basis.

Chariot has also broadened its exposure and approach to the renewable energy sector within South Africa, in acquiring an interest in Etana Energy, which holds one of a few electricity trading licences to be granted in the country.

Etana’s objective is to deliver unique renewable energy mix solutions at competitive prices to help address the significant power requirements across South Africa with the licence opening access to a range of high-volume off-takers including municipal, industrial and retail customers.

Recently, Chariot announced both an increase to 49% of its stake in this venture and a landmark deal signed with Growthpoint Properties [JSE:GRT] to supply them with 195GWh of renewable energy a year. This represents 32% of Growthpoint’s total current annual electricity consumption and Etana will wheel electricity to their commercial property buildings located in several jurisdictions in South Africa. Electricity trading will bring an additional revenue stream into Chariot and further enable Chariot’s participation in large renewable projects in Southern Africa.

Chariot aims to become leading producer and exporter of green hydrogen

Chariot also operates in Mauritania, where it is working in partnership with TEH2 (80% owned by TotalEnergies and 20% owned by the EREN Group) and the Government of Mauritania to support their ambition to become a leading producer and exporter of green hydrogen.

The project, Project Nour, spans two onshore areas totalling approximately 5,000 square kilometres, across northern Mauritania, which has significant wind and solar potential. As previously reported wind, solar and hydroelectric power is used to electrolyse hydrogen from water and Chariot hopes to develop up to 1.2 million tonnes per year of hydrogen by 2030 with 10GW of renewable energy.

Mauritania would look to use this both domestically and export it to European markets. Project Nour could become one of the largest global projects of its kind and the company has already undertaken a Pre-Feasibility Study and has just completed the Feasibility Study which will be presented to government this quarter.

The project could be transformational for Chariot and Mauritania.

In its last results to end-June 2023, published in September, the company was still loss-making. In the six-month period to end-June 2023 Chariot’s total comprehensive loss was USD7.7m, which was more or less on par year-on-year, but the company remains well-capitalised with USD2.7m cash in the bank, supplemented through a USD19m fundraising completed in July 2023. The company has no debt and minimal licence commitments.

The company opened trading on 13th February at 8.1p and has fallen 51.5% over one-year, with its shares ranging between 7.52p and 18.88p. The company has a market capitalisation of GBP87.3m.

Important catalysts upcoming

The share price is historically low for Chariot, but in the coming months it has important catalysts upcoming with its first drills in Morocco to prove its Loukos project, which should, if proved commercial, start to bring revenue and profit into the company and the well this year at the Anchois project in partnership with Energean.

The potential of its Mauritania hydrogen project could also be transformational for the transitional energy company and its renewable energy business creating independent power plants for mining ventures and electricity trading has the potential to also create a predictable revenue stream.

The market reaction has been a bit harsh on Chariot, and a misunderstanding of the upsides of the Lixus/Rissana deal with Energean have seen something of an over-reaction by the market, given that Chariot still retains significant value in Anchois and its adjacent properties, with a hefty uptick if Energean takes the projects into production. We think that over the next 12-months the share price will start to move north again and could well be within the mid-20p territory and beyond that the stock last saw in 2022.",https://www.thearmchairtrader.com/chariot-aims-for-first-drill-on-morocco-gas-project/,"Chariot LON:CHAR the AIM-listed, Africa focused energy group is hoping to 
start drilling in Morocco around the end of this quarter at its 
majority-owned...",The Armchair Trader,2024年02月15日
放工注意｜屯公6車相撞塞到爆 港鐵屯馬綫因信號故障 列車一度需慢駛,"Attention after work｜6 trains collided with each other on the Tuen Expressway, causing congestion. The trains on the Tuen Ma Line of the MTR had to slow down due to signal failure.","舉報

各位打工仔注意。今日（15日）下午5時25分，警方接獲報案，指屯門公路近青龍頭往荃灣方向發生6車相撞意外，涉及3輛私家車及3輛輕型貨車，一名乘客報稱不適。運輸署表示，上址交通擠塞，屯門公路（往九龍方向）近豪景花園的部份行車線一度需要封閉。同時，屯門公路（往屯門方向）近豪景花園的快線亦曾需封閉。

屯門公路近青龍頭發生6車相撞意外。網上圖片

屯門公路近青龍頭發生6車相撞意外。網上圖片

另外，港鐵於今日（15日）下午5時27分表示，指由於紅磡站附近有信號故障，屯馬綫列車來回方向預計需要額外行車時間。屯馬綫列車一度駛經尖東站和何文田站路段時需要慢駛，屯馬綫來往屯門站及烏溪沙站的行車時間預計需要額外10至15分鐘。直至傍晚6時47分，港鐵稱紅磡站附近的信號故障已完成復修。屯馬綫列車服務逐步回復正常。

現時紅磡站的月台有多名乘客。

現時紅磡站的月台有多名乘客。

紅磡站附近有信號故障，屯馬綫列車來回方向預計需要額外行車時間。吳艷玲攝

紅磡站附近有信號故障，屯馬綫列車來回方向預計需要額外行車時間。吳艷玲攝

紅磡站附近有信號故障，屯馬綫列車來回方向預計需要額外行車時間。吳艷玲攝

紅磡站附近有信號故障，屯馬綫列車來回方向預計需要額外行車時間。吳艷玲攝

----

《星島申訴王》推出全新項目「區區有申訴」，並增設「我要讚佢」欄目，現誠邀市民投稿讚揚身邊好人好事，共建更有愛社區。立即「我要讚佢」︰ https://bit.ly/3uJ3yyF",https://www.singtao.ca/6526854/2024-01-15/news-%E6%94%BE%E5%B7%A5%E6%B3%A8%E6%84%8F%EF%BD%9C%E5%B1%AF%E5%85%AC6%E8%BB%8A%E7%9B%B8%E6%92%9E%E5%A1%9E%E5%88%B0%E7%88%86+%E6%B8%AF%E9%90%B5%E5%B1%AF%E9%A6%AC%E7%B6%AB%E5%9B%A0%E4%BF%A1%E8%99%9F%E6%95%85%E9%9A%9C%E5%88%97%E8%BB%8A%E9%9C%80%E6%85%A2%E9%A7%9B/,各位打工仔注意。今日（15日）下午5時25分，警方接獲報案，指屯門公路近青龍頭往荃灣方向發生6車相撞意外，涉及3輛私家車及3輛輕型貨車，一名乘客報稱不適。運輸署.,singtao.ca,2024年01月15日
