title,title_translated,content,link,snippet,source,date
"Axis Bank, Piramal Finance Announce Partnership Under Co-Lending Business","Axis Bank, Piramal Finance Announce Partnership Under Co-Lending Business","Private sector lender Axis Bank and Piramal Capital and Housing Finance (Piramal Finance), a Non-Banking Financial Company, announced a strategic partnership under the co-lending business.

According to a statement by Piramal Finance, through this partnership, both lenders will offer loans to the middle and low-income segment borrowers with a focus on rural and semi-urban regions.

Also Read: Axis Bank Hit With Rs 1.66 Cr Fine By FIU For Failing To Detect Fraud NSG Account

The partnership will leverage the deep financial expertise of Axis Bank, and the loan processing technology of Piramal Finance, to assess the credit profile of borrowers and provide them loans at competitive interest rates through a network of 490 branches of Piramal Finance, the statement added.

This partnership will cater to potential customers who are either new to credit or untapped by larger institutions and build a multi-product loan book.

Jairam Sridharan, MD, Piramal Capital & Housing Finance, said, “This collaboration underscores our mutual commitment to providing credit to underserved markets. By leveraging Axis Bank’s expansive network and Piramal Finance’s deep reach, we are well-positioned to penetrate deeper geographies across Bharat. Together, our shared goal is to enhance accessibility to formal credit, drive growth, and realise the aspirations of customers across Bharat.”

The collaboration between two lenders aims to cater to customers in the unorganised sector, including self-employed or salaried borrowers who have limited access to credit due to the lack of sufficient income proof.

By combining their strengths, Axis Bank and Piramal Finance will address the credit gap faced by MSMEs and home loan borrowers by utilising their extensive customer reach, and rigorous credit underwriting and assessment tools.",https://www.news18.com/business/axis-bank-piramal-finance-announce-partnership-under-co-lending-business-8950556.html,"This partnership will cater to potential customers who are either new to 
credit or untapped by larger institutions and build a multi-product loan 
book.",News18,2024年07月04日
Axis Bank and Piramal Finance join hands for co-lending business,Axis Bank and Piramal Finance join hands for co-lending business,"Axis Bank, India’s third-largest private sector bank and Piramal Capital and Housing Finance Limited (Piramal Finance), a leading non-banking financial company - housing finance company (NBFC-HFC) and wholly-owned subsidiary of Piramal Enterprises Limited (PEL), have joined hands for the co-lending business, according to a press release today, July 1.

Through this collaboration, both lenders will offer loans to moderate and low-income customers, with a concentration on rural and semi-urban areas.

According to the information available in the press note, the cooperation would combine Axis Bank's substantial financial experience with Piramal Finance's loan processing technology to analyse clients' credit profiles and give loans at affordable interest rates through Piramal Finance's network of 490 outlets. This collaboration will cater to potential clients who are either new to credit or underserved by larger banks, resulting in a multi-product loan book.

""This collaboration underscores our mutual commitment to providing credit to underserved markets. By leveraging Axis Bank's expansive network and Piramal Finance's deep reach, we are well-positioned to penetrate deeper geographies across Bharat. Together, our shared goal is to enhance accessibility to formal credit, drive growth, and realize the aspirations of customers across Bharat,"" said Jairam Sridharan, MD, Piramal Capital & Housing Finance.

In retail lending, Piramal Finance is one of the leading players that address the diverse financing needs of the under-served and unserved people of the ‘Bharat’ market. It has over 1.3 million active customers and a presence in 26 states with a network of 490 conventional branches and 194 microfinance branches, as on 31 March 2024.

Shares of Axis Bank last traded at Rs 1,261.7 each, down 0.32 per cent while Piramal Enterprises' shares closed at Rs 923.4 apiece, down 0.26 per cent on BSE today, July 1.",https://www.zeebiz.com/companies/news-axis-bank-share-price-nse-bse-starts-co-lending-business-with-housing-finance-company-piramal-finance-stock-price-today-299162,"The cooperation would combine Axis Bank's substantial financial experience 
with Piramal Finance's loan processing technology to analyse clients' 
credit...",Zee Business,2024年07月04日
Banks seek clarification on RBI's credit card network choice guidelines,Banks seek clarification on RBI's credit card network choice guidelines,"Several banks have sought clarity from the Reserve Bank of India regarding the implementation of guidelines issued on March 6, which mandate offering customers the option to choose from multiple card networks for credit cards, according to a report by The Economic Times (ET).

The Reserve Bank of India's directive requires banks and non-banking financial companies to provide this choice both at the time of issuance and renewal. This directive will take effect from September 6, 2024. Click here to connect with us on WhatsApp

One suggestion is that the guidelines should apply prospectively, meaning new credit card customers would choose their preferred network while existing customers would continue with their current network until renewal.

Banks, however, are also concerned that implementing these guidelines during renewals could disrupt business operations. Existing cardholders have been provided offers based on customer profiles, co-branding arrangements, and specific pricing benefits.

These guidelines require card issuers to provide this choice both during the initial issuance and at the time of renewals. However, banks are unsure whether this option needs to be extended to all existing customers or only at renewal time.

What were the Reserve Bank of India's directives on credit card networks?

The guidelines were introduced to ensure customer choice and prevent exclusive agreements between card issuers and networks, as the Reserve Bank observed that some existing arrangements were not conducive to customer choice and directed card issuers to avoid them.

As per the new guidelines, card issuers and networks will be prohibited from entering into any agreement that restricts customers from using other card networks.



Card issuers must provide an option to their eligible customers to choose from multiple card networks, such as Diners Club International, MasterCard, NPCI-Rupay, and Visa, at the time of issuance. For existing cardholders, this choice may be provided during the renewal process.

The guidelines apply to card issuers with more than 1 million active credit cards. Major issuers like HDFC Bank, SBI Card, ICICI Bank, and Axis Bank fall under this category. The norms exclude issuers like American Express, which operate on their own authorised networks.

The Reserve Bank of India circular, however, did not clarify whether the norms would apply to co-branded cards, which are often offered on a single platform.

Indian Banks' Association to discuss the matter

The Indian Banks' Association will discuss the issue to develop a unified approach, ET said. Long-term contracts with co-brand partners and the impact on fees and other facilities for credit card holders are complicating factors that need to be considered.

The total number of credit cards issued by banks in India surpassed 100 million in February 2024, with a significant addition of 1.1 million cards from the previous month.",https://www.business-standard.com/finance/news/banks-seek-clarification-on-rbi-s-credit-card-network-choice-guidelines-124062600176_1.html,"The Reserve Bank of India's directive, which will go into effect in 
September, requires banks and non-banking financial companies to provide 
customers...",Business Standard,2024年06月27日
"Stocks of the Hour: Schrole Group, Alderan Resources, Prospect Resources","Stocks of the Hour: Schrole Group, Alderan Resources, Prospect Resources","Schrole Groupannounced that it has entered into a Scheme Implementation Deed with TES Aus Global Pty Limited, in which TES will acquire 100% of Schrole for 48.52 cents. The cash consideration of 48.52 cents per Schrole share (Scheme Consideration) represents a 203% premium to the Schrole closing price of 16.0 cents on 14 June 2024. Shares are trading 175 per cent higher at 44 cents.Alderan Resourcesannounce that the grid soil sampling completed over the New Years prospect in the Cactus district of the Frisco copper-gold project area has successfully outlined a high order copper anomaly. It has also highlighted three additional copper anomalies to the west, southwest and south of the New Years prospect. Shares are trading 14.29 per cent higher at 0.4 cents.Prospect Resourcesannounced new wide, excellent tenor copper intercepts confirm strong prospectivity at the Mumbezhi Copper Project. First-phase RC and diamond drilling expected to commence in the next few weeks. Shares are trading 7.14 per cent higher at 15 cents.",https://www.finnewsnetwork.com.au/archives/finance_news_network469877.html,"Schrole Group (ASX:SCL) announced that it has entered into a Scheme 
Implementation Deed with TES Aus Global Pty Limited, in which TES will 
acquire 100% of...",Finance News Network,2024年06月18日
Stealth Group acquires Force Technology International,Stealth Group acquires Force Technology International,"Stealth Group Holdings (ASX: SGI), a prominent Australian distribution group, has announced its acquisition of Force Technology International Pty Ltd (Force), a leading distributor of consumer mobile accessory products in Australia. This strategic move underscores Stealth's commitment to expanding its market presence and enhancing shareholder value.Force Technology International Pty Ltd has established itself as a key player in the lucrative $2.2 billion mobile accessories market, boasting a robust distribution network encompassing approximately 3,310 retail reseller outlets across Australia. Notably, nearly half of Force's sales are derived from its proprietary and private-label products, highlighting its strong market position.Under the terms of the acquisition, Stealth will acquire 100% of Force's shares for approximately $9.5 million, with additional incentives tied to performance targets in FY26. The transaction, valued at a multiple of less than 4.0x EV/EBITDA for FY23 and FY24F, will be financed through a combination of new equity issuance and assumption of Force's existing working capital finance facilities.This strategic alignment with Force's distribution capabilities complements Stealth's focus on higher-margin, capital-light product ranges featuring proprietary, private-label, and exclusive brands. The combined entity will emerge as a formidable player in the distribution landscape, boasting a nationwide reach and diversified product portfolio.Force Technology International is projected to achieve FY24F revenue of approximately $44.0 million, with normalized EBITDA of approximately 6%, excluding transaction costs. Post-acquisition, the combined entity is anticipated to achieve revenue of approximately $159 million and EBITDA of approximately $8.5 million for FY24, before accounting for synergies.The transaction is expected to be accretive to earnings per share by approximately 43% in FY24F and 26% in FY25F, excluding synergies. Furthermore, the pro forma balance sheet remains robust, with leverage expected to reduce to 1.1x FY25 EBITDA post-synergies.Meaningful synergies, estimated at approximately $1.2 million per annum, are anticipated to enhance operational efficiencies and drive incremental margin dollars through cross-selling and new brand introductions.The acquisition, effective as of June 1, 2024, is slated for completion before June 14, 2024. The purchase price of approximately $9.5 million will be funded through the issuance of new SGI shares and assumption of Force's existing financial facilities.Moreover, an outperformance incentive may be payable to vendors in FY26, contingent upon Force's achievement of specified EBITDA targets. Post-acquisition, the vendors will collectively own 12.52% of the total shares of Stealth Group Holdings.Group Managing Director and CEO, Mike Arnold, expressed enthusiasm for the acquisition, emphasizing its strategic significance for both Stealth and Force. He highlighted the potential to leverage Force's distribution network and customer base, while providing new customer channels for both entities.Arnold underscored the anticipated synergies from the acquisition, coupled with expanded customer channels and operational efficiencies, as drivers of enhanced value for Stealth and its shareholders. He affirmed the company's commitment to delivering robust returns and maintaining a competitive edge in the market.The acquisition of Force Technology International Pty Ltd positions Stealth Group Holdings as a formidable force in the distribution landscape, poised for sustained growth and value creation in the dynamic consumer market.",https://www.finnewsnetwork.com.au/archives/finance_news_network459765.html,"Stealth Group Holdings (ASX: SGI), a prominent Australian distribution 
group, has announced its acquisition of Force Technology International Pty 
Ltd...",Finance News Network,2024年06月18日
US markets jump higher as inflation fears ease,US markets jump higher as inflation fears ease,"The Dow Jones jumped as investors breathed a sigh of relief as key inflation readings released on Friday came in mostly as expected with no negative surprises.The Dow closed 1.51 per cent higher posting its best day in 2024 with strong performances from constituents Salesforce and UnitedHealth rallying 7.5 per cent and 2.8 per cent respectively. The S&P 500 rose 0.80 per cent and the Nasdaq just tipped into the red as several big cap tech names saw profit taking.In monthly terms, May saw the Dow add 2.3 per cent, the S&P 500 rose 4.8 per cent and the Nasdaq added a solid 6.88 per cent.Economic data was the focus on Friday. The core personal consumption expenditures price index increased 0.2 per cent in April, in line with consensus expectations according to Dow Jones. Core PCE rose 2.8 per cent on an annualised basis, slightly above the 2.7 per cent expectations.In company news, Dell Technologies fell more than 17 per cent after flagging its AI server backlog was smaller than anticipated. Cloud security stock Zscaler surged 8.5 per cent, while developer data platform MongoDB plunged almost 24 per cent. Apparel retailer Gap jumped more than 28 per cent.Hot stock Nvidia's market value soared by $350 billion in volatile trading following its strong first-quarter earnings report, driven partly by activity in its options market. Despite a slight dip at the end of the week, its valuation reached $2.69 trillion, surpassing JPMorgan, Berkshire Hathaway, and Meta combined, with its peak value nearing half a trillion dollars in just a few days.Despite no Fed speeches, a packed macro week looms ahead, featuring ISM manufacturing and services reports, JOLTS job openings, and the employment report.Turning to US sectors, Energy was the best performer on Friday, closing over 2 per cent higher. This was followed by Real Estate and then Utilities. Tech was the worst performer.On the European front, the ECB is widely expected to announce its first rate cut on Thursday, while traders are expecting the Bank of Canada to cut rates on Wednesday.The ECB is fully priced by the bond market to cut its policy rate by a quarter of a percentage point to 3.75 per cent, while the Bank of Canada could reduce its rate by a similar amount to 4.75 per cent.If these moves eventuate it places the ECB & BOC on divergent paths to the US Federal Reserve, which thanks to robust economic data has markets pushing out the first rate cut for the world’s largest economy to the end of the year.The SPI futures are pointing to a 0.5 per cent gain.One Australian dollar at 7.30am was buying 66.53 US cents.Gold lost 0.87 per cent. Silver dropped 3.47 per cent. Copper fell 1.21 per cent. Oil lost 1.18 per cent.European markets closed higher. London’s FTSE added 0.54 per cent, Frankfurt rose 0.01 per cent, and Paris closed 0.18 per cent higher.Turning to Asian markets, Tokyo’s Nikkei added 1.14 per cent, Hong Kong’s Hang Seng fell 0.83 per cent while China’s Shanghai Composite closed 0.16 per cent lower.On Friday, the Australian share market closed 0.96 per cent higher at 7,701.74.Newmont Corporationis paying 26.8446 cents unfrankedDicker Data LtdEmbark Early Education LtdThe views, opinions or recommendations of the commentators in this presentation are solely those of the author and do not in any way reflect the views, opinions, recommendations, of Sequoia Financial Group Limited ABN 90 091 744 884 and its related bodies corporate (“SEQ”). SEQ makes no representation or warranty with respect to the accuracy, completeness or currency of the content. Any prices published are accurate subject to the time of filming and shouldn’t be relied upon to make a financial decision. Commentators may hold positions in stocks mentioned and companies may pay FNN to produce the content at times. The content is for educational purposes only and does not constitute financial advice. Independent advice should be obtained from an Australian Financial Services Licensee before making investment decisions. To the extent permitted by law, SEQ excludes all liability for any loss or damage arising in any way including by way of negligence.",https://www.finnewsnetwork.com.au/archives/finance_news_network459712.html,"The Dow Jones jumped as investors breathed a sigh of relief as key 
inflation readings released on Friday came in mostly as expected with no 
negative...",Finance News Network,2024年06月18日
Mukesh Ambani's fintech juggernaut starts rolling: The road ahead,Mukesh Ambani's fintech juggernaut starts rolling: The road ahead,"



(You can now subscribe to our

(You can now subscribe to our Economic Times WhatsApp channel

From the very beginning backward integration has been Reliance Industries ' success mantra. Reliance started out as a polyester business. Its first backward integration that helped it grow phenomenally was into petrochemicals which formed the raw material for polyester. From polyester to petrochemicals to refining to oil and gas exploration, Reliance kept stepping back to step ahead. Its green energy play is also mounted on a considerable captive demand.A crucial factor behind Reliance Chairman Mukesh Ambani 's success in consumer-facing business is backward integration. When Ambani launched Jio with dirt-cheap data, he also got his own smart and feature phones manufactured. Ditto with retail and e-commerce. Ambani has been on a brand-buying frenzy for the past few years, buying dozens of brands from Hamleys to Zivame to Campa Cola.Ambani has played on integration and adjacencies. Its strength in the telecom market boosted its e-commerce business while its growing e-commerce and retail business powered its FMCG play through backward integration by buying brands and building its own. Its recent foray into consumer electronics and home appliances will be bolstered by its already huge retail and e-commerce network.Now when consumers are spending their money on a range of Reliance products and services from mobile data to TV entertainment to apparels to FMCG to home appliances, Ambani also aims to profit from that spending and buying. His latest fintech business under Jio Financial Servics Ltd (JFSL) aims to ride on extensive consumer network as well the data Reliance has acquired. The tracks that consumers leave while shopping and using Reliance products and services will form a strong databank for JFSL . It was carved out of Reliance Industries last year and made its stock market debut in July 2023 as part of the demerger.JFSL has just launched a new app named Jio Finance . The app is currently in a beta testing stage and will be fine-tuned after user feedback.The aapp will offer UPI payments, bill payments, insurance advisory and digital banking. Eventually JFSL will offer credit products like loans against mutual funds, home loans and others to its customers through the app. In its bid to become the full stack finserv player, Jio Finance will also offer savings accounts services and it will leverage Jio payments bank for the same.""Our end goal is to simplify everything related to finance in a single platform for any user across all demographics, with a comprehensive suite of offerings like lending, investment, insurance, payments and transactions and make financial services more transparent, affordable and intuitive,"" Reliance said. Eventually, it might also add to this app the asset management business its starting jointly with Blackrock Ambani's entry into fintech is based on the huge growth in Indian financial landscape in the coming decade. JFSL is counting on 450 million working population with favorable demographics and India being the 12th largest country by HNI population to drive digital financial services adoption. Financialization of savings, rising affluence and entrepreneurship, and increasing user activity across the entire funnel of smartphone-led, online usage of commerce and services give hope to JFSL. It thinks higher consumption and digitalization will fuel the growth in financial services industry. It plans to focus on consumers, merchants and MSMEs to provide customized products diversified across lending, protection, investments and transactions.JFSL's key growth differentiator will be technology and the biggest weapon the huge data spewed by its retail and telecom business daily. It will adopt a direct-to-consumer approach to leverage its ecosystem to drive low cost of acquisition.It will enable its base technology with AI, alternate data and bolt-on features. JFSL will use its power to leverage alternate data to facilitate non-linear growth. With AI and analytics, it will create enriched customer profiles for tailored offerings. It also hopes to capitalize on new entrant advantage. It sees absence of legacy systems resulting in significant cost efficiencies and enhanced computing capabilities.JFSL will rely on inherent strengths of Reliance: a strong capital base to fund growth strategy and meet regulatory requirements; highly experienced board and management ensuring highest standards of corporate governance; well-established brand presence that drives trust and recognition; and extensive network facilitating easy customer access.With his fintech super app, Ambani enters a crowded and competitive field. If the likes of Amazon Pay, PhonePe and Paytm tried to go the super app way in the first fintech wave, traditional financial services are taking a stab at it now. Businesses like Aditya Birla Capital Angel One and Muthoot Fincorp are building one-stop applications for all sets of financial services, ET has reported. The traditional financial services companies are carrying out this diversification through acquiring and partnering with fintech companies, or by creating their own platforms.JFSL super app will be competing with biggies such as Google, Amazon and Flipkart who are already in the payments business, besides Paytm who got hammered by the regulator for negligences for which Paytm Payments Bank Ltd was told to stop its activities.PhonePe has a leading 47.2% share of UPI transactions in terms of volume and 50% in value, according to the National Payments Corporation of India (NPCI). In March this year, PhonePe hit $1 trillion in annualised total payment value run rate helped by increasing share in UPI. The company said it is also making significant investments in new businesses such as insurance and wealth management. Walmart had taken over PhonePe as part of its 2018 acquisition of ecommerce firm Flipkart. Unified Payments Interface (UPI), introduced in 2016, has been a game changer in the payment ecosystem in India, easing payments and transfers, and playing a key role in digital adoption in the country. PhonePe has just become one of the first fintech applications to launch secured credit products for its users in partnership with a bunch of NBFCs. It will offer home loans, two-wheeler loans and such.JFSL super app comes at a time when India's another conglomerate, the Adani Group, is also about to enter fintech. It is likely to apply for a licence to operate on UPI, India's public digital payments network, Financial Times has reported. It is also in talks with banks to launch a co-branded credit card. Adani already has a super app, Adani One, which will be the platform of its financial services business. TOI recently reported that Adani Group chairman, Gautam Adani, is likely considering acquiring a stake in Paytm's parent company One97 Communications, though both the companies have denied it. Adani's acquisition of Paytm parent, if it happens, will position JFSL against a deep-pocketed rival with an entrenched business in its fold.Amid a crowded market, Ambani will be relying on its large physical retail network across India, easy access to consumers, its Jio telecom network, and a huge bank of data that maps consumers' financial lives and will help JFSL target consumers with personalised offerings.",https://m.economictimes.com/industry/banking/finance/mukesh-ambanis-fintech-juggernaut-starts-rolling-the-road-ahead/articleshow/110590569.cms,"Ambani's latest fintech business under Jio Financial Servics Ltd (JFSL) 
aims to ride on extensive consumer network as well the data Reliance has 
acquired.",The Economic Times,2024年06月18日
Playground Global's Peter Barrett on Australia's High-Tech Future,Playground Global's Peter Barrett on Australia's High-Tech Future,"I am Paul Sanger for the Finance News Network, and today I have the pleasure of speaking with Peter Barrett. Peter Barrett, an Australian native, is a globally renowned entrepreneur, investor, and technology leader. He serves as a founding partner of Playground Global, a venture capital fund, managing 1.8 billion in deep, rich tech investments. Playground Global focuses on investing in transformative technology start-ups across various sectors, including AI, next-gen computing, robotics, and quantum technologies. Remarkably, over 20% of Playground's portfolio companies have achieved unicorn stages, with the fund leading a series A investment in PsiQuantum in 2016. Before his venture capital career, Peter held the position of lead engineer at Microsoft. Additionally, he co-founded Rocket Science Games where he notably hired Elon Musk for his first job in Silicon Valley. Peter holds more than 100 patents to his name. Welcome to the network, Peter.Thanks so much for having me.So Peter, let's begin. What prompted your return to Australia?Well, so having grown up here, really want to be able to take advantage of some extraordinary natural resources and intellectual resources in this country. Obviously, with the bold move in quantum with the Queensland and federal government's investment in PsiQuantum, I think it's a first step in many opportunities to translate the really extraordinary natural resources, renewable resources, and capital and intellectual resources we have in Australia, and to allow us to not only lead to the front of the world in quantum, but also in a whole bunch of other domains. We have the best scientists and engineers here, but our economic complexity is between Pakistan and Uganda, and we have everything we need to advance Australia if we invest in the future, and not just in real estate.So Peter, Playground Global focuses its investments on cutting-edge technologies like quantum computing, AI, and advanced semiconductors, all of which promise to have a significant impact across multiple generations. Australia finds itself at a unique juncture presenting a once-in-a-generation opportunity to safeguard its position in the high-tech landscape. How can Australia capitalize on its current strength in specialized sectors where it already holds a competitive edge on the global stage?Yeah, so I think the real opportunity is we have the scientists and engineers that are working at world-class level or above across all of those domains. What's missing is translating that into big companies, translating that into deep-tech start-ups the way Silicon Valley has demonstrated a repeated ability to do, but all the ingredients are here. I think Australia leads in quantum algorithms and in quantum sensing. Now that we have PsiQuantum as a hub, we will be able to deploy capital into Australian startups doing that.I think Australia has the opportunity to turn western Australia from the world's mine into the world's founder using Australian electric chemistry and mining expertise. I think we should be building semiconductor fabs here. There is absolutely everything we need. It's just how do we translate the expertise in academia and the capital we have in the three-and-a-half trillion dollars of Superfund capital? How do we translate that into big companies and do it in Australia rather than have the scientists and entrepreneurs have to move to Silicon Valley in order to build those companies?And the Australian Queensland governments have underscored their commitment to a more ambitious and tech-advanced future through their substantial investment of nearly a billion dollars in a trailblazing quantum computing company, PsiQuantum. How does this groundbreaking investment in a single early stage contribute in the development and utilization of the wider sector in Australia?Yeah, look, I think that Silicon Valley created trillions of dollars of value because the Fairchild guys built their transistors there, built Silicon there. Having PsiQuantum as an anchor in Queensland will create this nexus of opportunity that advantages Australia by having the first useful quantum machine. So there will be quantum startups, there will be people building drugs and materials and applications for quantum that will be drawn into that ecosystem anchored by that PsiQuantum machine. And I think it's an extraordinarily visionary move by the Queensland government and federal government to do that. And I think it proves that there are now thoughtful people who are thinking about ways of transforming the Australian economy to one that is based on, today, exports of simple raw materials, and translate that into exports of intellectual force power, and embracing quantum gives us the sharpest tool in computation we've ever had, and an opportunity to tackle our toughest challenges by building quantum companies and quantum application companies in Australia.And while founded by an Australian, PsiQuantum was established in the USA in order to access the scale of capital required to develop its technology. Despite this, Australia maintains a leading position in the quantum sector globally. How can we, as a nation, improve our efforts to retain local innovation and talent domestically?Yeah, I think it's building an ecosystem, right? It's having preferential access in Australia to things like the PsiQuantum hardware, but also allowing people to stay here and attract capital. Having the machine here is a huge step forward in doing that. Australia publishes on quantum hardware, software algorithms and sensing well above its weight, and I think that we've already attracted academic interest because of that. That's only going to be multiplied by having a machine that's anchoring an ecosystem.And this is to close up Peter, what are the key obstacles preventing Australia from emerging as a dominant global player in technology over the coming decade?So we have all the ingredients. You have world-class scientists and engineers. You have deep capital, you have a geologically and geopolitically stable government structure. Everything is here. Deep, deep pockets of capital, the fourth largest resource of capital in the world. We've just got to figure out how to unlock it and allow that capital to be deployed against building great Australian companies that will transform the Australian economy and put us in a position to have the leadership that we deserve based on all of the richness we have. Nowhere else on earth has the mineral resources or the renewable energy resources that Australia does. We have extraordinary opportunity there. We've just got to figure out how to close the loop on the capital and turn that incredible set of resources into great, deep-tech transformative companies.Peter, it is been a delightful conversation with you today. Thank you so much for taking the time to speak with me.Thanks so much. Appreciate it.",https://www.finnewsnetwork.com.au/archives/finance_news_network459627.html,"Paul Sanger: I am Paul Sanger for the Finance News Network, and today I 
have the pleasure of speaking with Peter Barrett. Peter Barrett, an 
Australian...",Finance News Network,2024年06月18日
"Stocks of the Hour: Adherium, Nanoveu, Nimy Resources","Stocks of the Hour: Adherium, Nanoveu, Nimy Resources","To register for today's webinar click here Adherium, a leader in respiratory eHealth, remote monitoring and data management solutions, today announced that AstraZeneca has selected its Hailie® Smartinhaler® platform for a clinical trial. This contract is valued at $1.1M over the course of three years. Shares are trading 31.58 per cent higher at 2.5 cents.Nanoveu, a company specialising in innovative films and coatings is pleased to announce the execution of a Joint Venture Agreement with its Chinese manufacturing partner Shenzhen Fullsand Printing & Packaging Co. The Joint Venture has been established to develop and market Fullsand’s software and manufacturing processes with Nanoveu’s proprietary EyeFly3D™ software and focus on global markets with the exclusion of China. Shares are trading 5.26 per cent higher at 2 cents.Nimy Resourcesadvises that GAP Geophysics have commenced work on site conducting DHEM, MLEM and FLEM surveys at the Masson, Block 3 and Vera’s Gossan Prospects. Fender Geophysics are scheduled to arrive onsite on the 29th of May to conduct a Gradient Array Induced Polarisation survey across the Block 3 Prospect. Shares are trading 17.5 per cent higher at 4.7 cents.",https://www.finnewsnetwork.com.au/archives/finance_news_network459607.html,"To register for today's webinar click here. Adherium (ASX:ADR), a leader in 
respiratory eHealth, remote monitoring and data management solutions,...",Finance News Network,2024年06月18日
"PNB Housing Finance expects 17% loan growth in FY25 aided by increase in 
branch network","PNB Housing Finance expects 17% loan growth in FY25 aided by increase in 
branch network","Find this comment offensive?

Choose your reason below and click on the Report button. This will alert our moderators to take action

Name

Reason for reporting:

Foul language

Slanderous

Inciting hatred against a certain community",https://m.economictimes.com/industry/banking/finance/pnb-housing-finance-expects-17-loan-growth-in-fy25-aided-by-increase-in-branch-network/articleshow/110251788.cms,"The housing finance company opened 100 branches last year, which will help 
in expanding business including in affordable segment.",The Economic Times,2024年05月19日
