title,title_translated,content,link,snippet,source,date,keywords,label,topic
"SK Telecom, Singtel to develop tools to ease 6G transition","SK Telecom, Singtel to develop tools to ease 6G transition","SK Telecom and Singtel are developing AI and orchestration technologies required to pave the way for telcos to easily transition to 6G

SK Telecom was one of the earliest operators to launch 5G in 2018

The South Korean telco is forging ahead in AI, most recently with a $200 million investment in Smart Global Holdings (SGH)

South Korea’s SK Telecom and Singapore’s Singtel have signed a two-year Memorandum of Understanding (MoU) to use artificial intelligence (AI) and orchestration tools and strengthen their knowledge and expertise of new technologies, like network virtualization, required to transition to 6G.

“The partners will also work together on developing differentiated, innovative solutions to elevate their network capabilities, such as Edge-AI infrastructure, which reduces computational burden concentrated on the cloud through edge computing and performs AI inference by combining AI solutions,” a press release about the partnership stated.

The initiative will help the two service providers improve connectivity, provide AI offerings to customers, and enhance customer experience by enabling them to restore services quickly.

SK Telecom and Singtel will also jointly develop a whitepaper on their progress in areas such as virtualization, slicing and network evolution, which they believe will help other service providers benefit from 5G’s capabilities and prepare for 6G.

6G and AI investments abound

SK Telecom released a whitepaper last year to present the key requirements for 6G standardization. It was also one of the earliest operators to launch 5G in 2018.

Separately, SK Telecom invested $200 million in Smart Global Holdings (SGH), an integrated data center solution provider, to offer new services to its customers. This is one of the largest artificial intelligence (AI) investments SK Telecom has made in an AI company to advance in the global AI infrastructure market.

""By combining the strengths of both companies, we aim to achieve efficient, high-performance network construction, enhance network stability, and discover new network-based services,"" said Kang Jong-ryeol, head of ICT infra at SK Telecom. ""Additionally, we will strive to make significant advancements in next-generation communication technologies, including AI-powered wired and wireless infrastructure.""

Tay Yeow Lian, managing director of networks at Singtel, added, “As a global leader in 5G technology, we’re keen to capitalize on the myriad capabilities this technology has to offer, especially in the areas of network slicing and with the inclusion of AI.""

Singtel is ""looking to not only enhance the experience of our customers but also to drive industry innovation and help us prepare for the evolution to 6G,” Tay said.

Growing profile of Asian telcos

SK Telecom and Singtel are also members of the Global Telco AI Alliance, which was announced earlier this year, to leverage AI to expedite the transformation of the existing telcos’ business and to develop new AI-powered business models. The organization is also developing multilingual large language models (LLMs) for telecom service providers. Other members of the Global Telco AI Alliance include Deutsche Telekom, Softbank and e&.

Increasingly, Asian telcos, like SK Telecom, are playing a crucial role in the development of new communications technology and standardization. Now, with 6G, the telcos are aiming to grow their profile as technology leaders in the telecom space.

South Korea is also focusing on 6G technology, and recently, the Ministry of Science and ICT (MSIT) has set a target of 2028 for the launch of 6G. This is two years before the expected launch of 6G globally.

Similarly, the Singapore Government’s Infocomm Media Development Authority (IMDA) recently collaborated with the Singapore University of Technology and Design (SUTD) to launch the Future Communications Connectivity (FCC) lab with a focus on 6G.",https://www.fierce-network.com/wireless/sk-telecom-singtel-develop-tools-ease-6g-transition,"SK Telecom and Singtel are developing AI and orchestration technologies 
required to pave the way for telcos to easily transition to 6G. SK Telecom 
was one...",Fierce Network,2024年07月17日,"['6g', 'transition', 'singtel', 'ease']",positive,1
"Hana Bank, SK Telecom to support AI startups","Hana Bank, SK Telecom to support AI startups","South Korea's Hana Bank and SK Telecom Co. held the final selection and inauguration ceremony for the second AI Startup Accelerator BootCamp at SparkPlus Coex in Gangnam, Seoul.This AI startup accelerator program is a joint initiative between Hana Financial Group and SK Telecom to foster innovation and growth in the AI sector.Launched in July 2023, it aims to promote youth entrepreneurship and new growth through financial and ICT cooperation.Out of over 230 applicants, 15 startups were chosen for their excellence in generative AI, data, security, and facial recognition.The selected startups will receive free office space and infrastructure, including 162 desks (430 square meters) at SparkPlus Coex in Samseong-dong.They will also gain collaboration opportunities with Hana Financial Group and SK Telecom, mentoring, investment reviews, and participation in demo days and external IR events for 12 months.In the first AI Startup Accelerator BootCamp, the participating startups attracted about 23 billion won ($16.64 million) in investments, engaged in seven collaborations with Hana Financial and SK Telecom, and won eight awards, including two CES 2024 Innovation Awards.Bo-Hyung Kim at kph21c@hankyung.com",https://www.kedglobal.com/korean-startups/newsView/ked202407170011,"South Korea's Hana Bank and SK Telecom Co. held the final selection and 
inauguration ceremony for the second AI Startup Accelerator BootCamp at 
SparkPlus...",KED Global,2024年07月17日,"['hana', 'bank', 'startups', 'ai']",neutral,1
SK telecom Launches In-flight Wi-Fi for Internet Connections,SK telecom Launches In-flight Wi-Fi for Internet Connections,,https://www.businesskorea.co.kr/news/articleView.html?idxno=221379,"SK telecom announced on July 17 that it has launched T In-flight Wi-Fi, a 
service that allows airline passengers to use a Wi-Fi service during a 
flight for...",Businesskorea,2024年07月17日,"['launches', 'internet', 'connections']",neutral,1
SK Telecom Invests $200M in AI with Smart Global Holdings,SK Telecom Invests $200M in AI with Smart Global Holdings,"SK Telecom has announced a significant investment in the artificial intelligence (AI) sector, allocating $200 million towards Smart Global Holdings (SGH). SGH, a US-based company, specializes in high-performance solutions for data centers and enterprises. This partnership aims to enhance global AI data center solutions and services, advancing the Korean telco’s ambitions to lead in AI.

SK Telecom’s interest in AI isn’t new. The company views SGH’s solutions as vital for broad-scaled AI deployments. This strategic partnership will focus on the development of AI factory and data center solutions, memory market products, and AI edge servers powered by Neural Processing Units (NPUs).

SGH is headquartered in Milpitas, California, and offers platforms and services for high-performance computing, machine learning, and fault-tolerant computing. Their Penguin Solutions business provides comprehensive AI data center solutions, from designing large-scale GPU server AI clusters to deploying and operating data centers.

This collaboration is expected to significantly benefit both parties. Ryu Young-sang, CEO of SK Telecom, highlighted the mutual advantages, stating, “Our investment in and cooperation with SGH will give us an opportunity to boost our position in the AI value chain.” He added, “In the era of AI transformation, we plan to continue to collaborate and make proactive investments to achieve global leadership in AI.”

Mark Adams, CEO of SGH, echoed this sentiment. “This announcement is a testament to Penguin Solutions’ capabilities in the deployment of AI factories at scale through our systems, software, and managed services suite of solutions. We look forward to executing on these strategic collaboration opportunities with the SKT team and believe they will create value for our respective stakeholders,” Adams said.

Last year, SK Telecom unveiled its new AI strategy, termed the ‘AI Pyramid Strategy.’ This plan focuses on three key areas: AI infrastructure, AI transformation (AIX), and AI services. Under this strategy, AI-related investments are projected to increase from 12% to 33% over the next five years. These investments will primarily target AI data centers, AI semiconductors, and Large Language Models (LLMs).

The $200 million investment involves SK Telecom purchasing 200,000 convertible preferred shares of SGH. This move signifies SK Telecom’s broader vision to strengthen its technological capabilities and reinforce its role in the AI landscape.",https://voip.review/2024/07/17/sk-telecom-invests-200m-ai-smart-global-holdings/,"SK Telecom announced an investment in the artificial intelligence (AI) 
sector, allocating $200 million towards Smart Global Holdings (SGH).",VoIP Review,2024年07月17日,"['invests', '200m']",neutral,2
SK Telecom launches airline-independent in-flight wi-fi service,SK Telecom launches airline-independent in-flight wi-fi service,,https://www.telecompaper.com/news/sk-telecom-launches-airline-independent-in-flight-wi-fi-service--1506612,"SK Telecom (SKT) announced the launch of 'T In-flight Wi-Fi', the first 
service in South Korea to provide wi-fi access on flights.",Telecompaper,2024年07月17日,"['launches', 'flight', 'wi', 'airline']",neutral,1
SK Telecom launches In-flight wi-fi service,SK Telecom launches In-flight wi-fi service,"South Korea's SK Telecom Co. announced on Wednesday that it launched the T In-flight wi-fi service.This service will initially be available on six airlines: Lufthansa, Japan Airlines, China Eastern Airlines, Air Canada, Qatar Airways, and Etihad Airways.Previously, in-flight wi-fi services required customers to check the availability and make payments through each airline’s website, and in some cases, subscriptions were only possible after boarding.Domestic airlines provide their own Wi-Fi services through contracts with satellite service providers.SK Telecom explained that the T In-flight Wi-Fi service can be easily subscribed to via the SK Telecom T Roaming website and airport roaming centers, without going through the airlines.Seung-Woo Lee at leeswoo@hankyung.com","https://www.kedglobal.com/tech,-media-telecom/newsView/ked202407170003","South Korea's SK Telecom Co. announced on Wednesday that it launched the T 
In-flight wi-fi service.This service will initially be available on six 
airlines:...",KED Global,2024年07月17日,"['launches', 'flight', 'wi', 'fi']",neutral,1
SKT invests US$200 million in SGH,SKT invests US$200 million in SGH,"A month after it invested in search engine startup Perplexity, Korean telco SK Telecom (SKT) is investing again to the tune of US$200 million in AI and high-performance computing (HPC) infrastructure business Smart Global Holdings (SGH).

SKT will take an equity stake in SGH in exchange for the cash. SGH plans to use the funding to enhance its capabilities and improve its financial flexibility as it expands the scope and scale of its Penguin Solutions branded end-to-end AI factory offerings.

The companies will intend to ""leverage their complementary capabilities to enhance customer offerings in the development of differentiated global end-to-end AI factory and data center solutions and services, advanced memory market products and services, and NPU-based AI edge servers.""

SGH provides designing, developing, and packaging of memory and storage solutions. It offers integrated computing platforms and services for AI, accelerated computing, ML, and Internet of Things.

Per Data Center Dynamics, SGH acquired Penguin Solutions in 2018. Through the business, the company offers integrated AI data centre solutions ranging from the design of AI clusters consisting of large-scale GPU servers to expertise in data centre deployment and operation.

“Today’s announcement is a testament to Penguin Solutions’ capabilities in the deployment of AI factories at scale through our systems, software, and managed services suite of solutions. We look forward to executing on strategic collaboration opportunities with the SKT team and believe they will create value for our respective stakeholders,"" says SGH president and CEO Mark Adams.

“SGH and Penguin Solutions have a proven methodology to deploy their AI infrastructure solutions at some of the most innovative and demanding large-scale enterprise customers in the world. We believe that this collaboration leveraging SKT's vast technology portfolio with Penguin's AI data center solutions would enhance the reach and capabilities of both companies and position them to continue innovating in their fields,"" says SKT CEO Ryu Young-sang.

SKT’s current AI-related investments and partnerships include Anthropic, Lambda, and Perplexity.",https://itwire.com/deals/skt-invests-us$200-million-in-sgh.html,"A month after it invested in search engine startup Perplexity, Korean telco 
SK Telecom (SKT) is investing again to the tune of US$200 million in AI 
an...",iTWire,2024年07月17日,"['skt', 'invests', 'us']",neutral,4
Korea’s SK Telecom pours $200 million into US data center management firm,Korea’s SK Telecom pours $200 million into US data center management firm,,https://www.msn.com/en-us/money/technologyinvesting/korea-s-sk-telecom-pours-200-million-into-us-data-center-management-firm/ar-BB1q63H3?ocid=BingNewsVerp,"Korea's SK Telecom signed a contract to invest $200 million with Smart 
Global Holdings, a US firm specializing in data center solutions. SK 
Telecom is South...",MSN,2024年07月17日,"['pours', 'korea']",neutral,2
Watkins Advises SGH in US$200 Million Investment by SK Telecom,Watkins Advises SGH in US$200 Million Investment by SK Telecom,"SMART Global Holdings, Inc. (SGH) (NASDAQ: SGH), a leading designer and developer of high-performance, high-availability enterprise solutions, announced that SK Telecom (SKT) (NYSE: SKM), an affiliate of SK Group, is making a US$200 million preferred equity investment in SGH. SGH plans to use the capital from SKT’s investment to enhance SGH’s capabilities and add to the company’s financial flexibility as SGH further expands the scope and scale of its Penguin Solutions branded end-to-end AI factory offerings.

Latham & Watkins LLP represents SGH in the transaction with a corporate deal team led by Bay Area partners Mark Bekheit and Tessa Bernhardt, with associates Shannon Cheng and Caitlin Nguyen. Advice was also provided on capital markets matters by Bay Area partner Richard Kim, with associate Casey Tong; on tax matters by Bay Area partner Grace Lee, with associate Gregory Conyers; on antitrust matters by Bay Area partners Joshua Holian and Kelly Fayne, with associates Hanna Nunez Tse and Ben Bouwman; and on other regulatory matters by Washington, D.C. partners Jim Barker and Dean Baxtresser.",https://www.lw.com/en/news/2024/07/latham-watkins-advises-sgh-in-us200-million-investment-by-sk-telecom,"SMART Global Holdings, Inc. (SGH) (NASDAQ: SGH), a leading designer and 
developer of high-performance, high-availability enterprise solutions,...",Latham & Watkins LLP,2024年07月17日,"['watkins', 'advises', 'sgh', 'investment']",positive,1
SK Telecom invests $200m in US AI data center solutions company,SK Telecom invests $200m in US AI data center solutions company,"SGH’s Penguin Solutions focuses on integrated AI data center solutions

Korean operator SK Telecom has signed an agreement to invest $200 million in Smart Global Holdings (SGH), which designs and develops high-performance solutions for data centers and enterprises.

SK Telecom has made clear its ambition to become an AI company, and SGH’s solutions are aimed at supporting AI deployments at scale.

In addition to the investment, the carrier and SGH plan to work together to boost development of global, end-to-end AI factory and data center solutions and services, advanced memory market products and services, and NPU-based AI edge servers.

SGH is headquartered in Milpitas, California and the company offers specialized platforms and services for high-performance computing, AI, machine learning, fault-tolerant computing and IoT. The company’s Penguin Solutions business provides integrated AI data center solutions that range from the design of AI clusters consisting of large-scale GPU servers, to expertise in data center deployment and operation.

Under the terms of the agreement, the Korean telco will invest $200 million in SGH by acquiring 200,000 convertible preferred shares.

“Our investment in and cooperation with SGH will give us an opportunity to boost our position in the AI value chain,” said Ryu Young-sang, CEO of SK Telecom. “In the era of AI transformation, we plan to continue to collaborate and make proactive investments to achieve global leadership in AI,” he said.

“This announcement is a testament to Penguin Solutions’ capabilities in the deployment of AI factories at scale through our systems, software, and managed services suite of solutions. We look forward to executing on these strategic collaboration opportunities with the SKT team and believe they will create value for our respective stakeholders,” said Mark Adams, CEO of SGH.

Last year, SK Telecom had announced its ambition to become a global artificial intelligence company by strengthening its own AI competitiveness and cooperating with partners globally.

The carrier’s CEO Ryu Young-sang unveiled the telco’s new ‘AI Pyramid Strategy’ centered around three key areas including AI infrastructure, AI transformation (AIX) and AI service.

Under this strategy, the executive said that the telecom expects the proportion of AI-related investment to approximately triple from 12% over the past five years to 33% over the next five years.

The company noted that AI Infrastructure is an area where SK Telecom’s technological capabilities are concentrated. The area consists of AI data centers, AI semiconductors and multiple LLMs.",https://www.rcrwireless.com/20240716/ai-ml/sk-telecom-invests-200m-in-us-ai-data-center-solutions-company,"SK Telecom had announced its ambition to become a global artificial 
intelligence company by strengthening its own AI competitiveness.",RCR Wireless News,2024年07月17日,"['invests', '200m', 'data', 'center']",neutral,2
