label,title,title_translated,content,link,snippet,source,date,keywords,topic
positive,台積電秒填息！開盤衝929元台股大漲313點至22361,"TSMC fills in information in seconds! Taiwan stocks surged 313 points to 22,361 yuan after opening at 929 yuan","華視影音 ·

台北市 / 黃傲天 周冠宇 報導 台積電今(12)日首度站上900元大關，終場收在909元，盤中最高甚至飆出914元新天價！而台積電海外擴廠進度，也備受市場關注。德國德勒斯登廠預計今年底就會動工，但專家提醒，歐洲強勢的工會以及工作文化差異，將成為台積電一大考驗。不過鄰近德國的波蘭等國，也想搶食商機，紛紛向台灣招手，希望能吸引台廠供應鏈進駐當地。走入德國德勒斯登人文風情盡收眼底，這裡就是台積電進軍歐洲的第一站，晶圓廠預定地圈地52.7公頃，預計今年底動工、2027年量產，當地政府正在打造半導體專用供水系統，讓晶圓用水和飲用水分開力拚節水，同時建立電網穩定電力供應，確保水電不是問題迎接台積電到來， 歐積電總裁 Christian Koitzsch說：「歐洲每月將生產4萬個晶圓，我們也將在德勒斯登廠雇用約2千名員工。」只是當地缺工嚴重，能否找到足夠人才成為台積電一大考驗，德國矽谷協會顧問分享案例，有間機械表廠商開出比業界高兩倍的薪水，成功緩解人力短缺問題，相信台積電也能提供有競爭力的薪資。但專家也點出，即便找到人台積電還得面對，比美國更強硬的歐洲工會，台灣和德國的工作文化差異，恐怕也得想辦法磨合，資深半導體分析師柴煥欣說：「跟美國人相較其實德國人確實是比較勤奮，但台積電的文化是不是適合德國，尤其是高度的工作壓力甚至於所謂的加班。」鄰近德國的歐洲國家也積極向台灣招手，五月波蘭投資局才親自飛到台北招商引資，波蘭投資貿易台北辦事處首席代表吾志遠還說，波蘭不只在補助條件上優於歐盟其他國家，「不怕苦」的人格特質，更是波蘭人快步發展的關鍵原因，希望台廠供應鏈也能進駐當地。但專家認為波蘭有別於德國和日本，在地沒有半導體大廠客戶，是一大劣勢，資深半導體分析師柴煥欣說：「就是沒有辦法提供相對應的訂單展望跟保證，我也看不到波蘭或者捷克，有一個世界級的IC設計公司。」「護國神山」前進海外，歐洲國家紛紛拋出橄欖枝，要在新一波商機爆發前提早卡位。 原始連結",https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%A7%92%E5%A1%AB%E6%81%AF%EF%BC%81%E9%96%8B%E7%9B%A4%E8%A1%9D929%E5%85%83-%E5%8F%B0%E8%82%A1%E5%A4%A7%E6%BC%B2313%E9%BB%9E%E8%87%B322361-010402784.html,台積電2023年度第4季現金股利約3.5元今（13）日除息，開盤跳空達928元，順利完成填息，再次演出「秒填息」戲碼，台積電創辦人張忠謀2018年6月退休前持有台積電12萬5137...,奇摩股市,2024年06月13日,"['臺積', '電秒', '點至', '填息']",2
positive,權王台積電第15度上演「秒填息」 除息後股價噴至929元刷新高,"The power king TSMC staged the ""Second Dividend Filling"" for the 15th time. After the ex-dividend, the stock price shot to a new high of 929 yuan.","權王台積電第15度上演秒填息，除息後股價噴至929元刷新高。資料照



權王台積電今（6/13）第15度上演「秒填息」戲碼！昨日股價收在909元，今日甫開盤就大漲23元，股價來到929元刷歷史新高。台股早盤應聲上漲逾300點，以22375.07點改寫盤中歷史新高紀錄。

台積電自2019年起實施逐季配息，至今20次皆成功填息，其中有15次當日完成填息，而最長填息時間是15個交易日。今日進行2023年第4季除息，去年Q4每股現金股利為新台幣3.49978969元，發放總金額907.62億元，將於7月11日發放。

受惠 AI 需求暢旺，台積電5月營收達台幣2,296.2億元，月減2.7%，年增30.1%，創下同期新高，且登上歷史單月營收第三高！該公司預估Q2營收將介於196億～204億美元之間，約為台幣6330.8億元至6589.2億元（台幣兌美元匯率1:32.3）。目前4月、5月累計營收已達4656.41億元台幣，也就是說6月營收只要超過1674.39億元就可達標。

台積電董事長魏哲家上周曾暗示將調漲晶圓代工售價，獲得輝達執行長黃仁勳認同。該公司還宣布買回3249張庫藏股，抵銷發行限制員工權利新股所造成的股權稀釋影響，買回區間價格每股598至1281元，是近日股價攀高的2大原因。

在股利發放部分，2022年每季皆配發2.75元股利，去年每季股利以3元起跳。今年開始，台積電小股東已連續2季獲配3.5元股利。5月中旬更宣布調高現金股利，配發2024年第一季之每股現金股利4元，配息基準日訂於9/18，除息日則為9/12，預計10/9發放。

台積電創辦人張忠謀2018年6月退休前持有台積電1.25億股，他在退休後若未處分手中持股，估計將有約4.37億元入袋。

台積電前董事長劉德音持股1291萬股，約4518萬元股息入袋；台積電董事長魏哲家持股639萬股，約2236萬元入袋。行政院國家發展基金管理會持有台積電16.537億股，約57.87億元入帳。

更多太報報導

最新晶圓代工市占出爐 護國神山台積電以61.7%遙遙領先三星！中芯躍升第三

受惠台版晶片法繳稅下降？ 台積電澄清：112年度繳納稅額高於前一年度

台積電5月營收2296.2億元！刷同期新高 登史上單月營收「季軍」",https://tw.news.yahoo.com/%E6%AC%8A%E7%8E%8B%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%AC%AC15%E5%BA%A6%E4%B8%8A%E6%BC%94-%E7%A7%92%E5%A1%AB%E6%81%AF-%E9%99%A4%E6%81%AF%E5%BE%8C%E8%82%A1%E5%83%B9%E5%99%B4%E8%87%B3929%E5%85%83%E5%88%B7%E6%96%B0%E9%AB%98-010607213.html,權王台積電今（6/13）第15度上演「秒填息」戲碼！昨日股價收在909元，今日甫開盤就大漲23元，股價來到929元刷歷史新高。台股早盤應聲上漲近300點，以22361.43點改寫盤...,奇摩新聞,2024年06月13日,"['股價', '噴至', '刷新', '除息']",1
positive,台積電ADR大漲4.4% 投資人關注今日除息秀,TSMC ADR surges 4.4% as investors focus on today’s ex-dividend show,"▲台積電ADR也大漲4.4%，收在172.98美元，換算台北交易股價突破1100元，溢價23.2%。而台積電將在今（13）日除息，投資人也關注除息大秀。（圖／NOWnews資料照片）

[NOWnews今日新聞] 美國聯準會預期今年只會有一次降息，不過投資人很快就消化鷹派消息，再加上昨（12）日美債殖利率走低，激勵科技股走高，費半指數也大漲2.9%。此外，台積電ADR也大漲4.4%，收在172.98美元，換算台北交易股價突破1100元，溢價23.2%。而台積電將在今（13）日除息，投資人也關注除息大秀。

美股標普500指數和那斯達克指數昨日連續三天創下收盤新高，由於美國最新通膨數據低於預期，因此激勵兩大指數走高，不過盤中傳出聯準會預期今年只會有一次降息，因此兩大指數漲勢收斂，不過收盤依舊再創歷史新高。

道瓊工業指數收盤下跌35.21點或0.09%，收在38712.21點，那斯達克指數上漲264.89點或1.53%，收在17608.44點，標普500指數上漲45.71點或0.85%，收在5421.03點，費半指數指數上漲155.49 點或2.9%，收5520.87點。美債殖利率下跌，美國2年期公債殖利率下跌7.2個基點、來到4.7623%；10年期公債殖利率下跌7.6個基點、來到4.3277%。

此外，台股ADR全數揚升，台積電ADR大漲4.39%，日月光ADR上漲2.88%，聯電ADR上漲1.63%，中華電信ADR漲0.48%。其中台積電ADR收在172.98美元，換算台北交易股價突破1100元，溢價23.2%。

台積電今日除息，每股配發3.5元股利，此次季配息將發出907.62億元現金，預計7月11日發放股息。同一日除息的上市股票，還有另外11家，證交所表示，這12家上市公司13日除息後，影響指數30.97點，其中台積電一檔除息，對指數的影響多達28.69點。除息後填息速度，是投資人關注焦點。

除息前夕，台積電昨日股價氣勢如虹，股價開高走高，以長紅K突破900元整數大關，股價以909元作收，上漲26元，漲幅2.94％，盤中最高衝上914元，再創歷史新高價；假如今日除息當天就填息，將是連續第15次寫下當日填息紀錄。回顧台積電過往除息情況，自2019年改為季配息以來，已有19次成功填息，其中有14次是當日填息達陣，而最長填息時間則是15天。

更多 NOWnews 今日新聞 報導

國際化佈局！台泥宣布以每股1.1歐元、收購歐洲轉投資NHOA股份

台積電站907元！創辦人張忠謀身價達1131億 市場關注明日除息秀

台積電衝至909元、蘋概股發光 台股漲256點、站穩22000點關卡",https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E5%A4%A7%E6%BC%B24-4-%E6%8A%95%E8%B3%87%E4%BA%BA%E9%97%9C%E6%B3%A8%E4%BB%8A%E6%97%A5%E9%99%A4%E6%81%AF%E7%A7%80-000940792.html,[NOWnews今日新聞]美國聯準會預期今年只會有一次降息，不過投資人很快就消化鷹派消息，再加上昨（12）日美債殖利率走低，激勵科技股走高，費半指數也大漲2.9%。,奇摩新聞,2024年06月13日,"['adr', '大漲', '投資人', '臺積']",1
positive,台股衝上二萬二新高台積電破900元天價,"Taiwan stocks hit a new high of NT$22,000, TSMC broke through the sky-high price of NT$900","台北股市收盤站上2萬2千點大關，再度寫下新里程碑！台北股市今(12)日開高走高，大漲256點，加權股價指數終場以2萬2,048點作收，漲幅1.18％，成交量4,475億元。權王台積電股價，在除息前夕突破900元大關，且收盤價也站穩900元之上。

今天盤中最高點來到2萬2,094點，而收盤點數2萬2,048點，雙雙再創歷史紀錄，同時市值突破70兆元大關。AI題材熱度持續，輝達及蘋果股價輪漲，兩者均帶動台積電走高，再推升聯發科及鴻海股價，權值股走揚是台股續創新高的關鍵。

台積電等電子權值股表現優異，是推動大盤亮麗表現的主因。台積電股價開高走高，大漲26元，以909元作收，漲幅達2.94％，盤中衝出每股914元的天價，市值更達23.57兆元，貢獻大盤212點之多。

6月13日台積電除息，每股配發股利3.5元，7月11日發放股息，此次季配息發出907.62億元的現金股利。證交所表示，台積電除息將影響指數28.69點，預估將延續當日填息的傳統。

台積電業績看漲，利多消息頻發，傳出蘋果、高通、輝達、超微等大廠，包下台積電三奈米產能，客戶排隊一路排到2026年。台積電預期今(2024)年業績逐季攀高，全年營收成長21％至26％。

就在美國聯準會利率決策會議決定利率前，台股多頭控盤大膽，指數攀高幾乎不休息，根本不理會央行總裁楊金龍的居高思危警示，大盤再攻天價。前2週連續賣超的外資，今天轉為買超168億元，投信買超22億元，自營商則賣超24億元，三大法人合計買超165億元。

至於匯市方面，昨(11)天重貶1.45角的新台幣對美元匯率，今天開盤後原本陷入震盪，但在台股大漲下回神，以32.386兌一美元收盤，小升0.9分，匯市交易量超過16億美元。

原文出處

延伸閱讀",https://tw.news.yahoo.com/%E5%8F%B0%E8%82%A1%E8%A1%9D%E4%B8%8A%E4%BA%8C%E8%90%AC%E4%BA%8C%E6%96%B0%E9%AB%98-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%A0%B4900%E5%85%83%E5%A4%A9%E5%83%B9-203336068.html,在台積電等權值股帶動下，台北股市站上2萬2千點大關再創新高(圖/卡優新聞網),Yahoo新聞,2024年06月13日,"['衝上', '二萬', '二新', '天價']",2
positive,台積飆破900大關台股創新高,"TSMC soared past the 900 mark, Taiwan stocks hit new highs","台積電12日漲勢銳不可當，盤中登上914元新高。此為示意圖。（本報資料照片）

台積電12日漲勢銳不可當，盤中登上914元新高，雖收在909元，仍創收盤新高，市值來到23.65兆元；AI科技題材激勵，台股盤中再度攻上2萬2大關，以2萬2094創新天價，終場收在2萬2048點同步改寫收盤紀錄。

蘋果在全球開發者大會（WWDC）首秀人工智慧，新光臺灣半導體30 ETF（00904）經理人詹佳峯表示，蘋果11日股價大漲7.26％，市值重返全球第二擠下輝達，AI升級的新蘋果燒旺台股創歷史新高，也推升台積電衝上新天價。

詹佳峯認為，AI運用百花齊放，下半年台股投資主軸仍在AI身上，從AI伺服器、高速運算應用與高階智慧型手機AI化，直接催動半導體含矽量增加，尤其台積電的3奈米先進製程，在AI市場具技術主宰力，難以取代，目前包括蘋果、輝達與超微等科技大廠均包下台積電先進製程產能，台積電客戶排隊潮一路排到2026年。

由於AI伺服器及相關零組件的需求持續強勁，且下半年台灣相關供應鏈還有輝達最新的伺服器陸續出貨，工研院12日預估，在2024年台灣的半導體產值會突破5兆元大關，預計達5兆1134億元，年成長17.7％，比全球半導體產業成長的13.1％還高。

中經院代理院長王健全提醒，台灣的半導體產業傾斜越來越明顯，同時伴隨高度政治風險，半導體業應該與其他產業連結，讓經濟發展更健康。",https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%A3%86%E7%A0%B4900%E5%A4%A7%E9%97%9C-%E5%8F%B0%E8%82%A1%E5%89%B5%E6%96%B0%E9%AB%98-201000536.html,台積電12日漲勢銳不可當，盤中登上914元新高，雖收在909元，仍創收盤新高，市值來到23.65兆元；AI科技題材激勵，台股盤中再度攻上2萬2大關，以2萬2094創新天價，...,奇摩新聞,2024年06月13日,"['飆破', '臺股', '創新', '大關']",2
neutral,台積電德國廠年底動工「工作文化差異」大考驗,"TSMC's German factory will start construction at the end of the year, a big test of ""work culture differences""","台北市 / 黃傲天 周冠宇 報導

台積電今(12)日首度站上900元大關，終場收在909元，盤中最高甚至飆出914元新天價！而台積電海外擴廠進度，也備受市場關注。德國德勒斯登廠預計今年底就會動工，但專家提醒，歐洲強勢的工會以及工作文化差異，將成為台積電一大考驗。不過鄰近德國的波蘭等國，也想搶食商機，紛紛向台灣招手，希望能吸引台廠供應鏈進駐當地。

走入德國德勒斯登人文風情盡收眼底，這裡就是台積電進軍歐洲的第一站，晶圓廠預定地圈地52.7公頃，預計今年底動工、2027年量產，當地政府正在打造半導體專用供水系統，讓晶圓用水和飲用水分開力拚節水，同時建立電網穩定電力供應，確保水電不是問題迎接台積電到來， 歐積電總裁 Christian Koitzsch說：「歐洲每月將生產4萬個晶圓，我們也將在德勒斯登廠雇用約2千名員工。」

只是當地缺工嚴重，能否找到足夠人才成為台積電一大考驗，德國矽谷協會顧問分享案例，有間機械表廠商開出比業界高兩倍的薪水，成功緩解人力短缺問題，相信台積電也能提供有競爭力的薪資。

但專家也點出，即便找到人台積電還得面對，比美國更強硬的歐洲工會，台灣和德國的工作文化差異，恐怕也得想辦法磨合，資深半導體分析師柴煥欣說：「跟美國人相較其實德國人確實是比較勤奮，但台積電的文化是不是適合德國，尤其是高度的工作壓力甚至於所謂的加班。」

鄰近德國的歐洲國家也積極向台灣招手，五月波蘭投資局才親自飛到台北招商引資，波蘭投資貿易台北辦事處首席代表吾志遠還說，波蘭不只在補助條件上優於歐盟其他國家，「不怕苦」的人格特質，更是波蘭人快步發展的關鍵原因，希望台廠供應鏈也能進駐當地。

但專家認為波蘭有別於德國和日本，在地沒有半導體大廠客戶，是一大劣勢，資深半導體分析師柴煥欣說：「就是沒有辦法提供相對應的訂單展望跟保證，我也看不到波蘭或者捷克，有一個世界級的IC設計公司。」「護國神山」前進海外，歐洲國家紛紛拋出橄欖枝，要在新一波商機爆發前提早卡位。

原始連結

更多華視新聞報導

同建案交易量最高5成來自「台積人」 代銷：互相介紹居多

主計總處：68%受僱員工在平均月薪未達5萬職場工作

日本智能滾筒炒飯鍋 2分鐘就能上菜.洗碗15秒



看更多相關新聞

台積電飆破900元大關！還能追嗎？ 專家示警：先不要

【台積電赴德】外派是上上籤？台積電工程師：日本是首選 外國人不加班只能台灣人做

【台積電赴德】鄰居搶台廠！波蘭祭補助「全歐盟最高」：已接洽至少10家企業

台積電飆破907元天價！除息前再創新高 張忠謀身價突破1131億

劉德音卸任給建議「買台積電」4交易日漲8％被讚「超神」",https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%BE%B7%E5%9C%8B%E5%BB%A0%E5%B9%B4%E5%BA%95%E5%8B%95%E5%B7%A5-%E5%B7%A5%E4%BD%9C%E6%96%87%E5%8C%96%E5%B7%AE%E7%95%B0-%E5%A4%A7%E8%80%83%E9%A9%97-114900906.html,"台北市/ 黃傲天周冠宇報導. 
台積電今(12)日首度站上900元大關，終場收在909元，盤中最高甚至飆出914元新天價！而台積電海外擴廠進度，也備受市場關注。德國德勒斯登廠...",Yahoo新聞,2024年06月12日,"['工作', '文化差異', '臺積', '德國']",1
negative,中芯獲大基金挹注與台積電股價仍創大落差,SMIC receives major fund investment and TSMC stock price still has a huge gap,"▲《彭博》報導，在大基金的加持下投資人對中芯國際仍不買單，中芯今年以來的股價走勢與台積電的差距創下近20年來最高紀錄。圖為台積電。（圖／美聯社／達志影像）

[NOWnews今日新聞] 中國政府為推動晶片產業發展，上月成立國家大基金三期，盼能克服美國的制裁，帶動從中芯國際到華為等本土企業發展，將國家資本挹注這些重要公司。不過《彭博社》發現，自今年初以來，台積電（TSMC）與中國最大芯片製造商中芯（SMIC）的股價差距接近20年來最大水平。

中國大基金三期重磅落地，註冊資本達人民幣3440億元，相當於新台幣1.5兆元，成為歷來最大規模，也盼藉由新一輪國有資本投資來推動創新和產業自主，目前已向中國最大的兩家晶片代工廠中芯國際和華虹半導體、及記憶體製造商長江存儲和一些規模較小的公司和基金提供融資。

然而根據《彭博》報導，在大基金的加持下投資人對中芯國際仍不買單，中芯今年以來的股價走勢與台積電的差距創下近20年來最高紀錄，截至本月7日為止，中芯國際今年已經下跌7.5%，台積電股價則已暴漲48%，顯示中國在打造國產晶片產業仍面臨困境，尤其在技術落後和成本方面難以迎頭趕上。

報導指出，中國科技大廠華為去年透過中芯生產的「7奈米製程晶片」推出Mate 60 系列手機，該晶片就是中芯國際利用艾司摩爾的深紫外光刻機（DUV）製造，然而這種用DUV 沉積和蝕刻設備進行改造的方式，成本會比直接使用EUV昂貴約6倍，在生產規模方面難以擴大。

投資銀行香頌資本（Chanson & Co.）董事沈萌（Shen Meng）明確指出，「中國欲提升中芯國際的技術，即便有充足的資金，也並非一朝一夕就能實現」，而彭博行業研究分析師查爾斯．岑（Charles Shum）也認為，就算中芯國際能夠使用 5nm 技術來生產晶片，但在沒有 EUV 的情況下，成本也會比台積電高出至少 10 倍，「不僅要在技術的差距縮小至一個水平，還要關乎你生產所需的成本」。

更多 NOWnews 今日新聞 報導

還要砸更多錢研發晶片！彭博 : 中國大基金未來擬推3.5版本

拚晶片自給自足！中國「豪砸1.5兆元」成立半導體國家大基金三期

Q1全球晶圓代工產值季減4.3% 中芯國際排名竄升至第三",https://tw.news.yahoo.com/%E4%B8%AD%E8%8A%AF%E7%8D%B2%E5%A4%A7%E5%9F%BA%E9%87%91%E6%8C%B9%E6%B3%A8-%E8%88%87%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%82%A1%E5%83%B9%E4%BB%8D%E5%89%B5%E5%A4%A7%E8%90%BD%E5%B7%AE-112123335.html,[NOWnews今日新聞]中國政府為推動晶片產業發展，上月成立國家大基金三期，盼能克服美國的制裁，帶動從中芯國際到華為等本土企業發展，將國家資本挹注這些重要公司。,Yahoo新聞,2024年06月12日,"['臺積', '股價', '創大', '基金']",1
neutral,神山又創新高價！他問「無腦入台積電」為何成不了顯學？網揭散戶心態：不賭不要買,"Shenshan has set a new high price! He asked why someone who ""entered TSMC without brains"" could not become a prominent scholar? The Internet reveals the mentality of retail investors: If you don’t bet, don’t buy.","[FTNN新聞網]記者林兪彤／台北報導

台股今（12）日由於權值三王穩定上揚，台積電、鴻海皆在盤中創下歷史新高，終場以256.84點作收，收在22,048.96點，同創收盤新高價。其中台積電今日收909元創新高，也有網友好奇提問，「無腦買台積電，為何成為不了顯學」。貼文一出，也吸引相當多網友留言回應道「因為我們才不想賺慢錢啊，買股票就是要賭，不然不要買」、「大多數散戶就是來賭博的，最好一週一根一個月翻倍，台積電這種又穩又慢的他們瞧不上」。

台積電今（12）日股價收909元，除是首度突破900元大關，公司市值亦攀高至23兆元。（示意圖／資料照）

護國神山台積電（2330）今日表現搶眼，漲26元、漲幅2.94%，收909元，盤中則一度達914元，攻上歷史新高，除是台積電首度突破900元大關，公司市值亦攀高至23兆元。則有網友在PTT發文表示，「台積電今天又創下新高，K線圖拉出來，無腦多就對了，製程十年內沒有對手，買不起整張也可以買零股啊，買GG報酬率大勝一堆殺進殺出的」。

此外，原PO也不解表示，就算真的遇到股災黑天鵝，國安基金也是優先救台積拉指數；對此，原PO也點出進退場機制，「進：隨時進，10年內沒對手，季季配息當加菜金，退：買台積有在停損？」他也不解表示，「曾經的大學長688T，現在來看馬上一堆學弟進來了，無腦台積電，為何成為不了顯學？」

台積電今（12）日股價收909元創新高，也有網友好奇提問「無腦買台積電，為何成為不了顯學」。（圖／翻攝PTT）

貼文一出，也吸引不少網友討論道「買600的被笑幾年了，你問問他們」、「Ｏ，我成本六百被笑兩年」、「這重要嗎？我還希望不要成為顯學」、「我600買放了兩年 現在900還沒賣」、「投資標的沒有永遠的顯學，只有當下最佳的選擇」、「變顯學，叫那些投顧分析師怎麼活」、「台積股東有120萬人，哪裏不是顯學」、「因為我們才不想賺慢錢啊，買股票就是要賭，不然不要買」、「因為他們穩穩賺，都不會上來告訴你」、「大多數散戶就是來賭博的，最好一週一根一個月翻倍，台積電這種又穩又慢的他們瞧不上」。

更多FTNN新聞網報導

台積電「殖利率好低」誰要捧？內行曝最賺投資法 網一票推：衣食父母

台積電飆近800元！他好奇巴菲特「清光GG」在想什麼 網調侃：都怪八卦仔

重回600大關！他「長抱台積電2年」爆賺六百萬 曝「8字箴言」本多終勝

",https://tw.stock.yahoo.com/news/%E7%A5%9E%E5%B1%B1%E5%8F%88%E5%89%B5%E6%96%B0%E9%AB%98%E5%83%B9-%E4%BB%96%E5%95%8F-%E7%84%A1%E8%85%A6%E5%85%A5%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E7%82%BA%E4%BD%95%E6%88%90%E4%B8%8D%E4%BA%86%E9%A1%AF%E5%AD%B8-%E7%B6%B2%E6%8F%AD%E6%95%A3%E6%88%B6%E5%BF%83%E6%85%8B-090000389.html,[FTNN新聞網]記者林兪彤／台北報導台股今（12）日由於權值三王穩定上揚，台積電、鴻海皆在盤中創下歷史新高，終場以256.84點作收，收在22048.96點，同創收盤...,奇摩股市,2024年06月12日,"['又創新高', '無腦', '神山', '成不了']",1
positive,"狂寫史高「台積電、鴻海二王報喜」！台股漲256點收22,048點首收2萬2千點大關","Crazy writing of ""The two kings of TSMC and Hon Hai announce their good news""! Taiwan stocks rose 256 points to close at 22,048 points, closing at 22,000 points for the first time","[FTNN新聞網]記者李惠婷／台北報導

台股今（12）日開高走高，以21841.81點開出後持續上衝，由於權值三王穩定上揚，台積電、鴻海皆在盤中創下歷史新高，指數盤中最高噴至22,094.94點，再寫歷史新高價，集中市場終場則以大漲256.84點作收，指數穩穩站上22,000點大關，收在22,048.96點，同創收盤新高價，並是台股指數首次收在2萬2千點關卡，成交金額則減至4,482.98億元。

台股漲256點收22,048點，首收2萬2千點大關。（示意圖／資料照）

美股周二主要指數多數上漲，投資人看好蘋果（Apple）新公布的AI計畫，帶動該公司股價上漲，那指與標普今日也創收盤新高，道瓊跌0.31%，收在38747.42點；標普漲0.27%，收報5375.32點；那指漲151.02點或0.88%，收17343.55點；費半漲0.06%，收5365.38點。

台股今以漲49.69點至21841.81點開出，由於權值三王漲勢穩定，及其他電子、半導體等類股助力，大盤指數今畫出完美上走線，隨著時間持續震盪攀爬，開盤點也成為今日最低點，最高峰則達22,094.94點，終場大漲256.84點、漲幅1.18%，以22,048.96點作收。

權值股部分，今日權值三王皆在上漲之列，台積電（2330）漲26元、漲幅2.94%收909元，盤中則一度達914元，攻上歷史新高；鴻海（2317）漲7元、漲幅3.88%收187.5元，盤中升至188元，同創歷史新高；聯發科（2454）漲30元、漲幅2.36%收1,300元；日月光投控（3711）漲1.56%、台達電（2308）1.03%、國泰金（2882）跌1.36%。

觀察各類股指數走勢，其他電子、半導體、電子、機電、光電等類股表現不錯，航運、玻璃、營建、數位雲端等類股則相較弱勢。

其他電子族群中，有2檔攻上漲停，包含所羅門（2359）收171.5元、盟立（2464）收65.4元，半導體也有3檔上走亮燈，包含十銓（4967）收161元、芯鼎（6695）收69.9元、昇陽半導體（8028）收70.5元。

航運股今同樣慘澹，「航運三雄」長榮（2603）跌3.04%、陽明（2609）跌5.09%、萬海（2615）跌5.90%，四維航（5608）跌9.07%、中櫃（2613）跌6.81%。

更多FTNN新聞網報導

台積電漲5元！台股開盤漲49點至21841點 聯發科由黑轉紅上走中

強、弱勢力激戰！華城跳水「AI股廣達強漲護盤」 台股今漲20點至17930點

光電發威、AI急拉！大盤跌倒「發哥瘋漲16元」捧回盤上 台股小漲18點收17468點

",https://tw.yahoo.com/money/%E7%8B%82%E5%AF%AB%E5%8F%B2%E9%AB%98-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E9%B4%BB%E6%B5%B7%E4%BA%8C%E7%8E%8B%E5%A0%B1%E5%96%9C-%E5%8F%B0%E8%82%A1%E6%BC%B2256%E9%BB%9E%E6%94%B622-048%E9%BB%9E-072000413.html,[FTNN新聞網]記者李惠婷／台北報導台股今（12）日開高走高，以21841.81點開出後持續上衝，由於權值三王穩定上揚，台積電、鴻海皆在盤中創下歷史新高，指數盤...,Yahoo奇摩,2024年06月12日,"['股漲', '點收', '千點', '大關']",2
negative,台積電明除息大盤估約蒸發29點,TSMC’s stock market is expected to evaporate by about 29 points next time it ex-dividends,"台積電明（13）日除息，每股配發3.5元，市場關注台積電能否再度秒填息之餘，加權股價指數也會在一開盤就先「蒸發」超過28.9點，倫元投顧分析師王春盛受訪時表示，「預估又是開盤秒填息」。

台積電明除息，大盤估約蒸發29點。資料照／記者呂欣芷攝

王春盛說明，AI及HPC需求已將台積電5奈米及3奈米製程產能塞爆，今年底3奈米產能預計拉高至12~13萬片水準，因此，營運動能極強而所帶來大量的營運現金流入，今年第一季現金股利已提高至4元，除息基準日為9/18，值得投資人長線投資。

根據統計，台積電從2019年改成季配息之後，13次都是當天填息，最長填息時間是15天。

證交所說明，該所自編的發行量加權股價指數之基值係依加權股價指數編製要點及分類指數規則維護，為維持股價指數的連續性，該指數之計算公式：股價指數 ＝ 所有採樣股票總發行市值 ÷ 當日基值 × 100。

當採樣股票遇股東無償配股除權時，發行股數增加而股價下降，其發行市值（股價 × 發行股數）仍維持不變，故不影響股價指數；但遇採樣股票除息時，因除息不必調整指數基值，其發行股數不變，但股價因配發現金股利而下降，發行市值將減少，故依各除息股票之發行股數大小、現金股利高低而對相關股價指數產生大小不同的影響。

證交所於每日也編有相關股價指數的「報酬指數」，除遇股票除息時調整指數基值，該等指數不受現金股利影響而反映市值變動外，報酬指數調整基值的條件與股價指數相同，為衡量投資績效之重要指標。",https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%98%8E%E9%99%A4%E6%81%AF-%E5%A4%A7%E7%9B%A4%E4%BC%B0%E7%B4%84%E8%92%B8%E7%99%BC29%E9%BB%9E-071521234.html,台積電明（13）日除息，每股配發3.5元，市場關注台積電能否再度秒填息之餘，加權股價指數也會在一開盤就先「蒸發」超過28.9點。,奇摩股市,2024年06月12日,"['臺積', '電明', '除息', '蒸發']",2
