label,title,title_translated,link,snippet,source,date,topic,content,keywords
neutral,台灣證交所即時重大訊息- 公告代子公司上海商業銀行有限公司發布113年上半年度增提之備抵呆帳(補充113/7/9公告之子公司為上海商業銀行有限公司),"Real-time major news from the Taiwan Stock Exchange - Announcement on behalf of the subsidiary Shanghai Commercial Bank Co., Ltd. to release additional allowances for bad debts in the first half of 2013 (supplementary announcement on 113/7/9 The subsidiary is Shanghai Commercial Bank Co., Ltd.)",https://news.ustv.com.tw/companynews/64788,"1.事實發生日:113/07/09 2.公司名稱:上海商業銀行有限公司 3.與公司關係(請輸入本公司或子公司):子公司 4.相互持股比例:57.6% 
5.發生緣由:子公司上海商業銀行有限...",非凡新聞,2024年07月18日,1,"公告代子公司上海商業銀行有限公司發布113年上半年度增提之備抵呆帳(補充113/7/9公告之子公司為上海商業銀行有限公司)

A + A - 字級:



1.事實發生日:113/07/09

2.公司名稱:上海商業銀行有限公司

3.與公司關係(請輸入本公司或子公司):子公司

4.相互持股比例:57.6%

5.發生緣由:子公司上海商業銀行有限公司113年上半年度增提備抵呆帳以反映經營市場 環境，增提金額為港幣1,487百萬元。

6.因應措施:持續密切加強債權管理，控制信貸風險。

7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時 符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):本 項子公司於113年上半年度所增提之備抵呆帳對本公司113年上半年度財務並未造成重大 影響，亦未影響本公司及子公司之營運。

- 資料來源：臺灣證券交易所公開資訊觀測站

- 以上資料均由各公司依發言當時所屬市場別之規定申報後對外公佈，資料如有虛偽不實，均由該公司負責。","['臺灣', '證交所', '商業銀行', '子公司']"
positive,上海商銀1.8元除息首日平盤震盪 最高填息三成,"Shanghai Commercial Bank's 1.8 yuan ex-dividend price fluctuated on the first day, and the highest interest rate was 30%.",https://tw.stock.yahoo.com/news/%E4%B8%8A%E6%B5%B7%E5%95%86%E9%8A%8018%E5%85%83%E9%99%A4%E6%81%AF%E9%A6%96%E6%97%A5%E5%B9%B3%E7%9B%A4%E9%9C%87%E7%9B%AA-%E6%9C%80%E9%AB%98%E5%A1%AB%E6%81%AF%E4%B8%89%E6%88%90-030201211.html,上海商銀（5876）1.8元現金股利今（17）日除息，以昨天收盤價計算，殖利率近4%，昨天有1.8萬張成交參與除息，今早一度上漲0.55元，最高填息三成，不過今早隨川普保護費...,奇摩股市,2024年07月17日,2,"上海商銀（5876）1.8元現金股利今（17）日除息，以昨天收盤價計算，殖利率近4%，昨天有1.8萬張成交參與除息，今早一度上漲0.55元，最高填息三成，不過今早隨川普保護費說大盤震盪下又拉回平盤上下震盪。也曾陷入貼息窘境。

延伸閱讀：上海商銀子行增提呆帳致6月轉虧 上半年獲利年減三成EPS1.41元

上海商銀1.8元除息首日平盤震盪，最高填息三成。資料照片：中央社

上海商銀1.8元現金股利今日除息首日，開盤小紅一度站上43.85元，漲0.55元，填息幅度最高僅三成，隨後就拉回平盤附近游走，一度翻黑陷貼息窘境。

上海商銀昨天收盤價為45.1元，以股息1.8元計算，股息殖利率為3.99%，相較銀行定存仍屬相對較高，昨天成交量略增至1.8萬元以上。股利即將在8月2日發放。

上海商銀日前公布6月自結稅後虧損6.63億元。累計上半年獲利68.25億元，年減三成，每股盈餘為1.41元。公司表示，出現單月虧損是因為香港子行受國際利率居高不下及經營環境影響，子行基於保守穩健原則於6月底增提備抵呆帳以提高應付風險能力，不過自結上半年手續費淨收益為23.61億元，仍較上年同期大幅成長48.2%。

⭐手刀加入！Yahoo奇摩Line理財官方帳號⭐","['除息', '填息', '三成']"
neutral,投信近3日買超個股 | anue鉅亨網 | LINE TODAY,LINE TODAY,https://today.line.me/tw/v2/article/l23xj9k,1. 投信累計買超3 日的股票聯電(2303-TW)、上海商銀(5876-TW)、遠東新(1402-TW)、大聯大(3702-T...,LINE TODAY,2024年07月16日,1,"請更新您的瀏覽器

您使用的瀏覽器版本較舊，已不再受支援。建議您更新瀏覽器版本，以獲得最佳使用體驗。","['買超', '個股', '投信', 'anue']"
positive,上海商銀、亞泥、玉山金...現金殖利率逾2％，17檔高息股一表看！法人逆勢買、股息價差兩頭賺,"Shanghai Commercial Bank, Asia Ni, Yushan Gold...the cash yield rate exceeds 2%. Check out the table of 17 high-dividend stocks! Legal persons buy against the trend and earn from both sides of the dividend spread",https://www.businesstoday.com.tw/article/category/183008/post/202407140010/,美國出現通膨降溫訊號、即將迎向降息，美股漲勢中斷並干擾台股12日一度重挫615點。而資金逢低進場，尾盤跌幅收斂、跌473點，加上適逢台股除息旺季，以及美股反彈與台指...,今周刊,2024年07月15日,2,"美國出現通膨降溫訊號、即將迎向降息，美股漲勢中斷並干擾台股12日一度重挫615點。而資金逢低進場，尾盤跌幅收斂、跌473點，加上適逢台股除息旺季，以及美股反彈與台指期夜盤大漲逾300點，分析師認為，台股劇烈震盪之際，法人仍敢於進場的高現金殖利率股，如上海商銀、亞泥、玉山金等，有望走一波填息行情。

台新投顧副總經理黃文清表示，AI投資熱、台股的資金眾多，以及台灣外銷出口到美國相當強勁，是助攻台股本周一度大漲至24,416點創新高的主要推力，台股正處於除息行情期間，多數已填息，今年有參加個股除息的投資人，股息價差兩頭賺。

雖然12日台股重挫，但仍無礙台股正行駛中的多頭列車，建議仍可跟隨三大法人勇於參與除息，等待填息。

篩選即將除息、現金殖利率超過2％以上、12日台股重挫，三大法人逆勢仍站在買方的個股，依序有上海商銀、亞泥、玉山金、潤泰全、潤泰新等17檔。

統一投顧董事長黎方國表示，今年上半年金控、銀行獲利豐沛，尤其金控旗下的壽險、證券、投信等，今年營運、獲利暢旺，預期2025年的配息政策將優於投資人的預期，尚未除息的如上海商銀、王道銀行及富邦金等，12日獲得三大法人的加碼，等待參與除息。

台灣高鐵受惠內需成長，上半年營收達265億元，年增8.36％，12日現金殖利率達3.31％，將在7月16日除息，留意下半年高鐵票價的漲價題材。

永豐投顧總經理李學詩認為，美國6月消費者物價指數（CPI）罕見月減0.1％，是2020年5月來首度負成長，隨著美國通膨降溫，聯準會等待的通膨降溫已經逐漸成真，9月降息大致確定，資金將在股、債兩個市場轉移。

不過李學詩表示，台股趨勢多頭，儘管12日指數重挫，仍宜對台股採取偏多操作，考量各國加大對AI的投資趨勢，我國6月出口已連續八個月維持年增成長，特別是對美國出口值增幅達到74％，顯示台灣優勢產業正受到AI的帶動，迎接景氣上升的大好時光。

※本文授權自工商時報，原文見此。

延伸閱讀：

友達、玉山金等入列 15檔低基期股 賺補漲財

外資大買面板雙虎 法人：二因素恐不利7月出貨表現

話題》川普驚傳遭槍襲 重點一次看","['玉山', '現金', '利率', '股息']"
neutral,2024巴黎奧運器材設計揭曉！藍、綠、紫成場館主色調，夢幻繽紛球類展現運動新美學,"2024 Paris Olympic equipment design revealed! Blue, green and purple are the main colors of the venue, and the dreamy and colorful ball games show the new aesthetics of sports.",https://www.wowlavie.com/article/240024743,從羽毛球拍到攀岩牆，盲人足球到球門柱，每一屆奧運都使用專屬訂製的運動器材與設施，上頭印有個競賽項目的圖標，讓觀眾一眼就能辨識出來。,設計美學,2024年07月13日,3,"辦公室裡不用的鍵盤、滑鼠、信封、公文紙……各種雜物，除了丟掉，還能拿來做什麼？在新落成的「鑽石大樓」上海商銀總行裡，這些廢棄物化為創作媒材，由台灣設計及工藝團隊META再製為「樓層指標」！

上海商業儲蓄銀行總行大樓。（圖片來源：JJP潘冀聯合建築師事務所）

（圖片提供：META DESIGN／攝影：詩懿）

樓層指標，「鑽石大樓」裡必看的設計巧思

由JJP潘冀聯合建築師事務所設計的上海商銀總行大樓，以奪目的鑽石結構立面吸飽目光。可它的設計巧思不只體現於外部，更散落於室內各樓層，負責室內裝修的漢象設計團隊，邀請擅長以回收物創作的META，為2～16樓創作專屬的樓層指標。凡是搭乘電梯，門一開就能看到材質多變、融入永續思維的工藝作品，且每層樓各有特色與含義。

➛ 台北「上海商銀總行大樓」華麗重生！潘冀建築事務所打造鑲嵌於都市的鑽石高樓

（圖片提供：META Design／攝影：詩懿）

META為何以廢棄物創作？

以廢棄物為材始終是META的創作根本，一直以來他們藉由藝術與工藝的轉化，展現看似無用之物的價值，企圖改變人們看待廢棄物的觀念。這次為上海商銀總行大樓創作，META結合9類回收物、14種工藝手法，詮釋呼應銀行場域、各樓層單位特質的15個創作概念，最終共有22個數字創品誕生。

（圖片提供：META DESIGN／攝影：詩懿）

回收物哪裡來？行員齊力收集

META為上海商銀總行大樓歸納出的15個創作關鍵字，包含行員與顧客之間的真誠「交流」、金融工作必備的「謹慎」特質、順應時代浪潮的「數位」服務、呼應13樓行史館典藏的「無價」企業歷史等等。

（圖片提供：META DESIGN／攝影：詩懿）

而作為創作媒材的所有回收物，都由上海商銀同仁收集而來，包括制服、鈕扣、公文紙、信封、海報、鍵盤、滑鼠、寶特瓶……各式物件。

（圖片提供：META DESIGN／攝影：詩懿）

深入各樓指標亮點，看回收物如何再生

▌寶特瓶

呼應2樓關鍵字「交流」，META以寶特瓶為材料，汲取瓶身透明的特性，營造清新、流動的氣質，象徵企業與訪客之間透明、真誠的交流。

（圖片提供：META DESIGN／攝影：詩懿）

另一件以寶特瓶創作的指標於3樓亮相，META把瓶子抽絲為條狀，編織成疏密有致的平面後層層堆疊，將關鍵字「溝通」的多層次網絡具象化。

（圖片提供：META DESIGN／攝影：詩懿）

▌碎紙

銀行裡堆得像座山的碎紙，乘載著團隊們齊心協力梳理、統整大量資料的心力。META透過兩種手法再創，一是編織、二是將紙片重組為團塊，營造出資訊無限循環、寬廣無垠的特質，扣合關鍵字「效率」及「流通」。

（圖片提供：META DESIGN／攝影：詩懿）

（圖片提供：META DESIGN／攝影：詩懿）

▌鍵盤和滑鼠

淘汰的鍵盤、滑鼠被META一一拆解，其中線材用來搭建出一個三維空間，俐落線條呼應著數位時代下，資訊快速流通的意象；按鍵、滾輪等則穿梭其中，營造出機械與未來感十足的微型景觀。

（圖片提供：META DESIGN／攝影：詩懿）

▌制服、絲巾和領帶

行員們不再需要的布料與織品，也都獲得重生。其中制服被裁剪成統一尺寸的長型布料，以層層堆疊的方式呼應關鍵字「累積」，創造出6字型的暖色波浪。

（圖片提供：META DESIGN／攝影：詩懿）

剩餘的制服與絲巾、領帶等布料，有些被壓縮後捲曲，為數字4指標賦予動感的線條；有些則被撕、剪成條狀，重新編織為新布面，為15樓指標賦予色彩繽紛的紋理。

（圖片提供：META DESIGN／攝影：詩懿）

（圖片提供：META DESIGN／攝影：詩懿）

▌鈕扣

從制服拆下的鈕扣，在META眼中像是一個又一個的節點，於是將其串聯，在金屬網架上形成緊密的網絡。這些數以百計的鈕扣大小、顏色、材質都不一樣，彼此之間卻密切相連，就像是企業網絡的豐富組成，呼應著12樓的關鍵字「多元」，也帶有向外建立更多連結的想望。

（圖片提供：META DESIGN／攝影：詩懿）

▌紙箱和塑膠袋

平凡無奇的紙箱，經過精心切割與排列，對外呈現出不同的紋理，並在數字10的金屬框架內形成一座強而有力的堡壘，彷彿捍衛著公司擋下外部風險，回應著樓層關鍵字「堅定」。同樣常見於日常生活的塑膠袋及包裝，META將其相互疊加、交錯，創造出活潑的立體字樣。

（圖片提供：META DESIGN／攝影：詩懿）

（圖片提供：META DESIGN／攝影：詩懿）

▌信封袋、海報和刊物

各種文具與文宣的材料，分別透過不同的工藝手法重生：信封袋被塑成立體的樣貌，像是一棟又一棟迷你建物，在數字16的框架裡形成一座微型城市，突破紙張平面的限制；海報被切割出線條俐落、角度銳利的孔洞，呼應行員們處事的謹慎。

（圖片提供：META DESIGN／攝影：詩懿）

（圖片提供：META DESIGN／攝影：詩懿）

大量刊物則被分配給13樓指標，這裡是上海商銀行史館的所在地，而書卷即是最好的歷史見證，記載著前人的足跡。META將刊物內頁以不同高度穿插、堆疊，具象化歷史的重量與軌跡，演繹樓層關鍵字「無價」。

（圖片提供：META DESIGN／攝影：詩懿）

META：「廢棄物是錯置的資源。」

成立於2010年的META，介紹自己是「一群在山上做燈的人」，但他們做的事並不簡單，難用一句話輕描淡寫帶過。

創立近15年以來，META不斷思考創作與地球資源的關係，利用回收材料創作新物件。他們曾與誠品合作，在敦南店結束營業後將建材回收，再製為具書店窗景意象的燈具，象徵敦南店永不熄燈；曾攜手台電文創，將退役的輸電設備「木橫擔」再製為床頭閱讀燈；也曾參與Aesop每年一度的「酷兒圖書館」計畫，利用回收木棧板打造行動書車。

META X 台電文創木橫擔床頭閱讀燈／META X Aesop酷兒圖書館行動書車。（圖片提供：META DESIGN）

META X 誠品敦南店書店窗景燈具。（圖片提供：META DESIGN）

META始終相信，將被丟棄的東西也能變成值得收藏的物件，期待在滿足人類求新的渴望之餘，也尋得和環境永續相處的平衡點。

（圖片提供：META DESIGN）","['奧運', '器材', '巴黎', '場館']"
positive,6月營收亮眼，上海商銀/台中銀/高雄銀全創新高 | MoneyDJ理財網 | LINE TODAY,"Revenue in June was impressive, Shanghai Commercial Bank/Taichung Bank/Kaohsiung Bank reached new highs",https://today.line.me/tw/v2/article/j7Gp1Zr,MoneyDJ新聞2024-07-11 11:05:54 記者李宜秦報導銀行類股6月營收表現亮眼。今年6月上海商銀(5876) 營收...,LINE TODAY,2024年07月11日,1,"請更新您的瀏覽器

您使用的瀏覽器版本較舊，已不再受支援。建議您更新瀏覽器版本，以獲得最佳使用體驗。","['中銀', '高雄', '銀全', 'line']"
positive,香港房地產市場不佳...上海商銀增提備呆 上半年EPS 1.41元,Hong Kong's real estate market is not good...Shanghai Commercial Bank increased its provisions and reported EPS of 1.41 yuan in the first half of the year,https://udn.com/news/story/7252/8083970,上海商銀（5876）9日公告自結上半年合併淨收益263.97億元，較去年同期成長6.4%，利息淨收益為97.68億元，較...,聯合新聞網,2024年07月11日,2,"對我來說開發金已經是贏多輸少的局面了，就算股價不漲我放著領股利，也足以支付借款利息還有剩，還可以產生現金流。我可抱著3、5年不管他，只要獲利穩定成長，我相信還是會有讓我獲利出場的一天。

2024-07-17 11:38","['香港', '房地產', '不佳']"
positive,上海商銀上半年稅後純益68.25億元 每股盈餘1.41元,"Shanghai Commercial Bank's net profit after tax in the first half of the year was 6.825 billion yuan, with earnings per share of 1.41 yuan.",https://www.chinatimes.com/realtimenews/20240709005362-260410,上海商銀（5876）9日公告，自結上半年合併淨收益263.97億元，較上年同期成長6.4％，自結利息淨收益為97.68億元，較上年同期持平，自結手續費淨收益為23.61億元，...,中時新聞網,2024年07月11日,2,"由於上海商銀香港子行發布重大訊息公告，受國際利率居高不下及子行經營市場環境的影響，子行基於保守穩健原則於6月底增提備抵呆帳以提高應付風險能力，上海商銀自結今年上半年稅後純益為68.25億元，稅後每股盈餘(EPS)為1.41元。

上海商銀今年上半年合併增加提存備抵呆帳並未對其財務情況造成重大影響，也未影響該行及其香港子行的營運。上海商銀今年3月底個體普通股權益第一類資本比率為12.02％，資本適足率15.6％，香港子行資本適足率則為27％，上海商銀與香港子行資本充足，營運正常，財務穩健，將持續秉持誠信、永續發展的理念，為客戶提供優質、專業的服務。","['每股', '盈餘']"
negative,續受港房地產拖累 上海商銀6月罕見大虧近7億元,"Continued to be dragged down by Hong Kong real estate, Shanghai Commercial Bank rarely suffered a huge loss of nearly 700 million yuan in June",https://ec.ltn.com.tw/article/breakingnews/4732294,記者李靚慧／台北報導〕擁有百年歷史的上海商銀（5876），上月才啟用新建總行大樓，宣示邁向新的里程碑，但再度因香港房地產市場重挫，持股57.6%的香港子行，6月二度增...,自由財經,2024年07月11日,1,"續受香港房地產市場拖累，上海商銀6月單月罕見大虧近7億元（記者李靚慧攝）

〔記者李靚慧／台北報導〕擁有百年歷史的上海商銀（5876），上月才啟用新建總行大樓，宣示邁向新的里程碑，但再度因香港房地產市場重挫，持股57.6%的香港子行，6月二度增提港幣14.87億元（約新台幣62億元），拖累母行6月單月出現虧損6.63億元，累計前6月稅後盈餘68.25億元、EPS1.41元。

上海商銀9日公告，為反映經營市場環境，子公司香港上海商業銀行2024年上半年度增提備抵呆帳，金額達港幣14.87億元，約新台幣62億元，後續將持續密切加強債權管理，控制信貸風險。

請繼續往下閱讀...

這是上海商銀近年第2度因香港不動產市場授信風險提高，增提鉅額備抵呆帳，拖累母公司上海商業儲蓄銀行的獲利表現。香港子行2023年12月首度增提13.49億港幣（約新台幣57.2億元）備抵呆帳，進而影響上海商銀全年營收獲利。

上海商銀解釋，此次增提備抵呆帳的因素與去年相同，都是因香港房地產市場表現不佳，在評估部分呆帳難以回收的狀況下，為提高應付風險能力，再度增提備抵呆帳。

上海商銀公告2024年上半年合併淨收益263.97億元、年增6.4%，自結利息淨收益97.68億元，較上年同期持平，自結手續費淨收益23.61億元，較上年同期成長48.2%。在香港子行6月二度增提港幣14.87億元（約新台幣62億元）後，母行上海商銀6月單月虧損6.63億元，累計前6月稅後淨利68.25億元、EPS1.41元。

上海商銀2024年3月底個體普通股權益第一類資本比率為12.02％，資本適足率15.6%，香港子行資本適足率則為27%，強調上海商銀與香港子行資本充足，營運正常。

一手掌握經濟脈動 點我訂閱自由財經Youtube頻道

不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法","['房地產', '拖累', '大虧']"
negative,中華信評：上海商銀增提呆帳費用 將不會削弱資本水準,China Credit Rating: Shanghai Commercial Bank’s increase in bad debt charges will not weaken capital levels,https://money.udn.com/money/story/5613/8086514,"中華信評認為，上海商銀（5876）額外提列的呆帳費用在未來一至二年內應不會削弱該行強健的資本水準。 
上海商銀（twAA/穩定/twA-1+）9日宣布，其持股57.6%的香港子行為...",經濟日報,2024年07月10日,1,"本文共389字

中華信評認為，上海商銀（5876）額外提列的呆帳費用在未來一至二年內應不會削弱該行強健的資本水準。

上海商銀（twAA/穩定/twA-1+）9日宣布，其持股57.6%的香港子行為其有欠正常放款提列約14.9億港元（約合台幣62億元）的呆帳費用。在此之前，該行已於2023年底提列13.5億港元的呆帳費用。

中華信評認為，該筆新增的呆帳費用將會對上海商銀2024年的獲利產生負面影響，但以該行穩固的資本基礎以及較中華信評先前預測緩慢的放款成長來看，前述呆帳費用應不會在今年對該行的資本水準造成衝擊。

中華信評認為，在將額外的呆帳費用納入考量後，該行2024年至2025年的合併風險調整後資本比仍可維持在10%以上的水準。中華信評亦預期，上海商銀在同一期間將可產生每年新台幣280億元至320億元的提存前合併營業淨利，為該行的成長與潛在的授信損失提供支撐，並以此將資本水準維持在強健等級。","['信評', '中華', '資本', '水準']"
