label,title,title_translated,content,link,snippet,source,date,keywords,topic
neutral,仁寶響應RE100 中經院：第33位總部在臺灣的RE100成員,Compal responds to RE100 Chinese Academy of Economics: the 33rd RE100 member headquartered in Taiwan,"本文共750字

代工大廠仁寶（2324）近日正式加入全球再生能源倡議「RE100」的行列！據悉，RE100倡議主要是由「氣候組織 （The Climate Group）與CDP」合作領導，目前在全球已經有超過400家的企業大廠加入該倡議的行列，共同攜手來推動100%使用再生電力的目標願景。對此，中華經濟研究院（CIER）環境研究員Alisha Lee透露，最近宣布正式加入倡議的「仁寶電腦」，也是全台第33位總部設於臺灣的RE100成員。

仁寶指出，RE100是一項全球性倡議，旨在鼓勵世界上最具影響力的公司承諾完全使用再生電力。2024年是仁寶電腦創立滿40週年。從創立以來，公司長期關注營運對於社會、環境與生態的影響，並宣示永續發展的決心與承諾。在環境方面，除了積極推動廠區節能、自動化生產，研發環境友善的產品，導入回收材料使用，促進循環經濟，並降低產品使用時的能源需求，更攜手所有轉投資的子公司們，將在2050年前達到100%使用再生能源的目標。

仁寶電腦總經理Anthony Peter Bonadero也表示，團隊透過參與各種環境保護和永續發展的國際倡議與專案，更加了解如何將永續目標與企業的營運績效結合，把永續的實踐帶入每個人的日常工作中，讓每位員工能隨時隨地、自動自發地實踐永續。此次加入RE100，進一步強化了公司在應對氣候變化方面的承諾，並為全球再生能源的推廣做出更大貢獻。",https://money.udn.com/money/story/5612/8072453,代工大廠仁寶（2324）近日正式加入全球再生能源倡議「RE100」的行列！據悉，RE100倡議主要是由「氣候組織（Th...,經濟日報,2024年07月04日,"['臺灣', 're100', '成員', '總部']",1
positive,中華電攜手仁寶、神盾3GPP衛星物聯網測試達陣,Chunghwa Electronics joins hands with Compal and Aegis to reach 3GPP satellite IoT test,"中華電信近年來積極布局高、中、低軌衛星，3日再宣布成功完成3GPP IoT-NTN技術的衛星物聯網測試。此次測試在中華電信研究院進行，透過多樣性感測器量測數據後，利用衛星通訊將量測結果回傳至物聯網平台。所新增之衛星通訊能夠為地面網路無法到達的地區提供訊號，讓...

會員登入

【範例：user@company.com】

忘記密碼 | 重寄啟用信

記住帳號密碼 記住帳號密碼 登入

【帳號啟用】 ★ 若您是第一次使用會員資料庫，請先點選 會員服務申請/試用 試用申請

產業研究諮詢

會員服務介紹

常見問題 申請專線：

+886-02-87125398。

(週一至週五工作日9:00~18:00)

member@digitimes.com

(一個工作日內將回覆您的來信) 會員信箱：(一個工作日內將回覆您的來信) 訂閱平面電子時報 會員服務申請/試用 申請專線：

+886-02-87125398。

(週一至週五工作日9:00~18:00)

member@digitimes.com

(一個工作日內將回覆您的來信) 會員信箱：(一個工作日內將回覆您的來信) 訂閱平面電子時報",https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000696354_LXH2GAKO6VAZ8Z3VSFTIT&cf=A21,"中華電信近年來積極布局高、中、低軌衛星，3日再宣布成功完成3GPP 
IoT-NTN技術的衛星物聯網測試。此次測試在中華電信研究院進行，透過多樣性感測器量測數據後，...",DIGITIMES,2024年07月03日,"['3gpp', '衛星', '聯網', '測試']",1
neutral,臺日韓PBL工作營暑假登場！仁寶今代表台廠赴日籌備,"Taiwan, Japan and South Korea PBL work camp launches during summer vacation! Compal is now preparing to go to Japan on behalf of Taiwanese factory","本文共700字

代工大廠仁寶（2324）及高附加價值醫療科技業者方策等多家台廠，今（2）日特地派出內部高管，作為台灣企業界代表專程飛到日本，並攜手日本Osaka Gas、Daiwa House、Yanmar、Panasonic Energy、JR West、以及韓國Hyundai Motor 等多家企業，為日本、韓國、臺灣等三地即將於暑假舉辦的「國際跨校產研(PBL)工作營」，共同提出產業主題進行產品設計與原型實作。

據悉，國際跨校產研Problem Based Learning (PBL) 工作營預定於暑假於日本、韓國、臺灣等三地舉辦，預計自台灣遴選10位學生，與日本大阪工業大學及韓國國民大學學生混合編組，並暫定由日本Osaka Gas、Daiwa House、Yanmar、Panasonic Energy、JR West、韓國Hyundai Motor、臺灣仁寶電腦、方策科技等共同籌備，最終主題將另行公告。

對此，主辦單位也說明，這次工作營報名資格需要是具備日常溝通英文能力之日間部大三（專四）以上、碩士班學生，而報名時須上傳個人簡歷、作品成果、以及英語能力佐證資料(格式不拘)，報名後將再另行通知面試時間。經錄取之學生將全額補助參與活動之機票與住宿費用(由主辦單位統一安排)。",https://money.udn.com/money/story/5612/8069715,"代工大廠仁寶（2324）及高附加價值醫療科技業者方策等多家台廠，今（2）日特地派出內部高管，作為台灣企業界代表專程飛到日本，並攜手日本Osaka 
Gas、Daiwa...",經濟日報,2024年07月03日,"['臺日', 'pbl', '臺廠', '籌備']",1
positive,仁寶攜2巨頭強攻5G O-RAN 奪「工研菁英獎」金牌,"Compal and two giants stormed 5G O-RAN and won the gold medal of ""Industry Research Elite Award""","本文共1213字

代工大廠仁寶（2324）近年積極佈局5G衛星通訊市場，由於行動網路生態系統日益複雜、RAN 技術不斷演進，團隊為確保能提供給客戶門最先進的5G通訊設備、及衛星物聯網解決方案，甚至與威強電旗下高階網通大廠創視界(GeneVisio)及半導體大廠恩智浦 (NXP) 達成合作，攜手改善5G O-RAN架構。該技術（5G O-RAN專網節能管理系統技術）2日在工研菁英獎頒獎典禮上，也獲頒「傑出研究獎金牌」的肯定。

據悉，工研院揭曉素有「工研院奧斯卡獎」之稱的工研菁英獎，頒發6項年度金牌創新技術，以2項豐碩的產業化成果及4項前瞻技術，其中，年度技術研發成果「5G O-RAN專網節能管理系統技術」（完整5G專網生態系）也因為其「三高特色」（第一、高佈建效率；第二、高節能效益；第三、高彈性應用）而榮獲傑出研究獎金牌的肯定。

工研院表示，隨著5G時代網路設備與設計走向開放架構，為補足我國專網管理缺口，工研院研發國內首套「5G O-RAN專網節能管理系統技術」能達到高彈性導入應用，不論是工廠、醫院、交通、救災等需求，都可快速滿足，已協助至少八家廠商，如：和碩、明泰、仁寶等大廠導入專網解決方案升級轉型，同時鏈結產官學研，培育電信人才軟實力，期望推動我國產業軟硬兼施邁向國際。

此外，仁寶除已攜手美國、日本通訊巨擘，強化與臺灣產業鏈合作連結，共同開拓先期市場外，更攜手創視界、及恩智浦2大夥伴，開發出一系列面向 5G 商機的全新產品，其中，包含 5G DU 加速卡、D-RAN (Distribution RAN) 與 C-RAN (Centralized RAN) 專用系統。並且，在日本單軌系統上開展開創性的5G O-RAN試驗，通過高速、低延遲技術推進城市連接。

事實上，仁寶作為O-RAN Alliance的一員，早在2018年就已開始投入5G技術的發展，2020年開始推出多項5G智慧應用解決方案，包括：5G O-RAN，5G小基站、5G通訊模組、5G無線網路分享器以及5G智慧穿戴裝置、衛星用戶終端設備、物聯網解決方案等，全場域皆可支援的完整產品組合，逐步推升其在5G應用領域的領導地位。

綜觀仁寶近年的經營方針，其中除了不斷調整產能佈局外，也啟動「多角化經營」積極降低庫存及調整產能，鎖定伺服器、汽車電子、穿戴裝置、手機和5G通訊等五大業務領域拓展。而仁寶在低軌衛星領域佈局已久，主要以5G衛星連接應用方面的企業解決方案等創新技術切入，公司看好隨著對更快、更可靠連接的需求不斷增長，5G 和衛星連接對各行各業的企業都至關重要。",https://money.udn.com/money/story/5612/8068924,代工大廠仁寶（2324）近年積極佈局5G衛星通訊市場，由於行動網路生態系統日益複雜、RAN 技術不斷演進，團隊為確保能提...,經濟日報,2024年07月02日,"['菁英', '金牌', '巨頭', '強攻']",4
negative,AI伺服器人才缺很大傳仁寶翻倍薪挖角、緯創總經理親「徵」校園,There is a huge talent shortage for AI servers,"伺服器廠不只在搶GPU，也在搶人才。供應鏈透露，除了新開案需要人手，新加入的競爭對手，也在大舉擴編，甚至傳出，仁寶開一倍薪資挖角，伺服器工程師笑說，高價碼也意味台灣人才的價值提升。台灣是伺服器全球研發生產重鎮，台廠在伺服器代工比重...

會員登入

【範例：user@company.com】

忘記密碼 | 重寄啟用信

記住帳號密碼 記住帳號密碼 登入

【帳號啟用】 ★ 若您是第一次使用會員資料庫，請先點選 會員服務申請/試用 試用申請

產業研究諮詢

會員服務介紹

常見問題 申請專線：

+886-02-87125398。

(週一至週五工作日9:00~18:00)

member@digitimes.com

(一個工作日內將回覆您的來信) 會員信箱：(一個工作日內將回覆您的來信) 訂閱平面電子時報 會員服務申請/試用 申請專線：

+886-02-87125398。

(週一至週五工作日9:00~18:00)

member@digitimes.com

(一個工作日內將回覆您的來信) 會員信箱：(一個工作日內將回覆您的來信) 訂閱平面電子時報",https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000696133_NDJ0Z3WQ4E6ST82NQ7K96,伺服器廠不只在搶GPU，也在搶人才。供應鏈透露，除了新開案需要人手，新加入的競爭對手，也在大舉擴編，甚至傳出，仁寶開一倍薪資挖角，伺服器工程師笑說，...,DIGITIMES,2024年07月02日,"['伺服器', '人才', 'ai', '總經理']",1
positive,鉅亨速報- Factset 最新調查：仁寶(2324-TW)目標價調升至38.5元，幅度約3.9%,"Juheng Express - Factset latest survey: Compal (2324-TW) target price raised to 38.5 yuan, a range of about 3.9%","財訊快報 ·

【財訊快報／劉敏夫】外電報導指出，華爾街金融商高盛集團方面表示，一旦川普當選，恐引發報復性關稅戰，從而促使聯準會多升息五次。高盛集團首席經濟專家Jan Hatzius近日在葡萄牙辛特拉舉行的歐洲央行論壇上發表講話表示，美國前總統川普的全面關稅計畫可能會引發通膨回升，從而促使聯準會比沒有該關稅行動的情景多升息約五次。此前川普威脅稱，如果當選，將對中國商品徵收超過60%的關稅，並對從所有國家進口到美國的產品整體徵收10%的關稅。Hatzius表示，川普的關稅提議可能使美國的平均關稅稅率提高16個百分點，至近20%，這將是戰後時期的最高水準。這可能引發全球報復性關稅，進而可能引起貿易戰。Hatzius指稱，雖然高盛對沒有貿易戰情況下的基本觀點是，歐洲央行和聯準會將在未來兩年將政策利率下調150-200個基點，但全球貿易戰可能會導致更大的貨幣政策分化。Hatzius表示，貿易戰的情況下，對美國貨幣政策的影響總體來看是鷹派的，幅度大約在130個基點，因為對通膨的巨大鷹派影響顯然超出了對經濟成長相對微弱的鴿派影響。反觀，在歐元區，影響略微鴿派，幅度在-40個基點左右，因為對經濟成長的重大鴿派影響超",https://tw.stock.yahoo.com/news/%E9%89%85%E4%BA%A8%E9%80%9F%E5%A0%B1-factset-%E6%9C%80%E6%96%B0%E8%AA%BF%E6%9F%A5-%E4%BB%81%E5%AF%B6-2324-041017069.html,FactSet 最新調查：仁寶(2324-TW)目標價調升，最高估值、最低估值、中位數、綜合評級、近5日股價、大盤表現、即時新聞資訊。,奇摩股市,2024年06月27日,"['目標價', '升至', 'tw', '幅度']",1
positive,鉅亨速報- Factset 最新調查：仁寶(2324-TW)目標價調升至37元，幅度約4.05%,"Juheng Express - Factset latest survey: Compal (2324-TW) target price raised to 37 yuan, a range of about 4.05%","財訊快報 ·

【財訊快報／劉敏夫】外電報導指出，華爾街金融商高盛集團方面表示，一旦川普當選，恐引發報復性關稅戰，從而促使聯準會多升息五次。高盛集團首席經濟專家Jan Hatzius近日在葡萄牙辛特拉舉行的歐洲央行論壇上發表講話表示，美國前總統川普的全面關稅計畫可能會引發通膨回升，從而促使聯準會比沒有該關稅行動的情景多升息約五次。此前川普威脅稱，如果當選，將對中國商品徵收超過60%的關稅，並對從所有國家進口到美國的產品整體徵收10%的關稅。Hatzius表示，川普的關稅提議可能使美國的平均關稅稅率提高16個百分點，至近20%，這將是戰後時期的最高水準。這可能引發全球報復性關稅，進而可能引起貿易戰。Hatzius指稱，雖然高盛對沒有貿易戰情況下的基本觀點是，歐洲央行和聯準會將在未來兩年將政策利率下調150-200個基點，但全球貿易戰可能會導致更大的貨幣政策分化。Hatzius表示，貿易戰的情況下，對美國貨幣政策的影響總體來看是鷹派的，幅度大約在130個基點，因為對通膨的巨大鷹派影響顯然超出了對經濟成長相對微弱的鴿派影響。反觀，在歐元區，影響略微鴿派，幅度在-40個基點左右，因為對經濟成長的重大鴿派影響超",https://tw.stock.yahoo.com/news/%E9%89%85%E4%BA%A8%E9%80%9F%E5%A0%B1-factset-%E6%9C%80%E6%96%B0%E8%AA%BF%E6%9F%A5-%E4%BB%81%E5%AF%B6-2324-141017786.html,FactSet 最新調查：仁寶(2324-TW)目標價調升，最高估值、最低估值、中位數、綜合評級、近5日股價、大盤表現、即時新聞資訊。,奇摩股市,2024年06月24日,"['目標價', '升至', 'tw', '幅度']",1
positive,仁寶本季營收估增14%,Compal’s revenue is expected to increase by 14% this quarter,"本文共927字

仁寶（2324）受惠AI PC開始出貨，本季筆電出貨量可望優於預期，季增率從原本估計的中個位數百分比（4%至6%）上調為高個位數百分比（7%至9%）。

仁寶營收 法人看好，仁寶本季營收將季增14%，隨AI PC滲透率持續提升，加上伺服器與車用電子業務穩定成長，使得產品組合改善，明年獲利將優於今年。

仁寶表示，微軟端出「地表最強AI PC」平台Copilot+ PC之後，高通、超微（AMD）及英特爾等大廠陸續在6月至8月間推出對應的安謀（Arm）或x86架構處理器，有助刺激AI PC下半年市場需求，預估今年AI PC滲透率約個位數百分比，隨著下半年AI PC新品逐漸問世，出貨量將會優於上半年。

仁寶5月合併營收772.87億元，月增0.03%，年減7.15%；前五月合併營收3,541.23億元，年減4.73%。其中，5月PC出貨量290萬台，月增3.57%。仁寶預期，6月逢季底拉貨效應，出貨量可望再向上，第2季PC、非PC出貨量都將同步升溫，PC出貨量可望較首季成長個位數百分比。

法人表示，仁寶的美系筆電客戶需求優於預期，加上筆電新品，以及AI PC專案出貨轉佳，帶動第2季筆電出貨量優於預期，另外，微軟Windows 10預計明年停止更新，使得新一波採購潮有機會落在今年下半年，預估AI PC明年的滲透率將達到30%到40%，帶動仁寶AI PC出貨量持續擴大。

車用產品方面，法人說，仁寶車用終端客戶為歐洲車廠，今年車用業務維持兩位數成長，預估2025年將直接供貨給車廠。至於伺服器目前以L6（主機板）為主，待墨西哥廠完工後，將切入整機或機櫃的代工，預估2025年車用與伺服器營收占比將分別達到5%與4%。

針對AI伺服器展望，仁寶董事長陳瑞聰之前表示，最大遺憾是在AI伺服器上落後同業很多，導致仁寶在電子五哥排名漸漸落後，未來會全速前進、集中資源迎頭趕上，目標三年內成為前三大AI伺服器廠。

仁寶目前伺服器團隊約700人，陳瑞聰表示，同業在伺服器團隊的規模約1,500至2,000人，因此，仁寶未來團隊還會再擴充，將更多心力轉往AI伺服器，補足研發動能，包括水冷式散熱、電源及測試等面向，未來併購方向與策略也將聚焦AI伺服器領域，尋求更多併購機會或國外合作夥伴。",https://money.udn.com/money/story/5710/8049596,仁寶（2324）受惠AI PC開始出貨，本季筆電出貨量可望優於預期，季增率從原本估計的中個位數百分比（4%至6%）上調為...,經濟日報,2024年06月23日,"['估增', '營收', '本季']",1
neutral,聯想 AI PC 複製蘋果「以軟帶硬」策略發威 仁寶沾光,"Lenovo’s AI PC replicates Apple’s “soft with hard” strategy to show off its power, and Compal takes advantage of it","本文共1129字

全球筆電龍頭聯想強攻AI PC，端出一系列新機之餘，並宣示強化AI生態系與應用，喊出年底前AI應用大增逾20倍、達上千款，藉由多元軟體應用刺激硬體銷售，618促銷季銷售拉出大紅盤。聯想複製蘋果「以軟帶硬」策略，銷量看俏，主力代工廠仁寶（2324）出貨跟著爆發。

聯想受惠相關利多消息，市場用力按讚，昨（19）日股價飆漲逾9%作收，以港幣12.08元收市，連續兩個交易日狂飆，累計漲幅達12.9%，並攀上九年多來新高價，不僅一甩過往「牛皮股」的稱號，也為全球AI PC族群吹響多頭號角。

今年618促銷季期間，聯想全網銷售額突破人民幣69億元，包括筆電、輕薄筆電、電競筆電、桌機等15種產品業績均十分暢旺，讓聯想AI PC聲量大增，搶先炒熱市場話題。

聯想乘勝追擊，宣示擴大AI生態系，目標年底前AI PC相關應用將達上千款，相當於較現有的40多款大增20倍，要複製蘋果的「以軟帶硬」模式，打造聯想自有AI生態系，也為其AI PC後市銷售前景，增添更多想像空間。

法人指出，AI PC最讓市場關注的，就是「用在哪裡？」、「怎麼發揮AI效益？」，聯想在眾多AI PC品牌中，強打AI應用，盼複製蘋果「以軟帶硬」模式，年底要有千款應用問世，可望大舉激發終端買氣，加速其推進「AI for All」戰略刺激銷售，仁寶為主力代工廠，將搶先迎來聯想AI PC熱銷商機。

聯想積極衝刺AI PC動能，力拚成為Al PC領域領導者，甚至喊出相關應用達上千款的目標，台系主力代工廠仁寶也將同搶商機，成為聯想新財年「引領AI PC浪潮」的最大受惠者之一。

仁寶表示，微軟端出「地表最強AI PC」平台Copilot+ PC之後，高通、超微及英特爾等大廠陸續在6至8月間推出對應的安謀（Arm）或x86架構處理器，有助刺激AI PC下半年市場需求，預估今年AI PC滲透率約個位數百分比，隨著下半年AI PC新品逐漸問世，出貨量將會優於上半年。

聯想4月18日宣布推出號稱「地表最強」AI PC系列產品，起價為人民幣5,999元，首發市場選定中國大陸，新機推出時程比預期快至少一季。

聯想強調，為確保不同生態間互聯互通，正積極與京東等AI合作夥伴建立緊密合作關係，並將其創新產品和解決方案，導入聯想為AI生態戰略打造的天禧生態系。

聯想AI PC中內建天禧個人智能體，可為每個擁有者建立個人知識庫，而內建的AI應用生態，可保護個人資料和隱私安全，滿足不同場景的智能需求。

聯想正加速推進「AI for All」戰略落地，通過新技術、新場景和新體驗，推動AI在設備、基礎設施和解決方案領域的創新與應用，進一步推升產業全面升級，力拚新財年要「引領AI PC浪潮」。



延伸閱讀

仁寶董事長陳瑞聰：拚進伺服器三大",https://money.udn.com/money/story/11162/8042193,全球筆電龍頭聯想強攻AI PC，端出一系列新機之餘，並宣示強化AI生態系與應用，喊出年底前AI應用大增逾20倍、達上千款...,經濟日報,2024年06月20日,"['複製', '蘋果', 'ai', 'pc']",1
neutral,仁寶正式宣布加入RE100,Compal officially announced to join RE100,"仁寶電腦13日宣布加入由氣候組織 （The Climate Group）與CDP合作領導的全球再生能源倡議「RE100」。仁寶的加入，顯示未來推動環境保護與永續發展。

仁寶電腦總經理Anthony Peter Bonadero表示，此次加...",https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000694692_UQB77FX481EQQ831M01X6,"仁寶電腦13日宣布加入由氣候組織（The Climate 
Group）與CDP合作領導的全球再生能源倡議「RE100」。仁寶的加入，顯示未來推動環境保護與永續發展。",DIGITIMES,2024年06月13日,"['加入', 're100', '宣佈', '正式']",1
