title,title_translated,content,link,snippet,source,date
台灣證交所即時重大訊息- 澄清媒體113年07月09日之報導,"Real-time major news from the Taiwan Stock Exchange - clarification of media reports on July 9, 2013","澄清媒體113年07月09日之報導

A + A - 字級:



1.事實發生日:113/07/09

2.公司名稱:儒鴻企業股份有限公司

3.與公司關係(請輸入本公司或子公司):本公司

4.相互持股比例:不適用

5.傳播媒體名稱:經濟日報C04

6.報導內容:儒鴻表示……，第4季營收有機會好過第3季， 兩季營收皆可望破百億元。

7.發生緣由:媒體報導有關本公司營收之預測性資訊，本公司不予評論。 由於本公司依規定免公告財務預測，實際財務資訊請參閱公開資訊觀測站 之公告內容。

8.因應措施:無。

9.其他應敘明事項:無。

- 資料來源：臺灣證券交易所公開資訊觀測站

- 以上資料均由各公司依發言當時所屬市場別之規定申報後對外公佈，資料如有虛偽不實，均由該公司負責。",https://news.ustv.com.tw/companynews/63601,"事實發生日:113/07/09 2.公司名稱:儒鴻企業股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 
5.傳播媒體名稱:經濟日報C04",非凡新聞,2024年02月21日
儒鴻6月營收增兩成 | 集中市場 | 證券,Ruhong’s revenue increased by 20% in June,"本文共679字

儒鴻（1476）昨（8）日公告6月營收33.9億元，年增26.6%，創22個月以來新高，第2季營收95.9億元，年增22.6%，創七季以來新高；累計上半年營收172.2億元，年增20.3%。

儒鴻表示，目前訂單能見度已達年底，下半年旺季狀況不錯，第4季營收有機會好過第3季，兩季營收皆可望破百億元。另，成衣股廣越、振大環球亦同步公告上月營收，雖呈現年減，但公司皆樂觀看待下半年。",https://money.udn.com/money/story/5710/8081696,儒鴻（1476）昨（8）日公告6月營收33.9億元，年增26.6%，創22個月以來新高，第2季營收95.9億元，年增22...,經濟日報,2024年07月08日
儒鴻6月營收寫22個月新高 Q2成長2成下半年逐季增,"Ruhong’s revenue in June hit a 22-month high, with Q2 growth of 20% and quarter-to-quarter growth in the second half",展望下半年，儒鴻維持季季增的看法，9 月雖然有產品轉換因素，但營收仍可望站穩 30 億元，第三季將優於第二季，第四季在進入全年最旺季下，營運表現將更上一層樓。,https://news.cnyes.com/news/id/5629692,"成衣代工大廠儒鴻(1476-TW) 今(8) 日公告6 月營收33.98 億元，月增2.2%、年增26.7%；第二季營收95.93 
億元，季增25.7%、年增22.7%，上半年營收172.25 億元，年增20.3%...",Anue鉅亨,2024年07月08日
儒鴻6月營收寫22個月新高 Q2成長2成下半年逐季增,"Ruhong’s revenue in June hit a 22-month high, with Q2 growth of 20% and quarter-to-quarter growth in the second half",展望下半年，儒鴻維持季季增的看法，9 月雖然有產品轉換因素，但營收仍可望站穩 30 億元，第三季將優於第二季，第四季在進入全年最旺季下，營運表現將更上一層樓。,https://m.cnyes.com/news/id/5629692,"成衣代工大廠儒鴻(1476-TW) 今(8) 日公告6 月營收33.98 億元，月增2.2%、年增26.7%；第二季營收95.93 
億元，季增25.7%、年增22.7%，上半年營收172.25 億元，年增20.3%...",Anue鉅亨,2024年07月08日
儒鴻營收／6月近34億元、年增26.7% 創22個月以來新高,"Ruhong’s revenue / nearly 3.4 billion yuan in June, an annual increase of 26.7%, a new high in 22 months","本文共466字

儒鴻（1476）8日公告6月營收33.99億元，年增26.68%，創22個月以來新高，第2季營收95.93億元，年增22.66%，創七季以來新高。累計上半年營收172.26億元，年增20.3%。儒鴻表示，目前訂單能見度已達年底，下半年旺季狀況不錯，第4季營收有機會好過第3季，但還是要看船期。

儒鴻6月營收雖還未能突破2022年同期的高標，但布的營收已率先創下歷史新高。儒鴻表示，成衣營收7月開始也會逐漸墊高，主要受惠需求復甦和景氣向上推升。雖然 Nike 日前發布財報利空，並下調全年業績目標，但今年訂單需求還是好過去年，只是成長性不如通路商和新崛起的客戶「小巨人們」。

儒鴻7月開始將有布的大單要出貨，有助整體 ASP 攀升，亦有助毛利率表現。儒鴻今年以來布的營收節節攀升，除了產品有競爭力，布的下單周期領先成衣2~3個月，因此更快感受的需求增加，同時也等於預告接下來成衣會有不錯的表現。

儒鴻印尼成衣廠兩期規劃月產能200萬件，第一期100萬件已於2023年底完成，今年逐步建置第二期產線，隨著產能持續開出，第3季該廠有望轉虧為盈。",https://money.udn.com/money/story/5710/8081296,儒鴻（1476）8日公告6月營收33.99億元，年增26.68%，創22個月以來新高，第2季營收95.93億元，年增22...,經濟日報,2024年07月08日
儒鴻6月營收33.98億 連2個月衝破30億,"Ruhong’s revenue in June was 3.398 billion, exceeding 3 billion for the second consecutive month","本文共436字

紡織股王儒鴻今天公布6月營收新台幣33.98億元，月增2.19%，年增26.68%，創下2022年8月以來新高，連續第2個月營收衝破30億元大關。

儒鴻第2季營收95.93億元，季增25.69%，年增22.67%。累積今年上半年營收172.25億元，年增20.3%。年增率全部超過兩成。

儒鴻前董事長洪鎮海先前就預告，去年是儒鴻的營運谷底，今年回升趨勢明顯；隨著時序進入出貨旺季，到今年底前，儒鴻單月營收全部都可達到30億元以上的高水準。

面對大客戶耐吉（Nike）上月底發布2024財會年度業績報告，營收514億美元，年增僅1%，且保守預估2025年財會年度首季銷售額將下滑10%，表現不如預期。對此，儒鴻積極拓展多元客戶以分散風險。

儒鴻這幾年耕耘瑜珈、機能品牌在內的6家新客戶，成長快速，被公司統稱為6個「小巨人」。儒鴻表示，6個小巨人今年上半年占公司營收比重約10%至12%，下半年占比預計爬升到15%，且明年有機會倍增到30%，將為公司明年營運帶進新的動能挹注。",https://money.udn.com/money/story/5710/8081186?from=edn_newestlist_rank,紡織股王儒鴻今天公布6月營收新台幣33.98億元，月增2.19%，年增26.68%，創下2022年8月以來新高，連續第2...,經濟日報,2024年07月08日
儒鴻Q2毛利率挑戰’3字頭’，接單已達年底,"Ruhong Q2's gross profit margin challenges the '3' prefix, and orders have reached the end of the year",,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=7b86251a-4fff-4c77-80ae-59cd181d90dc,"儒鴻Q2毛利率挑戰'3字頭'，接單已達年底. 人氣(1) 2024/07/05 11:52. MoneyDJ新聞2024-07-05 11:52:57 
記者林昕潔報導. 儒鴻(1476)看好受惠6個新加入的品牌客戶動能...",MoneyDJ,2024年07月05日
創辦人之子接棒 儒鴻總經理 洪瑞廷出任,"The son of the founder takes over, General Manager Ruhong Hong Ruiting takes over","本文共491字

儒鴻（1476）董事會昨（28）日通過總經理任命案，原總經理蔡俊嶔退休、陳坤鎕升任副董事長，由創辦人洪鎮海之子洪瑞廷出任總經理。今年儒鴻董事改選，洪瑞廷首進董事會，世代傳承接班意味濃厚，此次出任總經理符合市場預期。

洪瑞廷學歷亮眼，是美國佛羅里達大學材料工程研究所碩士、清華大學材料工程研究所碩士，於2009年加入儒鴻，2021年從協理晉升為副總，擔任儒鴻織布事業部副總經理一職期間，帶領織布事業群有600%的成長，戰功赫赫。目前除了是儒鴻董事，也是集盛、太肯運動科技兩家公司的董事。

5月底儒鴻舉辦法說會，洪瑞廷首度亮相，今年股東會後，儒鴻公告一系列高層人事異動，洪瑞廷也成為多家重要子公司董事長或總經理，加上總經理蔡俊嶔早在5月3日就已公告即將退休，當時洪瑞廷將接任總座的傳言即甚囂塵上。

儒鴻接班梯隊在創辦人洪鎮海多年規劃、一路培植下，如今皆順利接棒，包括從特助做起、得力愛將王樹文今年6月12日正式升任董事長，洪瑞廷在今年進入董事會後，也順利接下總經理一職。

儒鴻三位創辦人的二代目前皆已在董事會中。洪鎮海曾說，公司十年前就已經啟動傳承計畫，第二代的幹勁與努力比我們這一代更勝一籌。",https://money.udn.com/money/story/5710/8061947,儒鴻（1476）董事會昨（28）日通過總經理任命案，原總經理蔡俊嶔退休、陳坤鎕升任副董事長，由創辦人洪鎮海之子洪瑞廷出任...,經濟日報,2024年06月28日
儒鴻Q2毛利率有望續升，全年營運看雙位數增,"Ruhong’s Q2 gross profit margin is expected to continue to rise, with double-digit growth expected in full-year operations",,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=ef4cc72c-b346-4f72-8432-cd87b59abc5b,"儒鴻Q2毛利率有望續升，全年營運看雙位數增. 人氣(0) 2024/06/27 12:36. MoneyDJ新聞2024-06-27 12:36:51 
記者林昕潔報導. 儒鴻(1476)看好隨著旺季到來，且客戶訂單增...",MoneyDJ,2024年06月27日
儒鴻期 動能向上,"Confucianism and Hong period, momentum is upward","本文共527字

儒鴻（1476）第2季起進入傳統旺季，看好6月營收表現可維持佳績。儒鴻稱第3季的訂單也接得差不多了，表現約與第2季相當，至於第4季進入傳統最旺季，營收表現會較第3季稍微往上。

儒鴻稱今年動能來自六個新崛起的客戶，全年占營收的比重可達12~18%。大客戶方面，Nike給的預估單目前還有上修，Lululemon在海外市場表現出色，有利供應動能。

Lululemon 2024會計年度第1季，營收22.1億美元，優於預期的21.9億美元，年增10%；EPS 2.54美元優於預期的2.38美元。展望未來，Lululemon看旺下半年市況，調高全年每股盈餘27美分。全年每股盈餘預估介於14.27~14.47美元。

對於未來的營運展望，儒鴻董事長洪鎮海日前表示，除9月因為產品季節交換季的關係，可能、或不一定能達到營收3字頭的目標，但是到其他月份，只要船期不要太過延誤，應可達到理想。另外，儒鴻看目前的景氣呈現持續好轉，而原物料今年則是供給持穩、價格偏軟，理論上，明年（2025）營收可以維持雙位數成長，投資人不妨留意儒鴻期（LWF）。（群益期貨提供、記者王皓正整理）

（期貨交易必有風險，本專區資訊僅供參考，並不構成邀約、招攬或其他任何建議與推薦，請讀者審慎為之。）",https://money.udn.com/money/story/11113/8026997,儒鴻（1476）第2季起進入傳統旺季，看好6月營收表現可維持佳績。儒鴻稱第3季的訂單也接得差不多了，表現約與第2季相當，...,經濟日報,2024年06月12日
