title,title_translated,content,link,snippet,source,date
光明寺舉辦夏週日電影院 三好微電影啟發省思,Guangming Temple holds summer Sunday cinema and three good micro-movies inspire reflection,,https://www.lnanews.com/news/160651,6月30日，國際佛光會佛州協會西區分會於佛光山光明寺舉辦清涼消暑的「夏週日電影院」，播放三好微電影，分別是2020年的《無私》、《我是父親的腳踏車》、及2021年...,人間通訊社,2024年07月11日
光明寺線上口譯培訓 實例練習獲益多,Guangming Temple Online Interpretation Training Benefits from Practicing Examples,,https://www.lnanews.com/news/160410,美國佛州光明寺與邁阿密佛光山6月19日邀請佛光山人間佛教研究院副院長妙光法師，為成軍周年的英文口譯團隊進行線上培訓，本次課程重點在培訓口譯者用線上方式來記憶...,人間通訊社,2024年07月11日
蔬出健康蔬出愛 美國佛州VegRun歡喜開跑,"Vegetables bring health and vegetables bring love, VegRun happily starts in Florida, USA",,https://www.lnanews.com/news/160387,"國際佛光會佛羅里達協會天帕分會於6月15日在美國佛州天帕市菲力浦公園（Philippe 
Park）展開VegRun路跑活動，吸引約60位佛光人參加，路跑後提供蔬食燒烤，並進行團康...",人間通訊社,2024年07月11日
光明寺三好兒童夏令營 從《元素方城市》了解情緒管理,"Guangming Temple Sanhao Children's Summer Camp Learn about emotional management from ""Elemental City""",,https://www.lnanews.com/news/35/160001,美國佛光山佛州光明寺於5月24、25兩日開辦三好兒童夏令營，由於光明寺地處迪士尼世界首都「奧蘭多」，因此每年透過迪士尼電影解說三好，成為夏令營結合地方特色的傳統...,人間通訊社,2024年07月11日
歡慶佛誕節 佛州佛光山光明寺舉辦慶典及園遊會 美國聯邦議員及郡長大啖台式素食,"Celebrating Buddha’s Birthday, Fo Guang Shan Guangming Temple in Florida held a celebration and garden party. U.S. federal congressmen and county governors ate Taiwanese vegetarian food","(中央社訊息服務20240521 09:34:23)佛光山光明寺及「國際佛光會佛羅里達協會」於5月19日舉辦佛誕浴佛及藝文素食園遊會，包含駐邁阿密辦事處處長周啟宇、聯邦眾議員 Darren Soto（D-FL)及 Maxwell Frost（D-FL)、佛州參議員Linda Stewart、活動所在地橘郡郡長Jerry L. Demings、慈濟奧蘭多聯絡處負責人林智、僑務諮詢委員王成章及僑務促進委員莊杏珠等貴賓均應邀出席共同參與盛典。



如元法師在活動開始時致詞表示，佛誕節送給佛陀最好的生日禮物，就是將佛法運用在日常生活中，也就是佛光山推行的三好，包括說好話、做好事、存好心，也希望在未來的每一天，大家時時刻刻都記得三好，並且付諸實行，這就是佛誕日最好的生日禮物。

住持如元法師接著邀請與會貴賓上台分享自己收到最難忘的生日禮物，其中Demings郡長提到，自己的孿生哥哥在年幼時曾患病住院多時，所幸在其生日當天康復出院，時至今日Demings郡長回想當時看到哥哥健康返家的那一幕仍感動不已，他表示這是他收到最難忘也最珍貴的禮物！Demings郡長隨後頒贈賀函予如元法師，感謝佛光山光明寺對橘郡的貢獻，也祝福活動順利圓滿。

周啟宇處長於致詞時肯定佛光山光明寺秉持佛陀慈悲、大愛與智慧的精神，長期投入促進當地文教發展及族群和諧的服務工作，貢獻卓著，實踐星雲大師「人間佛法」的理念，並頒贈賀函予如元法師，祝願在場信眾及鄉親，事事順心、闔家安康幸福。

周處長另感謝如元法師、「國際佛光會佛州協會」會長俞孟貞先前鼎力協助邀請光明寺中文學校的師生及家長踴躍參與「2024年美國台灣傳統週暨加拿大亞裔傳統月」文化訪問團「十鼓擊樂團」在奧蘭多中佛州大學(UCF)的巡迴演出。周處長提到「十鼓擊樂團」當天表演相當成功，且除凝聚僑界向心力，也提升台灣在中佛州的能見度，並藉由文化外交增進台美情誼。

莊嚴隆重的浴佛儀式結束後，如元法師帶領周啟宇處長、Soto與Frost兩位聯邦眾議員、Linda州參議員及Demings郡長等貴賓在大殿外的成佛大道上欣賞由當地社團準備各項精彩豐富的藝文表演節目，包括日本太鼓及台灣原住民舞蹈。活動現場還有令賓客垂涎的台式素食品嚐、台灣與其他亞洲美食廚藝教學示範及台灣知名藝術家Grace Liu與其學生的畫作展出，無疑是一場集慶典、藝文及美食於一堂，歡樂且殊勝的佛誕節。

駐邁阿密辦事處周啟宇處長頒贈賀函予住持如元法師。

住持如元法師（右1）與駐邁阿密辦事處處長周啟宇（中）、聯邦眾議員 Darren Soto（右2)及 Maxwell Frost（左2）等人合影。

住持如元法師（左5）與駐邁阿密辦事處處長周啟宇（右1）佛州參議員Linda Stewart（右5）、活動所在地橘郡郡長Demings（右3）等人合影。

如元法師（右5）與周啟宇處長（右2）、Demings郡長（右4）等賓客在園遊會現場合影。



",http://www.cna.com.tw/postwrite/chi/371503,"佛光山光明寺及「國際佛光會佛羅里達協會」於5月19日舉辦佛誕浴佛及藝文素食園遊會，包含駐邁阿密辦事處處長周啟宇、聯邦眾議員Darren 
Soto（D-FL)及Maxwell...",中央社 CNA,2024年05月21日
福智僧團月稱光明寺「月光音樂會?心光燦燦暖人間」以讚頌樂音傳頌眾生恩逾800位苗栗鄉親聆聽心靈饗宴,"The Fuzhi Sangha is known as Guangming Temple's ""Moonlight Concert? The light of the heart warms the world"" to praise the music and spread the grace of all living beings. More than 800 Miaoli folks listened to the spiritual feast","福智僧團月稱光明寺於五月五日晚上在苗栗縣國立聯合大學二坪山校區大禮堂舉辦「月光音樂會」，由苗栗縣政府指導，文化觀光局及聯合大學協辦，時大音樂國際有限公司、財團法人夢蓮花文化藝術基金會承辦。今年音樂會以「心光燦燦暖人間」為主題，以福智團體真如老師所創作的讚頌，以及由眾多知名藝人們演唱。希望藉由溫馨的讚頌樂音，感念萬物眾生的恩德，為社會人心傳遞互助關懷的善心意。音樂會精彩節目由夢蓮花基金會與時大音樂聯手規劃，邀請知名藝人施易男及國立台灣藝術大學戲劇系專任副教授陳彥廷等擔綱演出。福智僧團性莊法師親臨現場關懷民眾，苗栗副縣長鄧桂菊、文觀局副局長徐建男等長官也到場致意，總計近千位苗栗鄉親聆聽心靈讚頌饗宴（見圖）。

月稱光明寺性莊法師致詞時表示，地震頻繁導致我們的身心產生焦慮與壓力，但也有暖心故事，例如送貨司機在地震當下分享食物助人救災的愛心。法師引佛經中：「世間無常、國土危脆」，引導大眾認知生命無常，當積極學習承擔與利他，為苦難受創的世界，建立良善正向的力量，為社會國家注入無限希望。月稱光明寺期許大眾能透過讚頌樂音來撫慰人心，為花蓮及每一個受災難的地方送祝福，開創美好的未來，也願天下的母親母親節快樂。苗栗縣副縣長鄧桂菊在現場特別感謝福智僧團月稱光明寺，連年頒發獎助學金予苗栗的孩童，以及舉辦月光音樂會嘉惠縣民，傳遞社會「感恩、傳承、慈愛、利他」的禮物，祝福與會來賓平安喜樂。

精彩節目由廣播金鐘獎最佳流行音樂主持人邵大倫以雄渾的音韻唱誦《你是我最亮的星》及《滅死勝甘露》揭開序幕。接著由國立台灣藝術大學戲劇系專任副教授陳彥廷以清新爽朗的喉韻演唱《床前明月光》及《蘭若飄香》。流行歌唱教學老師謝佩吟演唱優雅的《水晶心花》及《覓幽蘭》讓心靈輕快悠揚起來。謝孟其的《樹影婆娑明月》及《凝眸》令人陶醉。來自紐西蘭的藝人羅藝恆以流利的中文演唱《走過千生萬世》及《鐵血男兒》，精彩動人。知名暖男藝人施易男則演唱《一輪明月》及《醒覺》，溫情感動了現場觀眾。節目中也特別安排榮獲福智文教基金會《尊親獎》孝行楷模獎的董士輔其生命故事，分享將困境轉為生命成長茁壯的養分，並感念天下父母親無私奉獻的心，溫暖了在場的每位觀眾。

天災頻仍之際，月稱光明寺為了撫慰眾生、安定人心，特別於節目中傳遞福智創辦人日常老和尚對生命的關懷；老和尚曾提到，在面對生命無常、令人驚慌變動的時刻時，透過真摯的祈求佛菩薩的慈悲加持，並以正向積極的心關懷他人，為社會注入善心暖意，當下即是為未來種下離苦得樂、解決「究竟災」的因。福智團體真如老師也提到：「外在的高樓雖然震垮，我們心中的正念與意志卻不能坍塌，應該追逐智者的理路之光，珍惜人生，走出恐慌，斷惡修善，迎向希望！」影片後大眾齊心向近日賑災中的無名英雄致敬，以及為受災的民眾獻上祝福。音樂會尾聲由藝人們帶領大眾合唱《我祈禱》，在溫馨感恩的樂音中畫上圓滿的句點。

福智根本道場月稱光明寺多年來以佛陀慈悲利生的精神，積極深耕在地多元關懷的行動，包含「溫馨傳月情」、「月光音樂會」、「獎助學金」、「寒冬物資送暖」、「綠色保育山村計畫」等，帶動社區弱勢關懷、心靈提升、環境永續、食安健康、保育珍稀植物等的良善風氣。期許秉持佛陀慈悲利眾的精神，建構幸福永續的人間淨土。",https://tw.news.yahoo.com/%E7%A6%8F%E6%99%BA%E5%83%A7%E5%9C%98%E6%9C%88%E7%A8%B1%E5%85%89%E6%98%8E%E5%AF%BA-%E6%9C%88%E5%85%89%E9%9F%B3%E6%A8%82%E6%9C%83-%E5%BF%83%E5%85%89%E7%87%A6%E7%87%A6%E6%9A%96%E4%BA%BA%E9%96%93-%E4%BB%A5%E8%AE%9A%E9%A0%8C%E6%A8%82%E9%9F%B3%E5%82%B3%E9%A0%8C%E7%9C%BE%E7%94%9F%E6%81%A9-%E9%80%BE800%E4%BD%8D%E8%8B%97%E6%A0%97%E9%84%89%E8%A6%AA%E8%81%86%E8%81%BD%E5%BF%83%E9%9D%88%E9%A5%97%E5%AE%B4-091420768.html,福智根本道場月稱光明寺多年來以佛陀慈悲利生的精神，積極深耕在地多元關懷的行動，包含「溫馨傳月情」、「月光音樂會」、「獎助學金」、「寒冬物資送暖」、「綠色保育山村...,Yahoo新聞,2024年05月06日
月稱光明寺舉辦「月光音樂會」 傳遞互助關懷的溫暖力量,"Yuezhen Guangming Temple holds ""Moonlight Concert"" to convey the warm power of mutual help and care",,https://www.miaoli.gov.tw/News_Content2.aspx?n=285&s=750129,主辦單位表示，本次音樂會以寧靜、輕快、熱情磅礡的多元創作，將「讚頌」歌曲真善美的內涵，以流行曲風呈現給觀眾，希望藉由音樂，傳遞光明希望，引領觀眾感受生命中的美好...,苗栗縣政府全球資訊網,2024年05月05日
福智僧團月稱光明寺頒贈獎助學金 融合淨塑與讚頌音樂會珍愛地球從心做起,"Fuzhi Sangha’s Moonlight Temple awards scholarships and bursaries, integrates pure sculpture and praise concerts, and cherishes the earth from the heart.","福智僧團月稱光明寺頒贈獎助學金融合淨塑與讚頌音樂會珍愛地球從心做起。（記者江乾松攝）

▲福智僧團月稱光明寺頒贈獎助學金融合淨塑與讚頌音樂會珍愛地球從心做起。（記者江乾松攝）

福智僧團月稱光明寺於五日在苗栗縣國立聯合大學二坪山校區活動中心四樓「國際會議廳」舉辦獎助學金頒贈活動，提供苗栗地區清寒學子學習教育資源。月稱光明寺長期關懷苗栗地區鄉親身心靈健康，並重視年輕學子的心靈教育。活動當日，福智僧團性莊法師、苗栗縣政府顧問黃新發、聯合大學副校長侯帝光，苑裡鎮長劉育育、通霄鎮民政課課長林明旭等親自蒞臨，期望此良善關愛的善意，能成為學子們奮進向學的動力。

月稱光明寺性莊法師致詞說明，恩師日常老和尚曾提到「教育是人類升沉的樞紐」，透過教育可以轉變人心，期許透過獎助學金能夠回饋社會，幫助學子們學業順利。鼓勵同學受之於社會，努力上進成為手心向下，給予別人幸福溫暖的人。法師引用福智團體真如老師於《希望新生》第一百則提到：「雙眼從一個窗口看出去，是看到滿天的星辰，還是地上的泥濘，選擇權完全在自己。我選擇看什麼，我的世界裡就有什麼」，期勉大家以正向良善的心溫暖他人。苗栗縣縣府顧問黃新發代表縣長致詞，感謝月稱光明寺及各單位支持，小朋友是家庭、社會、國家未來的希望。投資教育就是投資未來，祝福學子們未來能幫助更多的人，也祝福母親節快樂。

頒獎當日除了獎助學金，還安排闖關活動，透由認知塑膠對海洋環境生物的危害，以及愛護地球減塑理念的推廣，帶動大眾認知我們與萬物生存的環境息息相關，並於日常生活中實踐減塑環保愛地球。此外，現場同時舉辦的月光音樂會，提供苗栗鄉親心靈饗宴，希望透由溫馨樂音淨化、感動、教化人心。今年總計有二0四位學子獲得獎助，在整體活動的安排下，會場洋溢著溫馨有愛的氣息。

月稱光明寺自2013年起，每年頒發獎助學金予苗栗地區國小、國中、高中職及大專院校就學困難者，迄今已有數千位學子受惠。其中涵括家庭經濟困難、父母傷病或身障、單親、隔代教養等貧困家庭。同時啟迪學子涵養慈孝念恩的善行，並鼓勵刻苦勤學、飲水思源，莫忘成長歷程中，社會與他人的幫助與陪伴。勉勵學子取之於人、回饋於人，期許自己的學習能夠廣利社會國家。",https://tw.news.yahoo.com/%E7%A6%8F%E6%99%BA%E5%83%A7%E5%9C%98%E6%9C%88%E7%A8%B1%E5%85%89%E6%98%8E%E5%AF%BA%E9%A0%92%E8%B4%88%E7%8D%8E%E5%8A%A9%E5%AD%B8%E9%87%91-%E8%9E%8D%E5%90%88%E6%B7%A8%E5%A1%91%E8%88%87%E8%AE%9A%E9%A0%8C%E9%9F%B3%E6%A8%82%E6%9C%83%E7%8F%8D%E6%84%9B%E5%9C%B0%E7%90%83%E5%BE%9E%E5%BF%83%E5%81%9A%E8%B5%B7-083306117.html,月稱光明寺自2013年起，每年頒發獎助學金予苗栗地區國小、國中、高中職及大專院校就學困難者，迄今已有數千位學子受惠。其中涵括家庭經濟困難、父母傷病或身障、單親、隔代...,Yahoo新聞,2024年05月05日
左鎮大光明寺五日佛菩薩開光,The five-day consecration of Buddha and Bodhisattva at Daguangming Temple in Zuozhen,"記者張淑娟／左鎮報導

左鎮區睦光里大光明寺，連日來舉行梁皇寶懺法會，即祈安消災，並祝禱國運昌隆、正法長存於世，另五日將舉辦一場盛大的「開光大典」。大光明寺表示，寺已籌建多年，這是一個歷經十多年，由信眾、善心人士一起打造，歡迎共同見證歷史性的一刻。

左鎮大光明寺是一個宗教場所，更是一個凝聚信仰與文化的寺廟，五日將舉辦的諸佛菩薩開光安座，是一場超凡脫俗的盛宴，開光的佛菩薩中包括釋迦牟尼佛、藥師佛、阿彌陀佛、千手千眼觀世音菩薩、文殊師利菩薩、普賢菩薩、地藏王菩薩、護法韋馱尊天菩薩以及伽藍菩薩等。

大光明寺也表示，此次開光大典不僅是一個宗教儀式，更是一個凝聚信眾與人心的盛會，誠摯邀請大家一同前來，共同參與神聖的儀式，感受信仰的力量和佛祖慈悲，並共同祈福祝願，替眾生祈福，法喜充滿。釋會能法師表示，大光明寺多年前取得核准的建照，以樂捐方式，透過善款一點一滴、一缽一行築寺，可說集合真善美的弘法之寺，五日終於要開光，歡迎五日上午九時三十分一同見證這一難忘的時刻。",https://www.cdns.com.tw/articles/1005553,記者張淑娟／左鎮報導左鎮區睦光里大光明寺，連日來舉行梁皇寶懺法會，即祈安消災，並祝禱國運昌隆、正法長存於世，另五日將舉辦一場盛大的「開光大典」。大光明寺表示...,中華日報,2024年05月04日
福智僧團祈願法會捐贈2400份公益物資 傳愛偏鄉弱勢及社福機構,"The Blessing and Wisdom Sangha Prayer Ceremony donated 2,400 public welfare materials to spread love to the disadvantaged and social welfare organizations in rural areas","通霄月稱光明寺將法會物資贈予清寒家庭、偏鄉學童、身心障礙弱勢團體等。

▲通霄月稱光明寺將法會物資贈予清寒家庭、偏鄉學童、身心障礙弱勢團體等。

福智僧團二0二四年祈願法會甫圓滿，鳳山寺、月稱光明寺、南海寺等法師、尼師帶領居士大眾，陸續將二千四百份法會物資，贈予清寒家庭、偏鄉學童、身心障礙弱勢團體等，並於二日前在全臺各地完成捐贈行。福智僧團期盼此舉能為有需要的人提供即時的支援，也盼透過佛法安定人心，為社會帶來溫暖與祝福。

早在西元一四0九年，佛教史上重要改革者?宗喀巴大師在西藏重興祈願法會。福智團體二00二年在創辦人日常老和尚帶領下，在臺灣啟建第一屆祈願法會，真如老師也鼓勵弟子，祈願法會的意義在於能為眾生帶來安樂。此後福智團體僧俗二眾弟子連年舉辦祈願法會，並且選用各式有機天然、友善環境的里仁產品組成廣供塔。在法會圓滿後，透過後續的公益捐贈，也讓這份真誠祝福化作守護健康與環境的美意。福智團體盼紹繼廣弘佛陀圓滿的利生事業，引領大眾對佛法僧三寶行廣大供養、對貧窮受苦者廣修布施。

福智僧團以立志紹繼佛陀圓滿教法、培養清淨僧才、翻譯傳承論典等為己任，福智團體的居士弟子也奉行大乘教法「自利利他」精神，推廣大眾佛法研修、有機環保產業、社會教育事業、慈善關懷事業、醫療義診等。期望透由推動多元的利眾事業，如理奉行日常老和尚說的：「重點是我們這一群人真的跟法相應，積聚廣大資糧，法就會一直延續下去」。",https://tw.news.yahoo.com/%E7%A6%8F%E6%99%BA%E5%83%A7%E5%9C%98%E7%A5%88%E9%A1%98%E6%B3%95%E6%9C%83%E6%8D%90%E8%B4%882400%E4%BB%BD%E5%85%AC%E7%9B%8A%E7%89%A9%E8%B3%87-%E5%82%B3%E6%84%9B%E5%81%8F%E9%84%89%E5%BC%B1%E5%8B%A2%E5%8F%8A%E7%A4%BE%E7%A6%8F%E6%A9%9F%E6%A7%8B-090252938.html,福智僧團二0二四年祈願法會甫圓滿，鳳山寺、月稱光明寺、南海寺等法師、 ...,Yahoo新聞,2024年05月02日
