title,title_translated,content,link,snippet,source,date
熙特爾新能源攜手中央大學 搶攻 AI 微電網商機,Xiter New Energy joins hands with Central University to seize AI microgrid business opportunities,"本文共877字

儲能系統軟硬體整合商熙特爾新能源25日宣布以「能源聚合商系統整合（System Integration, SI）技術」為發展願景，結合中央大學「微電網智慧AI整合技術」的學術能量，以安全與永續為目標共同升級電網調控性能及相關策略。

熙特爾新能源於成立於2017年，經營團隊擁有20年的電池技術能力，提供完整的智慧化儲能方案。熙特爾於新店原總部、林口、嘉義、彰化以及高雄已有七個儲能案場，熙特爾亦占有多項實績成效，近期將啟動大型案場，挑戰高倍數營收成長，預計2026年完成IPO，提升市場能見度。

熙特爾25日宣布與中央大學資訊電機學院電機工程系戰略合作，由熙特爾董事長林聖澤，與微電網權威陳正一教授代表簽署「熙特爾新能源 X 中央大學產學智慧微電網控制應用」合作備忘錄（MOU）。陳正一教授目前擔任中央大學電機系主任、並得到中央學術研究傑出獎等多項殊榮，亦為金屬中心儲能系統專案驗證技術專家，且為行政院國家科學技術發展補助計畫、經濟部技術處（SBIR）電子領域等技術審查委員。

據悉，雙方此次MOU合作簽署目的為因應再生能源波動，提出智能再生能源平滑控制策略，並且建立AI需量調節控制機制、以及能源管理最佳化控制策略。分散式再生能源趨勢之下，建立微電網互聯調度及電力共享機制。針對用電情況、能源樣態，進一步做智能電力品質事件辨識，最後一項則是透過AI技術做到最佳虛擬電廠。

微電網系統的建置可減少輸電過程中的電力耗損，亦可做為大型電網的輔助型區域電網。陳正一在擔任熙特爾微電網專業顧問之時，將率領機電教授團隊，將分散式能源電力調度及負載有效管理，配合未來電網智慧化，結合熙特爾打造強韌電力解決方案，提供全方位表前及表後服務，且將能源通訊模組化，達成快速、穩定建置之服務優勢。並將能源AI資訊與智慧電網控制策略進行整合，達成強化微電網能源管理最佳化之目標，並帶來更創新的智慧調控服務。

熙特爾方面亦著重EMS核心之技術開發，能彈性因應不同能源市場及用戶需求，並優化儲能安全，結合具備高度能源管理和調控能力，將提高儲能能源效益，為推動再生能源將綠電與永續科技再度升級。",https://money.udn.com/money/story/11162/8053841,"儲能系統軟硬體整合商熙特爾新能源25日宣布以「能源聚合商系統整合（System Integration, 
SI）技術」為發展願景，結合中央大學「微電網智慧AI整合技術」的學術能量，以...",經濟日報,2024年06月25日
高股息政策 雲豹能源配息率達7 成跨足海外拚營運成長,"High dividend policy: Yunbao Energy's dividend distribution ratio reaches 70%, and it expands overseas to strive for operational growth","CNEWS匯流新聞網記者謝東明、李盛雯／台北報導

國內再生能源整合服務商雲豹能源（6869），繼公布2023年度自結營收達67.83億元，成長7.66%，創歷史新高，今（15）天再度對外宣布利多消息。雲豹能源表示，將祭出高股息政策，將2023年獲利配發率提升至70%以上，以高配息的方式，回饋股東支持。

雲豹能源總經理趙書閔表示，過往都將大部分盈餘資金，運用在太陽光電、儲能等案場投資，近年進入資本市場，對投資人來說，高股息才是最具吸引力之處。因此，從今年開始，祭出高股息政策，將配息率從30%到40%，大幅調升至70%。據法人預估，雲豹能源2023年每股稅後純益（EPS）約 8至9元，以配息率70%推估，每股現金股利約6元，殖利率超過6%。

雲豹能源表示，展望2024年，將於3月在創新板掛牌上市滿一年之際，向證交所送件申請轉一般板上市，預計8月完成轉板。同時，旗下儲能子公司台普威、以及水處理子公司煒盛環科，在母公司翹首引領之下，也計畫於年底掛牌興櫃。在業務拓展方面，以太陽光電及儲能案場的工程收入，為主要營收挹注來源；另外，持續增加太陽光電維運管理、水處理代操作、綠電交易等長期穩健收益。

趙書閔表示，挺過三年新冠肺炎疫情風暴，今年更跨足海外市場，鎖定東南亞地區越南、菲律賓、泰國、印尼等台商投資發展的主力國家。跟著台商腳步前進東南亞，以台商在當地建廠為標的，投資建置太陽光電案場，透過跟台商的合作，能快速了解當地的生態及法規限制，做最精準的投資布局。最快今年就能開始貢獻營收，看好未來三到五年內，海外再生能源市場將會蓬勃發展。

照片來源：CNEWS匯流新聞網資料照片

更多CNEWS匯流新聞網報導：

聽到大聲講話看了一眼 醉男誤認挑釁動手打傷人

槽化線違停 疑藏毒品見警加速逃收7交通違規罰單

【文章轉載請註明出處】",https://cnews.com.tw/204240115a05/,"CNEWS匯流新聞網記者謝東明、李盛雯／台北報導. 
國內再生能源整合服務商雲豹能源（6869），繼公布2023年度自結營收達67.83億元，成長7.66%，創歷史新高，今（15）天...",匯流新聞網,2024年01月15日
熙特爾智慧儲能方案 安全高可靠性,Xiter smart energy storage solution is safe and highly reliable,"本文共524字

國內儲能新秀熙特爾新能源，成立於2017年，團隊擁有20年的電池技術能力，提供完整的智慧化儲能方案，專精於電池模組設計、能源管理技術，以提供最安全可靠的儲能系統為使命，逐漸在儲能業界展露頭角。

熙特爾新能源董事長特助吳政哲（左起）、財務長張雅怡、董事長林聖澤、董事總經理陳伯勳合影。 劉美恩／攝影 該公司提供客製化電池模組設計、能源管理技術，從案場設計、建置到維護管理都能一手包辦，憑藉技術、安全、價值三大核心競爭力，在儲能領域脫穎而出，累積豐碩成果，締造多項業界領先紀錄，包括：全台最速取得戶外電池儲能系統案場自願性產品驗證證書（VPC）、111年11月得標經濟部能源局第一宗儲能系統結合太陽光電發電設備標案、其新店案成為全台首家通過德國萊茵TUV戶外儲能現地試驗的案場、全台首家導入台達（DELTA）DC1500V PCS系統等。

另外，在電池安全研究成果方面，熙特爾擁有7項新型及1項發明專利；並與中央大學合作進行產學研發計畫，也與台灣大學及賽車隊進行產學合作，同時與中科院進行豐富的研究交流，取得多項標案及獲得經濟部業界能專計畫的補助。

熙特爾新能源提供完整的智慧化儲能方案，且自主研發能源管理系統（EMS），引入BIM技術、3D建模、智能化工程與營運管理，不斷提升多方面管理技術，並將細緻的防災控制實施在案場中，打造最高安全性與高可靠性儲能案場。",https://money.udn.com/money/story/11799/7699761,國內儲能新秀熙特爾新能源，成立於2017年，團隊擁有20年的電池技術能力，提供完整的智慧化儲能方案，專精於電池模組設計、能源管理技術，以提供最安全可靠的儲能系統為...,經濟日報,2024年01月11日
Moxa能源通訊解決方案 助能源電網韌性升級,Moxa’s energy communication solutions help upgrade energy grid resilience,"本文共1208字

為達2050淨零碳排目標，加速能源轉型和打造強韌電網都刻不容緩，兼具資安防護的穩定通訊不僅建構強韌電網的基礎，更是能源轉型的重要一環。

工業通訊及網路設備領導廠商四零四科技（Moxa）在台灣國際智慧能源週中，展出一站式能源通訊解決方案，用於儲能併網通訊系統、能源管理系統、智慧變電站與太陽能發電通訊管理等，邀集多家產業夥伴，從電力能源產業生態系不同角度，為與會者分享能源轉型實務和案例。 Moxa參加智慧能源週，展示一站式能源通訊解決方案，攤位在南港一館J區1210。翁永全/攝影

能源轉型涉及眾多環節及節點，從電網、變電站、儲能到再生能源系統的數位化、智慧化監控和管理，在在需要網路通訊和數據監控能力。Moxa台灣區總經理林世偉表示，在能源轉型的過程中，再生能源佔比持續提高，這些多元且分散來源的不穩定能源要併網是影響整體電網穏定的一大挑戰，儲能正是解決這個問題的答案。

此外，如何透過網通技術與電力和儲能等 OT 系統串接，運用準確且安全的數據來監控、調度這些再生能源，也是有賴工業網通業者的投入與發揮專長。

Moxa在智慧能源週展示一站式能源通訊解決方案，涵蓋了智慧電網電流/資訊流調度應用、變電站網路通訊應用、電池儲能系統（BESS）監控與管理應用、太陽能環境監控與雲端管理應用，以及關鍵電源管理系統油氣水電設備監控應用等。

最受矚目的是 BESS 應用中呈現，如何設計高可用性的乙太網路與所有電池櫃、儲能變流器 （PCS）及能源管理（EMS）系統實時協作，透過 Moxa 解決方案來達成其中所需的精準且安全的數據擷取、傳輸及處理。 Moxa解決方案助力電池儲能系統（BESS）應用所需的精準且安全的數據擷取、傳輸及處理。Moxa/提供

展期也在攤位規畫講堂活動，精彩的主題分享包含：熙特爾新能源分享如何打造穩定的 EMS 平台及整合解決方案；富威電力談全面能源永續解決方案，以及與 Moxa 合作的儲能案場中包含電池櫃、PCS、EMS 和升壓站的全面通訊整合案例；加雲聯網分享如何運用Moxa 的能源通訊方案部署儲能系統與升壓站的數據監控、IEC 61850 變電站的通訊應用解決方案等。

Moxa 在電力通訊市場耕耘超過 15年，具備多項國際電力能源數位升級大型專案佈建經驗，為CIGRE、IEC WG、UCAIug 和 PAC World 等國際論壇、組織工作小組成員，提供全面性網路架構設計諮詢及面向未來的網路安全諮詢。旗下工業乙太網交換機、工業電腦及防火牆，率先業界取得全球首張 IEC 62443-4-2 工控資安標準認證，將客戶的系統安全納入設計考量，為各種關鍵運作注入資安的DNA。攤位在南港一館J區1210。

關於 Moxa

Moxa 是致力於工業互聯網的領導品牌，提供邊緣連線、工業運算和網路基礎設施解決方案。Moxa 擁有 35 年的產業經驗，連結全球逾 9,400 萬台工業設備，其完善的經銷和服務網絡遍及全球超過 85 國。Moxa 通過為工業提供可靠的網絡，與為工業通訊基礎設施提供真誠的服務，從而創造長遠的商業價值。如需更多 Moxa 解决方案相關資訊，請至 www.moxa.com/tw。",https://money.udn.com/money/story/11799/7516986,Moxa台灣區總經理林世偉表示，在能源轉型的過程中，再生能源佔比持續提高，這些多元且分散來源的不穩定能源要併網是影響整體電網穏定的一大挑戰，儲能正是解決這個問題...,經濟日報,2023年10月19日
熙特爾打造賽車改裝廠 能源展秀儲能多元應用,Xiter builds a racing car modification factory to showcase the diverse applications of energy storage,"淨零碳排已是全球共識，台灣政府去年正式宣布「2050淨零排放政策路徑藍圖」，透過國家總體政策規劃，積極邁向零碳未來。在今年台灣最具指標性能源產業交流平台Energy Taiwan「2023台灣國際智慧能源週」，於10月18日至20日在南港展覽館一館登場，聚焦綠能、儲能、創能與永續。國內儲能新秀熙特爾新能源首次於展覽中亮相，在儲能區I0001展示「自主研發之能源管理系統（EMS）」、「智慧化儲能方案」、以及「引入建築資訊模型（BIM）技術、3D建模、智能化工程及營運管理方案」三大區塊。

熙特爾聯手台大賽車隊，並把賽車搬進展場，展現鋰電池技術多方應用的成果。同時，也藉由當紅的賽車話題，與台大賽車隊聯名合作，建立技術交流平台，傳承電池技術經驗予年輕學子，彰顯熙特爾專注在電池領域超過20年，細心專注每一個細節，不斷提升能源管理技術之匠人精神。

此次展覽技術創新重點，將傳統圓柱電池採用鎳片電阻焊接，改以德國雷射焊接工藝製程，取代螺絲跟銅排的鎖附方式，加上雙邊匯流排設計，降低模組內阻分散電流，減少溫升。大幅提高電池穩定性、散熱性和輕量化，能夠賦予電動車瞬間供電、輸送爆發扭力。電池芯併接技術，採鋁絲拉焊作為電芯與匯流排之精密性的保險絲連接，可避免因車輛行駛震動而導致之斷路，同時充分保障加工製程之安全性。

熙特爾董事長林聖澤表示，儲能系統不只應用在再生能源領域，還可以擴大發展到其他產業。例如，儲能系統在工業和商業領域中有廣泛應用的潛力，可以幫助企業實現節約能源和效率提升。此外，儲能系統還可以應用在電動車充電基礎設施，支持電動車普及化。

而這次與台大賽車隊合作，尤其熙特爾本身擁有豐富的各式電芯組立設計經驗，指導台大賽車隊在車體核心電池模組設計，技術性產出效率之餘，同時符合安全實務。同時，隨著科技的不斷進步和創新，儲能供應鏈將不斷拓展到更多的領域，為各個產業帶來更多的發展機遇。

熙特爾成立於2017年，秉持著匠人精神，專精客製化電池模組設計、電源管理技術，從案場設計、建置到維護管理都能一手包辦，並豎立企業「三大核心—技術、安全、價值。」。憑藉三大核心競爭力，在儲能領域脫穎而出，也是全台第一家取得德國萊茵（TUV）戶外儲能現地試驗認證通過的公司，及全台最速取得設計審查意見書的廠商、去年也順利得標，經濟部能源局第一宗儲能系統結合太陽光電設備標案，另外，熙特爾也擁有7項新型及1項發明專利，累積電池安全研究成果，並與中山科學研究院（NCSIST）進行了豐富的研究交流，並取得多項標案。

尤其外界相當關注儲能安全，熙特爾一直以來把安全放在首位，重視安全建置與保護，以確保儲能案場的安全運作，不僅遵守並嚴格執行相關的政府法規和消防安全管理指引，也對案廠進行全面的風險評估和安全評估，並與SGS、消防設備師（士）協會等產官學研究機構合作舉辦消防評鑑深度研討會，升級儲電設備的安全標準以全面確保系統安全。

對於民眾擔心安全問題引發的抗爭，董事長說：「我們非常重視民眾的意見和反饋，並積極與當地社區進行溝通和交流，我們將理性思維落實於儲能系統建置和加強措施，消除民眾的疑慮和恐慌。」秉持儲能系統安全可靠性的最高原則，以匠心服務精神，細心對待每一案件與各方反饋，展現安全性技術設計的最大價值。

在儲能系統的建置前，團隊會進行詳細的風險評估，確保每個案場穩定運作，並實現最大效能，為客戶創造價值，同時也藉由與台大賽車隊的產學合作，將電池應用的廣泛技術再度優化，將安規落實及深化技術交織合併，創造未來邁向科技智慧化的新能源方案。",https://www.businesstoday.com.tw/article/category/183015/post/202310180071/,淨零碳排已是全球共識，台灣政府去年正式宣布「2050淨零排放政策路徑藍圖」，透過國家總體政策規劃，積極邁向零碳未來。在今年台灣最具指標性能源產業交流平台Energy...,今周刊,2023年10月18日
綠能永續發展 安全不打折 產官學共同攜手推動儲能案場防火安全評鑑研討會,"Sustainable development of green energy without compromising safety. Industry, government and academia jointly promote energy storage site fire safety assessment seminar","(中央社訊息服務20230830 10:01:21)儀器操作不當可能釀成火災，電池變質也可能導致爆炸，隨著能源轉型綠能發展，防火安全也須不斷升級。SGS台灣檢驗科技股份有限公司、中華民國消防設備師(士)協會特別攜手大葉大學〈Da-Yeh University〉環境工程學系、消防安全學士學位學程，28日下午在內政部消防署舉辦「儲能案場防火安全評鑑研討會」，邀請專家學者、產險業者、系統業者、專技人員等，共同針對儲能系統相關規範、風險評估、火災量化評估等議題，進行專業技術交流。

此次研討會，內政部消防署署長蕭煥章、立委洪申翰、臺北市消防局局長莫懷祖、財團法人臺灣建築中心董事長崔懋森、SGS台灣檢驗科技股份有限公司副總裁郭耀文等人都親自蒞臨與會，共同致力推動綠能安全永續發展。消防署署長蕭煥章強調，集結產官學研能量，讓防災科技化、智慧化，一直是消防署努力的目標，全球暖化造成極端氣候，以及新能源發展出現的災害風險，是全世界共同面臨的防災、救災課題，謝謝SGS台灣檢驗科技股份有限公司、中華民國消防設備師(士)協會長期為防災科技交流的努力，此次研討會更與致力培育新時代消防與災防專業技術人才的大葉大學合作，期盼透過此次活動，協助產業升級，因應新時代的挑戰。

本次活動的總召集人中華民國消防設備師（士）協會理事長何岫璁博士指出，隨著新興能源發展，太陽能板、充電樁等相關綠能設施日益多元，加上儲能系統防火安全日漸為民眾所關切，為此政府已訂定「提升儲能系統消防安全管理指引」，強化儲能系統案場防火安全外，為串聯儲能系統從零組件、配置、安裝等各面向安全機制，特別結合大葉大學的學術能量，合辦「儲能案場防火安全評鑑研討會」，邀請國內外的風險與消防工程專家，共同交流激盪當前國際採用的火災風險量化評估技術，幫助產業強化火災預防因子，降低災害發展的可能性。

大葉大學環工系主任、消防學程主任葉啟輝表示，大葉大學深耕綠能研發，並積極落實大學社會責任，與各機關學校合作，推廣防災教育。新能源科技衍生出充電樁、儲能櫃、鋰電池等新興產物，如何預防可能發生的災害，傳統的救災模式又是否適用，都是值得探討的問題，為協助產業因應新能源發展與相關法規，學校與SGS台灣檢驗科技股份有限公司、中華民國消防設備師(士)協會合作，辦理「儲能案場防火安全評鑑研討會」，分成戶外型儲能系統案場驗證規範、儲能案場保險規劃及核保要點、風險評估完整性及風險分級、儲能系統火災量化評估方法、技術交流五個單元，透過專家分享，提升防火實務應用，共同為消防安全盡心力。

立委洪申翰認為，再生能源極大化是達成淨零排放目標最主要的策略，為了搭配再生能源的間歇性，儲能設備成為重要關鍵，並能有助於電網韌性的強化。考量近年國際間發生多起鋰電池儲能系統火災事件，經濟部參考國際組織的標準和做法，與內政部合作，針對儲能系統所需具備的安全標準及消防安全提出相關規範。相關防火措施不僅是為了儲能案場本身的風險控管，更重要的是保護鄰近案場的社區，若真的發生事故，盡量將損害控制在一定範圍內。儲能案場已有採用的防火措施，例如設置電池櫃、蓄水區，是透過讓案場降溫而減少起火的機率，儲能案場火災的發生有很多可能的原因，包括高溫甚至雷擊，盼主管機關經濟部可以積極與各界研商和溝通，建立嚴謹、務實的規定，未來的儲能應用將更多元、分散，例如家戶儲能設備的裝設，主管機關也應為相關安全及消防規範預做準備。

臺北市消防局局長莫懷祖認為，將火災風險量化評估，是發展火災預防政策的重要關鍵，因為火災的發生在事前難以預測，所以必須透過找出引發火災的重要因子，分析因子發生頻率的高低、引起的嚴重程度等。此次研討會提供了產、官、學界強化合作的平台，期盼透過技術交流，提升風險量化方法的成熟度，未來消防單位可以推廣應用到各類場所，包括用來檢討場所風險等級、調整安檢實施的頻率與項目、制訂消防設備的設計規範、創新防火宣導重點、強化資訊系統功能等，讓政府研訂相關的管理措施、減災對策都能「對症下藥」，達到事半功倍的成效。

全台最大的民營電廠持有者中租迪和指出，火災風險評鑑制度將是案場風險分級明確的標準，可幫助金融機構及保險業者快速有效的評估，對儲能產業發展是很大的助力。

協辦單位、新進能源科技股份有限公司表示，有別於傳統被動式減災作為，應在火災產生之前至火災之後的事件節點，探討熱失控不等於全損的關鍵因素，儲能系統的設計除了減災之外，更要重視如何避災，隨著儲能建置技術越趨成熟，期許透過產學討論，結合國內外最新科技技術，建立在鋰電池在火災之前的第一道屏障。

利德保險經紀人股份有限公司也在會中談到，儲能產業所面臨的風險是複合型的，除了不可抗力的天災，儲能設備中使用的鋰三元或鋰鐵電池系統，存在熱失控、爆炸等火災風險，不同的儲能應用型態及案場規模，會產生不同的風險樣態，甚至多家保險公司已將儲能相關設備列為拒保業務，需要專業具經驗的保險經紀人協助儲能業者分析、盤點風險所在，用宏觀的角度規劃風險及保險移轉方案，才能提供更好的保障。

電芯代理商協禾國際提到，當鋰電池能量密度越大時，相對應的安全規範也將更趨嚴格，完善的火災風險評鑑制度提供消費者明確的選用指標，對於優良的設備商是一大肯定及助力。

協辦單位、熙特爾新能源指出，只要使用科學的方法，進行鋰電池儲能場域的消防設計規劃及風險分析和管理，就能設計出安全穩定的儲能電廠，藉由專業且明確的評鑑制度，能進一步確保系統品質，未來也能扮演跟民眾溝通很好的橋樑。

大葉大學消防學程產學攜手，推動儲能案場防火安全評鑑研討會

內政部消防署署長蕭煥章致詞

儲能案場防火安全評鑑研討會28日下午舉辦

儲能案場防火安全評鑑研討會邀集產官學研共同參與



",https://www.cna.com.tw/postwrite/chi/349730,儀器操作不當可能釀成火災，電池變質也可能導致爆炸，隨著能源轉型綠能發展，防火安全也須不斷升級。SGS台灣檢驗科技股份有限公司、中華民國消防設備師(士)協會特別...,中央社 CNA,2023年08月30日
產官學攜手28日辦「儲能案場防火安全評鑑」研討會- 商情,"Industry, government and academia join hands to hold ""Energy Storage Site Fire Safety Assessment"" seminar on the 28th - Business Information",,https://www.ctee.com.tw/news/20230829700985-431202,隨著太陽能、電動車充電樁快速發展竄起，儲能裝置防火安全設計與管理配套也須不斷升級。28日下午，由中華民國消防設備師(士)協會攜手SGS台灣檢驗科技公司、大葉大學環...,工商時報,2023年08月29日
施耐德電機強強聯手熙特爾新能源 打造一站式能源管理方案,Schneider Electric joins forces with Xiter New Energy to create a one-stop energy management solution,"匯流新聞網記者李映萱／台北報導

隨著環保法規修正、供電穩定性挑戰，以及這兩年兩度調漲電價，當中最高調幅達17%，都將使得台灣企業成本顯著提升，凸顯出佈局能源轉型刻不容緩。法商施耐德電機攜手熙特爾新能源，結合雙方優勢，為企業打造整合式能源管理方案。

施耐德電機解決方案助熙特爾面面俱到。藉由串連施耐德電機工業物聯網硬體、圖形化SCADA監控系統BLUE Open Studio與連網控制平台EcoStruxure Power Monitoring Expert，熙特爾發揮施耐德電機先進的物聯網科技與穩定的軟硬體生態系，以協助顧客打造客製化模組、減少軟硬體平台的適配時間，並提供兼具效率、性能與安全的一站式能源解決方案。

施耐德電機具有豐富且完備的軟硬體生態系，協助熙特爾打造高效率的整合方案。如部署工業物聯網可程式邏輯／運動控制器Modicon M262管理儲能系統裡的電池狀態同時監測消防與濕度、運用BLUE Open Studio（B.O.S.）SCADA監控系統將各式數據圖形化呈現，並透過連網控制平台EcoStruxure Power Monitoring Expert完整監控、並分析台電供電狀況與廠區能源使用情形。熙特爾透過此整合方案建構出視覺化的案場狀態，較原始數據更加直觀容易理解，不僅降低工程人員的學習成本，也獲得顧客正面反饋。

再來，施耐德電機先進讀表／電表PowerLogic ION9000可精確且快速的量測電力系統的頻率、電壓、電流等訊息，其效能更超越台電要求的0.01Hz及每秒10筆的讀值，使得熙特爾能源管理系統能主動提前掌握趨勢變化，因此受到台灣多數儲能案場採用。以熙特爾目前上線的新店案場為例，累積服務品質指標已超過99%。

施耐德電機表示，在挑選零組件與平台時，熙特爾非常注重產品符合國際與台灣的安規驗證及資安要求。施耐德電機各項產品不僅獲得世界級的完整認證，也在網路資訊安全維護上具備良好根基、得以確保儲能系統安全運行；且系統穩定、容易拓展，儲能系統不僅需24小時運作，更規劃維運10年以上。施耐德電機旗下產品以高穩定性著稱，同時擁有豐富且完整的上下游產品，能協助企業輕鬆維護進而銜接未來的拓展計畫。

鑒於施耐德電機不斷精進產品性能並開發創新應用，未來熙特爾將進一步擴大跟施耐德電機的合作，並著重在強化案場的電力備援、增加物聯網感測器與提升雲端監控能力。目前規劃引進長時間、分散式儲能的大型不斷電系統（UPS）以支援保全、消防等環境監測需求、導入中壓室內真空斷路器（VCB）及空氣斷路器（ACB）等安全可靠的數位配電系統，並結合EcoStruxure工業擴增實境顧問協助工作人員運用行動裝置的擴增實境（AR）快速上手並操作儀器。

照片來源：資料照

《更多CNEWS匯流新聞網報導》

【有影】施耐德電機合作和泰大金 布局智慧能源管理落實企業永續

全球永續發展行動與目標仍有差距 施耐德電機：ESG永續不應淪為競爭

【文章轉載請註明出處】",https://news.owlting.com/articles/311026,"施耐德電機各項產品不僅獲得世界級的完整認證，也在網路資訊安全維護上具備良好根基、得以確保儲能系統安全運行；且系統穩定、容易拓展，儲能系統不僅需24 
小時運作，更...",OwlNews,2023年08月20日
儲能事業成長挹注 雲豹能源上半年營收、淨利、EPS 皆創新高,"Fueling the growth of energy storage business, Yunbao Energy’s revenue, net profit and EPS all hit new highs in the first half of the year","CNEWS匯流新聞網記者胡照鑫／台北報導

雲豹能源（6869）今（11）日召開董事會，決議通過112年第二季合併財務報告及上半年營運成果，來自於儲能事業成長動能強勁，累計上半年合併營收29.59億元，較去年同期成長50.79％，上半年稅後淨利4.11億元，較去年同期成長21倍，上半年每股盈餘3.55元，皆創下歷年同期新高。

雲豹能源總經理趙書閔表示，雲豹能源是國內少數集結創能、儲能、售電「能源三芒星」創新服務模式之全方位服務廠商，在各項事業體多方加持下，將發揮最大綜效，可望為營收表現帶來倍數以上的成長能量。

雲豹能源表示，今年積極衝刺儲能業務，營運表現有目共睹，上半年營收主要為儲能案場工程收入挹注，營收占比達53％。目前已開工案場裝置量超過200MW，預計今年至明年間完工，工程款總金額逾70億元，全案完工後將佔2025年全台併網型儲能市場20%，儲能版圖未來發展可期。

展望今年下半年，雲豹能源指出，除了強攻儲能布局，太陽光電、水處理、售電平台等各項事業體缺一不可。同時落實光電結合儲能戰略計畫，與旗下子公司恩富資本與台普威聯手奪下全台首件儲能系統結合太陽光電設置標案，預計今年完工併網，推進光儲合一系統，將使國內智慧電網發展更具完整性。長期目標著眼開發再生能源發電新樣態，結合本業核心優勢，建構全方位再生能源管理服務，以期持續創造營收大躍進。

照片來源：CNEWS匯流新聞網資料照

《更多CNEWS匯流新聞網報導》

雲豹能源跨界足壇 支持台北海洋雲豹足球隊踢出「豹」發力

熙特爾儲能進駐南軟戰情中心 曝光業界首創AI雲平台

【文章轉載請註明出處】",https://news.owlting.com/articles/432143,CNEWS匯流新聞網記者胡照鑫／台北報導雲豹能源（6869）今（11）日召開董事會，決議通過112年第二季合併財務報告及上半年營運成果，來自於儲能事業成長動能強勁，...,OwlNews,2023年08月11日
【廣編】熙特爾儲能即戰力爆發 獨創AI雲平台進駐南軟戰情中心,[Guide Editor] Xitel energy storage is about to explode its combat power. The original AI cloud platform is stationed in Nansoft War Information Center,"【廣編特輯】

圖、文／熙特爾新能源提供

儲能服務商熙特爾新能源，近年於綠能產業展露頭角！熙特爾甫於7月底正式進駐南港軟體科學園區，對外宣布引領EMS電能管理系統團隊，為企業發展寫下新里程碑。

熙特爾於2017年創立迄今，深耕儲能專業領域，擁有七項專利與發明技術，更以新創經營模式壯大版圖。此次進駐南港軟體科學園區後，首度對外曝光戰情中心「SEETEL雲平台」備受外界驚艷！

此套即時智慧管理系統由熙特爾團隊歷時五年獨家研發完成，結合EMS電能管理系統、維運BIM、以及AI人工智慧等大數據分析，不僅能透過即時數據監控，提供最佳化演算並延長儲能產品週期，更導入儲能案場模擬功能以及AR（擴增實境）技術，有效建立標準作業流程、提升管理品質，為業界首創。

董事長林聖澤表示：「熙特爾團隊秉持創新腳步，打造出具有事前預測、即時反應分析的SEETEL智慧系統，它不僅整合系統大量資訊，將儲能系統持續維持在最佳反應時間，為合作夥伴提供高效率維運量能。而我們透過這套系統為台電執行能力做深入測試，創造出一天同時完成四個儲能案場的監控紀錄，這不僅創下業界儲能維運管理即戰力之最，也為熙特爾樹立全新里程碑。」

熙特爾營運規模持續成長，總經理陳伯勳則表示：「今年是我們大躍進的一年，因應全球儲能需求提升，熙特爾不只選擇入駐了南港軟體科學園區，更預計在今年擴展30%內部人才需求，期許透過更多專業人才加入，打造最完整儲能維運團隊，讓熙特爾未來能成為國內首屈一指儲能一站式服務品牌。」

熙特爾將持續提供最安全、高品質、高效能與穩定之專業儲能規劃與服務，並持續優化EMS運算能力，協助台灣提升儲能產業競爭力，以實踐2050淨零排放與電力自由化長遠目標。

",https://finance.ettoday.net/news/2554277,"儲能服務商熙特爾新能源，近年於綠能產業展露頭角！熙特爾甫於7月底正式進駐南港軟體科學園區，對外宣布引領EMS電能管理系統團隊，為企業發展寫下新里程碑。(熙特爾,儲...",ETtoday財經雲,2023年08月04日
