label,title,title_translated,content,link,snippet,source,date,keywords,topic
positive,玉山銀助攻 中山附醫加速淨零轉型,Yushan Silver assists Zhongshan Affiliated Hospital to accelerate net-zero transformation,"本文共445字

玉山銀行攜手中山醫學大學附設醫院共同推動醫療體系永續發展，11日簽署永續醫療合作備忘錄（MOU），玉山將協助中山附醫淨零轉型，發展永續經營策略，並提供專業、優質的永續諮詢服務，實踐對環境與社會友好的承諾，共同打造臺灣醫療產業永續生態圈。

玉山金控總經理陳茂欽表示，此次與中山附醫簽署合作備忘錄，除透過玉山永續轉型平台結合專業顧問團隊，提供各面向永續發展的支持，包括碳盤查、永續報告書編撰等資源，也協助中山附醫規畫永續發展策略，並分享玉山多年來在ESG實踐的經驗，期望透過自身經驗的說明，深化與中山附醫的夥伴關係，以跨界聯手方式為環境與社會帶來正向影響力。

中山附醫總院長蔡明哲指出，中山附醫相當重視ESG與企業社會責任，透過此次與玉山的合作，未來將積極推動永續發展目標，期望能夠提升醫療照護體系的永續性，創造環境與社會共榮的永續家園，中山附醫也將與玉山一同致力於醫療永續推廣。

目前玉山銀行已提供超過30家指標型醫院多元創新的金融服務，未來將持續攜手志同道合的夥伴，邁向2050淨零排放的目標。",https://money.udn.com/money/story/5636/8029505?from=edn_subcatelist_cate,玉山銀行攜手中山醫學大學附設醫院共同推動醫療體系永續發展，11日簽署永續醫療合作備忘錄（MOU），玉山將協助中山附醫淨零...,經濟日報,2024年06月14日,"['助攻', '淨零', '轉型', '中山']",1
neutral,4月信用卡刷破3500億國泰世華驚險奪王位,"In April, credit cards were spent worth RMB 350 billion, and Cathay Shihua narrowly seized the throne.","信用卡市場一再刷出新高度！金管會今(13)日公布信用卡業務統計，4月整體國銀簽帳金額達3,597億元，再創歷年同期最強，累計今(2024)年1~4月刷卡量為1兆4,072億元，不僅較去(2023)年同期大增1,855億元，更推升史上同期新高紀錄，可預見全年業績將再寫新猷。

4月簽帳金額較3月多出191億餘元，月成長5.61%，與去年4月相比大增超過706億元，年增24.45%。表現亮眼主要有二大原因，第一是清明連假帶動國內旅遊、百貨、電商等消費，都出現顯著上揚。由前五大發卡行來看，包括國泰世華、中國信託、台北富邦、玉山銀行及台新銀行，合計增加金額就多達164億元。

第二是保費的遞延效益，其中國泰世華、玉山銀行3月底都有一批次保費，約計有27億元到4月入帳。金管會認為，國人越來越習慣使用信用卡消費，這趨勢「已經不會回頭了」，譬如去年刷卡繳保費，今年多數會持續使用；另一方面，隨著經濟活絡，國內外旅遊增加，也是促使刷卡金額增長的要素之一。

統計4月海外簽帳金額達499億元，占總刷卡量為13.88%，雙雙打破紀錄，顯示國外旅遊成為信用卡業績重要的挹注來源。金管會指出，過去單月刷卡金額約在2,500億元，隨後成長到3,000億元，而未來3,500億元將成為「月常」。

進一步分析個別銀行表現，最引起關注的是，國泰世華4月簽帳金額598億，為今年首度超越中國信託，奪下睽違已久的單月刷卡王；而中國信託其實表現不俗，也刷出596億元，但仍以2.2億元的些微差距落至第二名。

至於台北富邦、玉山銀行、台新銀行，分別達到476億元、436億元、403億元，依序排名第三至五名。總計前五大銀行4月共刷出2,509億元，單月大幅增加164億元，年增幅7%。

若從累計金額來看，中國信託1~4月簽帳金額2,329億元持續蟬聯業界之冠，國泰世華2,232億元緊追在後，兩強差距有97億之多。台北富邦、玉山銀行、台新銀行則分別為1,907億元、1,732億元、1,572億元。

截至今年4月底，整體市場總流通卡數約5,897萬張，單月小增5.2萬張；總有效卡數約3,812萬張，月增近16萬張。循環信用餘額約1,095億元，未到期分期付款餘額約1,632億元，當月轉銷呆帳金額5.8億餘元，逾期三個月以上帳款占應收帳款餘額比率平均上升至0.28%。

2024年4月信用卡簽帳金額TOP 10，如下表：

原文出處

延伸閱讀",https://tw.news.yahoo.com/4%E6%9C%88%E4%BF%A1%E7%94%A8%E5%8D%A1%E5%88%B7%E7%A0%B43500%E5%84%84-%E5%9C%8B%E6%B3%B0%E4%B8%96%E8%8F%AF%E9%A9%9A%E9%9A%AA%E5%A5%AA%E7%8E%8B%E4%BD%8D-202405001.html,"信用卡市場一再刷出新高度！金管會今(13)日公布信用卡業務統計，4月整體國銀簽帳金額達3,597億元，再創歷年同期最強，累計今(2024)年1~4月刷卡量為1兆4,072億元，不僅...",Yahoo新聞,2024年06月14日,"['信用卡', '刷破', '國泰', '世華']",1
positive,玉山金股東滿意盈餘配發達99% 笑稱：旅遊從南港變香港,Yushan Gold shareholders are 99% satisfied with the profit allocation and joked: Tourism has changed from Nangang to Hong Kong,,https://www.taiwanhot.net/news/1071407/%E7%8E%89%E5%B1%B1%E9%87%91%E8%82%A1%E6%9D%B1%E6%BB%BF%E6%84%8F%E7%9B%88%E9%A4%98%E9%85%8D%E7%99%BC%E9%81%9499%25+%E7%AC%91%E7%A8%B1%EF%BC%9A%E6%97%85%E9%81%8A%E5%BE%9E%E5%8D%97%E6%B8%AF%E8%AE%8A%E9%A6%99%E6%B8%AF,"目前擁有約61 萬名股東的玉山金控（2884）於今（14）日召開股東會，由董事長黃男州主持。會中通過派發現金股利1.2 元、股票股利0.2 
元，盈餘配發率達99%。",台灣好新聞,2024年06月14日,"['南港', '香港', '股東', '旅遊']",1
positive,〈玉山金股東會〉去年海外分行獲利居同業第二小股東滿意股利近全額發放,"<Yushan Gold Shareholders Meeting> Last year, overseas branches ranked second among peers in terms of profit. Small shareholders were satisfied with the dividend being paid out in full.","玉山金控（2884-TW）今（14）日召開股東會，由玉山金控董事長黃男州主持。出席股東有人送花表態支持，也有人發言嗆聲，讓經營團隊心情如洗三溫暖。針對緬甸仰光分行及柬埔寨子行營運，團隊說明，去年玉山的海外分行所有獲利，在同業排名第二，在平均水準之上。

目前擁有 61 萬名股東的玉山金今日通過派發現金股利 1.2 元、股票股利 0.2 元，盈餘配發率達 99%。

今日出席股東，有股東向黃男州送花送暖，表達感謝，並發言鼓勵經營團隊，對分派股利感到滿意，指往年的股利他只能在國內「遊南港、南方澳」，但現在的股利水準，已能夠出國「遊香港、澳門」，幽默的比喻讓會場氣氛輕鬆不少。

同時也有股東發言嗆聲，質疑董事會和內控資訊不詳實，直到發言時間結束仍霸著麥克風不放，黃男州始終微笑以對，直對股東道謝，並耐心解釋說明，平撫股東情緒。

另有股東發言關心緬甸仰光分行及柬埔寨子行的營運，玉山銀行總經理林隆政回應，仰光分行是緬甸第一家台資銀行的分行，2021 年 2 月當地有軍事政變，同時 間又有 COVID 疫情的內外在環境衝擊，許多台資銀行受到影響，但仰光分行的運作相對正常，對當地台商的資助非常大，甚至挹注當地的非台資企業，緬甸央行也對玉山高度肯定，去年、前年的獲利都很不錯成績，粗估超過新台幣 2 億元。

林隆政說，柬埔寨 UCB 子行因受到「一帶一路」、房地產不景氣波及，導致去年台資銀行在當地不良產權上升許多，但玉山在當地的不良產權在同業是最低的，且信用卡發卡量也是第一，去年獲利有到台幣 3,000 萬元以上，台資銀行在 10 個國家有 31 個營運單位，玉山的海外分行所有獲利，在同業排名第二。

更多鉅亨報導

•玉山金擬配現金股利1.2元、股票0.2元 配發率達99%

•Q1淨手收創史上單季新高 財管業務成長強勁同創高",https://tw.stock.yahoo.com/news/%E7%8E%89%E5%B1%B1%E9%87%91%E8%82%A1%E6%9D%B1%E6%9C%83-%E5%8E%BB%E5%B9%B4%E6%B5%B7%E5%A4%96%E5%88%86%E8%A1%8C%E7%8D%B2%E5%88%A9%E5%B1%85%E5%90%8C%E6%A5%AD%E7%AC%AC%E4%BA%8C-%E5%B0%8F%E8%82%A1%E6%9D%B1%E6%BB%BF%E6%84%8F%E8%82%A1%E5%88%A9%E8%BF%91%E5%85%A8%E9%A1%8D%E7%99%BC%E6%94%BE-052123134.html,玉山金控（2884-TW）今（14）日召開股東會，由玉山金控董事長黃男州主持。出席股東有人送花表態支持，也有人發言嗆聲，讓經營團隊心情如洗三溫暖。,奇摩股市,2024年06月14日,"['股東會', '股利', '全額', '股東']",1
positive,玉山金九度躋身前段班,Yushan Jinjiudu ranks among the top class,"本文共778字

臺灣證券交易所及櫃檯買賣中心昨（13）日共同舉辦2023年度「公司治理評鑑」頒獎典禮，玉山金控（2884）再次榮獲「公司治理評鑑」前5%佳績，也是第九度名列前5%，此長期評鑑成績領先金融同業，更是肯定玉山長期致力提升公司治理制度的決心與成效。

2023年度公司治理評鑑以四大構面綜合評核企業整體的公司治理，分別為「維護股東權益及平等對待股東」、「強化董事會結構與運作」、「提升資訊透明度」及「推動永續發展」，總計共有80項評鑑指標。

本次計有1,706家上市、櫃公司接受主管機關專業嚴謹評鑑，透過政府政策引導以及業者間互相學習，有助於企業良性競爭，並強化台灣產業及政府在國際上的競爭力。

玉山長期以來積極鼓勵股東參與公司治理，本著最高誠信經營原則，持續以保障股東權益及追求永續發展為目標。

董事會依職權及功能分設六個功能性委員會，分別負責重要議案及經濟、環境、社會、風險等重要議題；董事們依其專長參與公司特定或重大議題討論，給予經營團隊專業指導，強化董事會職能。

為深耕數位金融，玉山領先金融同業於2023年6月設置科技諮詢委員會，結合董事、獨立董事及外部專家學者共同追求卓越永續經營。相關永續發展與公司治理的領先作為於近期獲得國際機構《亞洲公司治理雜誌(Corporate Governance Asia)》「亞洲最佳CEO」、「最佳CSR公司」及「最佳投資人關係企業」等五項大獎肯定，彰顯玉山長期善盡企業社會責任，接軌國際公司治理實務，為股東及社會創造價值。

玉山秉持公開透明原則，建立豐富多元溝通管道及通報機制，確保各項財務及非財務資訊揭露品質。懷抱「成為世界一等的企業公民」的願景，以穩健正派的用心經營、清新專業的品牌形象、顧客滿意的卓越服務，跨越「綜合績效、企業社會責任、永續發展」三座大山，期望成為員工、顧客以及台灣這塊土地的最愛，一起邁向永續共好的未來。",https://money.udn.com/money/story/5613/8029758?from=edn_subcatelist_cate,臺灣證券交易所及櫃檯買賣中心昨（13）日共同舉辦2023年度「公司治理評鑑」頒獎典禮，玉山金控再次榮獲「公司治理評鑑」前...,經濟日報,2024年06月14日,"['九度', '躋身', '前段']",1
neutral,JR東日本創造旅遊玉山卡享折扣優惠,Discounts with the JR East Creative Travel Tamayama Card,"2024/1/1~2024/12/31持玉山銀行信用卡購買創造旅行社指定商品即可獲得刷卡金回饋或刷卡滿額禮。

指定商品一

日本三大豪華列車行程：TRAIN SUITE 四季島、TWILIGHT EXPRESS 瑞風、七星列車，以玉山銀行信用卡刷付本人或本人及同行者的行程訂金或尾款，可享刷卡金額2%刷卡金回饋。

指定商品二

JR東日本鐵路周遊券(東北地區)、JR東日本鐵路周遊券(長野·新潟地區)：以玉山銀行信用卡刷付本人及同行者的JR東日本鐵路周遊券全額費用，可享每位大人100元、小孩50元刷卡金回饋。

指定商品三

由創造出團之海外團體行程：以玉山銀行信用卡刷付本人及同行者全額費用，可享每位成人1,000元刷卡金回饋。

指定商品四

以玉山銀行信用卡單筆消費滿1萬元送折疊購物袋(限量150份)，單筆消費滿3萬元送日式雙層便當盒(限量300份)。

>>線上申辦玉山信用卡

>>線上開立玉山數位帳戶

◎注意事項：

1.請於報名前主動告知業務人員使用玉山卡優惠。

2.行程之詳細規範依創造旅行社官網說明為準。

3.活動限以玉山信用卡刷付活動指定商品，始符合回饋資格。

4.贈品由旅行社發送，將於確認出團後提供，每項贈品每人限兌換一份。

5.現金回饋皆以刷卡金方式回饋至帳單。回饋時間為付款後次次月。例如2023/9月完成信用卡刷付，將於2023/11月底前獲得刷卡金。

◎延伸閱讀

▶▶王道銀行》新戶新臺幣高利活儲年利率6.66%，卡優獨家新戶最高享400元

▶▶台新信用卡》3張推薦必辦卡(@GoGo、FlyGo、玫瑰Giving卡)新戶首刷贈800元

▶▶玉山銀行4張「夯卡」信用卡懶人包(家樂福/U Bear/Pi拍錢包卡/熊本熊卡)，新戶首刷好禮任你選

▶▶懶人包》2024 刷保費15張好用信用卡推薦(分期+回饋)！

▶▶2024信用卡首刷禮懶人包｜各家信用卡統整，加碼卡優獨家優惠！



☆謹慎理財，信用至上☆ 本文中之活動內容以該銀行、公司公告為準

本文中之各註冊商標、公司名稱，皆屬該公司所有

【2024-06-13 卡優新聞網】https://www.cardu.com.tw",https://www.cardu.com.tw/message/detail.php?52141,2024/1/1~2024/12/31持玉山銀行信用卡購買創造旅行社指定商品即可獲得刷卡金回饋或刷卡滿額禮。...,卡優新聞網,2024年06月13日,"['jr', '日本', '創造', '旅遊']",1
positive,東南旅遊國內外專屬優惠玉山卡最高現折2000元,"Southeast Travel’s domestic and international exclusive discounts for Yushan Card are up to 2,000 yuan in cash discounts","2024/1/1~2024/12/31持玉山銀行信用卡報名東南旅遊指定行程，最高現折2,000元。

【歐洲、中亞非、泰國及越南行程優惠】

★ 指定歐洲行程，刷玉山卡享現折2,000元優惠。

★ 指定中亞非行程，刷玉山卡享現折1,000元優惠。

★ 指定泰國、越南行程，刷玉山卡享現折1,000元。

※須使用專屬折扣碼，活動之詳細規範依旅行社官網說明為準。

※請於報名前主動告知業務人員使用玉山卡優惠。

【一生必遊環島夢】

適用卡別：玉山全卡友

刷玉山卡購買指定環島巴士行程享每人現折500元。

※須使用專屬折扣碼，活動之詳細規範依旅行社官網說明為準。

※請於報名前主動告知業務人員使用玉山卡優惠。

【國民旅遊卡優惠】

★高鐵假期回饋10%

玉山國旅卡，每筆訂單滿額5,000元享現折500元優惠。

★和運假期回饋8%

玉山國旅卡，每筆訂單滿額6,000元享現折500元優惠。

★再享國旅卡最高1.2%卡片現金回饋

※須使用專屬折扣碼，活動之詳細規範依旅行社官網說明為準。

※請於報名前主動告知業務人員使用玉山卡優惠。

了解更多

>>線上申辦玉山信用卡

>>線上開立玉山數位帳戶

◎注意事項：

1.優惠活動須使用專屬折扣碼，活動之詳細規範依旅行社官網說明為準。

2.請於報名前主動告知業務人員使用玉山卡優惠。

3.各活動優惠與其他優惠不併用。

◎延伸閱讀

▶▶王道銀行》新戶新臺幣高利活儲年利率6.66%，卡優獨家新戶最高享400元

▶▶台新信用卡》3張推薦必辦卡(@GoGo、FlyGo、玫瑰Giving卡)新戶首刷贈800元

▶▶鎖定低匯！萬事達卡雙幣卡交易回饋及換匯減碼優惠整理表！

▶▶分享文》玉山熊本熊卡超可愛！日本消費最高9.5%優惠秘技看這篇

▶▶懶人包》想要行李箱看這篇！2024信用卡首刷禮送「行李箱」整理



☆謹慎理財，信用至上☆ 本文中之活動內容以該銀行、公司公告為準

本文中之各註冊商標、公司名稱，皆屬該公司所有

【2024-06-13 卡優新聞網】https://www.cardu.com.tw",https://www.cardu.com.tw/message/detail.php?52135,"2024/1/1~2024/12/31持玉山銀行信用卡報名東南旅遊指定行程，最高現折2,000元。 【歐洲、中亞非、泰國及越南行程優惠】. ☆ 
指定歐洲行程，刷玉山卡享現折2,000元優惠...",卡優新聞網,2024年06月13日,"['優惠', '最高', '旅遊', '國內外']",1
neutral,TESLA車主玉山卡禮遇修護分期0利率/充電5%回饋,TESLA car owners Yushan Card benefits repair installments with 0 interest rate/5% recharge on recharge,"2024/4/1~2024/6/30持玉山銀行信用卡於TESLA指定修護通路消費單筆滿萬享6期0利率；使用玉山數位e卡充電最高享5%現金回饋。

1.於Tesla服務中心、Tesla授權鈑噴中心、Tesla官網及APP消費，單筆滿萬享6期0利率 (含Tesla全車系列完美防護3M隔熱紙方案)，活動分期須登錄。

2.使用玉山數位e卡充電最高享5%現金回饋。

※指定綠色消費最高5%現金回饋，包含基本回饋0.5%、加碼再享0.5%及指定綠色消費加碼4%。指定綠色消費加碼4%回饋採正附卡合併計算，歸戶每期回饋上限250元。

>>線上申辦玉山信用卡

>>線上開立玉山數位帳戶

◎注意事項：

1.分期服務適用特斯拉加裝品例如隔熱紙等，以特斯拉現場可供刷卡產品及服務為準。

2.登錄後符合分期活動資格者，不再享有信用卡基本回饋。

3.分期適用於活動期間交易並須於信用卡關帳前3日完成分期活動登錄，完成登錄者其歸戶內符合活動之特斯拉類別交易將由系統自動分期，不含退貨或因簽帳爭議而暫停付款之款項。

4.使用第三方支付 (如Pi錢包、街口、LinePay、歐付寶…等)之交易皆不適用活動。

◎延伸閱讀

▶▶王道銀行》最強應援Captain！李多慧卡面登場，卡優獨家新戶最高享400元

▶▶國泰世華CUBE卡》慶生月享10%、4大權益3%回饋無上限，新戶贈500小樹點(信用卡)

▶▶分享文》玉山熊本熊卡超可愛！日本消費最高9.5%優惠秘技看這篇

▶▶玉山銀行4張「夯卡」信用卡懶人包(家樂福/U Bear/Pi拍錢包卡/熊本熊卡)，新戶首刷好禮任你選

▶▶懶人包》2024舊戶辦卡也有首刷禮大集合



☆謹慎理財，信用至上☆ 本文中之活動內容以該銀行、公司公告為準

本文中之各註冊商標、公司名稱，皆屬該公司所有

【2024-06-12 卡優新聞網】https://www.cardu.com.tw",https://www.cardu.com.tw/message/detail.php?52143,2024/4/1~2024/6/30持玉山銀行信用卡於TESLA指定修護通路消費單筆滿萬享6期0利率；使用玉山數位e卡充電最高享5%現金回饋。...,卡優新聞網,2024年06月12日,"['利率', '充電', '回饋', '分期']",2
positive,兩「山」聯手！中山附醫與玉山金控正式簽署雙方永續合作MOU,"Two ""mountains"" join forces! Zhongshan Affiliated Hospital and Yushan Financial Holdings officially signed an MOU for sustainable cooperation between the two parties.",,https://www.peopo.org/news/688895,永續發展ESG為全球重要趨勢，2050淨零轉型是臺灣重要目標。繼今年2月中山醫學大學及附設醫院與永續能源基金會(TAISE)簽署「醫院永續發展倡議書」後，中山醫學大學附設...,PeoPo 公民新聞,2024年06月12日,"['聯手', '中山', '簽署', '雙方']",1
positive,玉山金前5月獲利破百億創歷年同期最高EPS 0.67元,"Yushan Jinqian’s profit in May exceeded 10 billion, hitting the highest EPS of 0.67 yuan in the same period in previous years","財訊快報 ·

【財訊快報／陳孟朔】即將出爐的通膨報告可能會影響美國聯準會(Fed)首次降息的時機，加上報告與Fed結束例會重疊，東京匯市週三早盤匯市交投氣氛謹慎的同時，受到歐盟政治不確定性的打壓，歐元和日圓皆連四跌，前者退回六週低位，英鎊翻空小貶。美國5月非農就業人口大增遠超預期，薪資年比增長也重新加速，這引發人們擔憂在經濟增長保持強勁的同時，通膨可能會維持高位，從而使Fed在未來幾個月內降息的可能性降低。交易員已經降低對美國9月首次降息可能性的預期，目前預計降息可能性約為50%。美國勞工部將於週三公布5月消費者物價指數(CPI)，此時距離Fed結束最新為期兩天的政策會議只有幾個小時。道富全球市場資深宏觀策略師Noel Dixon說，「我確實認為Fed官員們會將CPI數據考慮在內。美元可能會出現一些短期疲軟，特別是考慮到之前歐元/美元的大行情。一旦塵埃落定，我認為我們將回到貨幣政策相對分化的主線，這將在今年下半年繼續支持美元。」市場普遍預估Fed將連續第七次按兵不動，但Fed決策者將更新被廣泛稱為「點陣圖」的經濟預測。如果通膨仍符合預期，Dixon預計點陣圖將顯示決策者的預期中值為今年有望降息兩次，",https://tw.stock.yahoo.com/news/%E7%8E%89%E5%B1%B1%E9%87%91%E5%89%8D5%E6%9C%88%E7%8D%B2%E5%88%A9%E7%A0%B4%E7%99%BE%E5%84%84%E5%89%B5%E6%AD%B7%E5%B9%B4%E5%90%8C%E6%9C%9F%E6%9C%80%E9%AB%98-eps-0-67%E5%85%83-092106377.html,"玉山金控今(7) 日公布2024 年5 月自結，單月稅後純益25.01 億元，月增42.75%，年增1.02 倍，前5 月累計稅後純益105.03 
億元.",奇摩股市,2024年06月07日,"['獲利', '金前', '歷年']",2
