title,title_translated,content,link,snippet,source,date
電競世界盃開打 PChome 24h 購物站電競周邊買氣旺,The E-Sports World Cup is about to begin. PChome’s 24h shopping site for e-Sports peripherals is booming.,"本文共659字

近期首屆電競世界盃正如火如荼開打，備受全球玩家矚目的《英雄聯盟》總決賽誕生冠軍隊伍T1，炒熱今年夏天電競話題氛圍，也同步帶動網路家庭（8044）旗下PChome 24h購物站上電競周邊產品買氣。

PChome 24h購物指出，「電競世界盃」活動專區自7月4日開跑以來，截至7月7日．僅短短四天內，「電競椅」的買氣對比前一周同期成長近5成，熱銷品牌如「Cooler Master」的業績飆升近1.5倍，另外「Corsair」的買氣也成長超過7成。

PChome 24h購物進一步分析站上電競椅的銷售狀況，熱銷價格帶約落在6,500元至7,500元，以電競大牌、附頭枕設計、具備4D可調整扶手、椅背高度可調至平躺的多功能人體工學款為熱銷主力。除了電競椅之外，「電競耳機麥克風」於7月4日至7月7日期間的買氣相較前一周同期增加超過1成，且熱銷品牌TOP 3皆有雙位數的銷量成長，依序為「Razer」、「Turtle Beach」、「HyperX」，熱賣品的價格帶落在3,000元至4,000元，並觀察到消費者偏好入手具備無線、高電力續航、音質清晰等特點的款式。PChome 24h購物樂觀預估整體電競周邊產品的買氣，將隨接下來電競世界盃的賽程持續增溫。

看準暑假電競電玩娛樂熱潮帶動相關商機，PChome 24h購物表示，豪祭四大電競好康優惠不手軟，3C電競指定品最高現折2,024元；買AI筆電登記送羅技LIFT人體工學垂直滑鼠；指定筆電滿額登記送Belkin Type-C 3孔PD旅充；PS5主機＋遊戲片組合一次入手玩過癮。",https://money.udn.com/money/story/5612/8083677,"近期首屆電競世界盃正如火如荼開打，備受全球玩家矚目的《英雄聯盟》總決賽誕生冠軍隊伍T1，炒熱今年夏天電競話題氛圍，也同步帶動網路家庭（8044）旗下PChome 
24h購物...",經濟日報,2024年07月09日
PChome才撇「近期倒閉」謠言、又傳2部門裁員！網家怎麼說？300字聲明一次看,"PChome just put aside the ""recent bankruptcy"" rumors and reported layoffs in two departments! What do netizens say? A 300-word statement read at a time","由《數位時代》與數位發展部合作，攜手打造全台最大 AI 產業生態系 X SaaS 創新商業應用大展「2024 AI TAIWAN 未來商務展」，將於 7 月 25 日（四）於臺北圓山花博爭艷館盛大開展，在為期三天的展期，展現未來 AI 科技的推進浪潮之下，各種 SaaS 相關產業的技術與商業革新，以及 AI 產業部署與創新應用。

今年「未來商務展」特別規劃了四大策展定錨 ，以及六大活動規劃，致力協助企業面對科技及時代趨勢，掌握產業轉型解方，對接創新資源，共同打造靈活、不斷融合碰撞的商業場域。

立即報名觀展，即有機會獲得全家 Let’s Café 單品冰拿鐵（中）及星宇航空洛杉磯來回機票！

AI 白皮書首次發行，提供最務實的 AI 落地應用實例以及產業關鍵洞察

AI 發展一日千里，如何為百工百業創新賦能，加速產業落地、應用的深化與遍地開花，將成為企業發展競爭力的關鍵契機。

圖／ AI TAIWAN 未來商務展

AI TAIWAN 2024 FUTURE COMMERCE 與《數位時代》 8月號雜誌特別企畫團隊合作，從 「AI 落地佈署」切入，從「組織」、「人才」、「技術」、「流程」跟「工作流」五大面向切入，聚焦企業實際營運，透過已導入企業之調查、產業權威與企業的實例分享，結合公司的規模、發展階段、對應在人工智慧的解決方案、技術導入選擇與面向上有進一步的了解，並做為企業評估AI未來發展與布局上的參考、必看的關鍵指南，一同剖析在 AI 時代下的市場格局，解碼 AI 轉型關鍵挑戰。

三天不間斷精彩論壇、案例拆解、工作坊，趨勢到應用一次掌握

2024 AI TAIWAN 未來商務展邀請全球商務趨勢大師和最具影響力的業界領袖齊聚，聚焦「AI 產業生態系、 AI 新商業應用、無界新零售、Martech行銷、Web3 產業」等議題，共同發掘新商業趨勢，抓住新時代契機，開啟未來商務無限可能 !

講者陣容包含Taboola全美國研發部副總裁俞寧寧、台灣大哥大個人事業用戶群商務長林東閔、志祺七七、簡訊設計共同創辦人張志祺、聯發科人工智慧暨數據工程處協理葉家順等。

此外，在企業共創論壇以及未來財務長論壇中，更邀請業界領袖精英，進行案例拆解、實戰對談、技術導入實作；也策劃「AI x 短影音工作坊」，攜手短影音專家：錨點影音，引領參與者利用 AI 工具，高效產製新時代的影音素材，帶給觀展者更多「乾貨」，拉近人們與新技術、新商業導入之距離。

圖／ AI TAIWAN 未來商務展

十大關鍵技術解方展區，揭示各種前沿技術如何落地

今年，2024 AI TAIWAN 未來商務展打造全台最完整解決方案展示，從最新關鍵技術切入，包含 Gen AI 模型部署、AI 智慧設備、雲端與資安、行銷科技、金融科技、未來管理應用、永續與淨零減碳、Web 3.0 與區塊鏈、系統整合以及創新與新商業十大展區，超過百家參展廠商，各自帶來最前瞻的解決方案。

像是在系統整合展區，有致力於用 AI 解決客服中心繁重的通話工作的山穎科技；在創新與新商業區，則有全台唯一分裂式加盟衛星倉儲 JENJAN，為中小電商設計的一條龍服務系統，涵蓋智能倉儲解決方案、高效電商出貨服務、網紅媒合帶貨；Web 3.0 與區塊鏈內有像是提供一站式 NFT 發行服務的 MaiCoin、全台最大加密貨幣實體交易店面 CoinWorld 等，皆致力於讓區塊鏈技術更落地在人們的日常。

在行銷科技、金融科技、AI 智慧設備和模型部署的展區，齊聚多家搭載 AI 技術的解決方案提供商，像是台灣最早提供 robo-advisor 服務，以自有的AI預測模型，實現全自動的投資演算法的 TradingValley；專精於AI語意分析的行銷科技解方意藍資訊。

豐富的展區，帶領觀展人預見 AI 技術透過解決方案落地實踐在商業領域的 100 種方法；各種軟硬體的最新解方，三天展期從內而外，協助企業找到最適切的合作供應商。

立即報名觀展，即有機會獲得全家 Let’s Café 單品冰拿鐵（中）及星宇航空洛杉磯來回機票！

七大新商業主題體驗，看 AI 與 Web 3 如何走入生活

為詮釋以及帶領觀展者體驗最夯的新商業應用，未來商務展於現場規劃多個主題體驗館，包含 AI 未來館、AI 生活館、WEB3+調劑室、行銷新視界、學習新視野、永續製造所、未來產業鍊結，讓觀展者能夠實際走訪解決方案落地應用、具體實踐的場域，創造身歷其境的觀展經驗！

圖／ AI TAIWAN 未來商務展

像是在 AI 未來館中，就有五大展區，展示 AI 落地在娛樂、商務、資安、製造以及零售等不同場域的應用；在 AI 生活館中則是呈現更多與人們日常息息相關的 AI 酷品，例如Yo-Kai Express 智能拉麵機、Logitech AI 智能會議視訊設備等。

WEB3+調劑室則以「生活中的WEB3」及「Web2的痛，Web3來解」兩大方向策展，呈現在金融、支付、會員管理等面向上，如何將Web3複雜技術、概念，轉化為貼近生活的實際應用，以及有哪些企業轉型的關鍵解方，與觀展者一同解鎖Web3新體驗。

打造 AI 虛擬名片，解方商機、人才媒合更容易！

在展會內容方面，FC 未來商務連續三年舉辦「Solution Guide 創新解方發表會」，邀請產業專家趨勢解析，以及解決方案快速演示，幫助企業在有限時間內解決轉型難題，找到最適切的解方供應商！此外，透過 2024 未來產業商機媒合會以及台美人才職涯專館，讓關鍵企業資源與創新解方提供者相遇，同時整合跨境求職平台 X 專業職涯服務，為未來產業注入國際專才。

圖／ AI TAIWAN 未來商務展

今年，策展團隊更與 LINE 、當若科技藝術共同合作結合 LINE OA、Beacon、AI 串接線上線下與現場數據，並率先導入數位分身的概念，報名後即可生成專屬AI未來人，從展前開始到展中，透過AI 演算機制與觀展數據的全面整合，,打造展會行銷與數據應用新高度。

從觀展者報名展會起，就持續在線上與線下與與會者互動累積標籤，於入場時替觀展者打造 AI 虛擬名片，該名片也會根據觀展者的觀展足跡，形成個人化的內容，在《數位時代》 25 週年的 AI 夏日派對中，觀展者便可以用這張「虛擬名片」，找到和自己適配度最高的人，創造更多交流機會。

隨著科技迅猛發展，企業必須把握時代脈動，迎接未來挑戰。2024 AI TAIWAN 未來商務展，不僅是一場展示最前沿技術和創新應用的盛會，更是一個聚集行業精英，共同探索未來商務可能性的絕佳平台。

在這裡，無論是從事科技、行銷、金融，還是希望了解Web3、永續發展等最新趨勢，皆能找到啟發與解決方案。來自各地的業界翹楚和創新者將齊聚一堂，共同創造無限商機與合作契機。7月25日至27日，讓我們相約臺北圓山花博爭艷館，一同見證AI時代的到來，開啟嶄新的商務未來！

圖／ AI TAIWAN 未來商務展",https://www.bnext.com.tw/article/79634/pchome-layoffs-rumor,網路家庭PChome於7月3日深夜傳出裁員消息，有PChome匿名員工向媒體爆料內部信，指出設計團隊即將縮編，採購單位也將裁撤、全員轉為企劃人員，而由於工作內容分配不均，...,數位時代,2024年07月04日
網路家庭否認裁員 指組織工作重新劃分影響約十人,"Internet Family denies layoffs, says organizational work redistribution affects about ten people","本文共408字

有媒體報導，接獲員工爆料，宣稱不裁員的網路家庭（8044）近期裁撤採購單位，且4日要公布一波裁員名單。網路家庭未否認調整採購單位的說法，但強調是因應廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內，且會按照員工意願調整工作職務。

網路家庭董事長詹宏志6月19日才在股東會上表示，公司仍在擴張、不裁員，不過員工3日向媒體投訴，指網路家庭要裁撤採購單位，全員轉企劃部門，設計單位也將於4日公布裁員名單，有一系列操作導致爆發離職潮，貨物都因此卡在倉庫。

網路家庭指出，營運一切正常，不斷地積極提升營運效能，推動工作流程優化、強化組織績效。面對大環境挑戰，進行動態組織架構調整與持續性工作職務優化屬企業營運常態。

網路家庭指出，所謂裁撤採購單位，全員轉企劃部門，是因應廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內．近期將會依員工意願進行包括職務的調整、安排轉調至其他單位等。",https://money.udn.com/money/story/5612/8072217,有媒體報導，接獲員工爆料，宣稱不裁員的網路家庭（8044）近期裁撤採購單位，且4日要公布一波裁員名單。網路家庭未否認調整...,經濟日報,2024年07月03日
PChome被爆裁員！貨物卡倉庫 網家「261字聲明」澄清：營運一切正常,"PChome was exposed to layoffs! Cargo card warehouse netizen's ""261-word statement"" clarifies: Operations are normal","記者王翊綺／台北報導

PChome被爆裁員消息，公司發布聲明強調營運一切正常。（圖／資料畫面）

網家（8044）PChome今（3）日傳出裁員消息，有匿名同仁向《三立新聞網》爆料內部信，說設計團隊即將縮編，明就會公布裁員名單，並指採購單位也將裁撤，全員轉為企劃人員，並指公司因工作內容分配不均，爆發離職潮，主管看在眼裡但為求自保，不敢多言，貨物則卡在倉庫裡。對此，PChome稍晚回應，強調網家營運一切正常。

網家（8044）6月19日舉行股東會，董事長詹宏志信誓旦旦說「PChome要繼續擴張規模，不會裁員」，沒想到時隔半個月就傳出裁員消息，匿名同仁表示收到內部信，指因此公司經營狀況，設計團隊即將縮編，明日會公布裁員名單，採購單位也將全員轉為企劃人員。

對此，PChome發布聲明，強調網家營運一切正常，面對大環境挑戰，進行動態組織架構調整與持續性地工作職務優化本屬企業營運常態，之所以裁撤採購單位，全員轉企劃部門，則是因為廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內．近期將會依員工意願進行包括職務的調整、安排轉調至其他單位等。

【PChome網路家庭聲明全文如下】

針對媒體報導事件，本公司特此鄭重澄清，所稱內容與事實不符。

網路家庭營運一切正常，不斷地積極提升營運效能，推動工作流程優化、強化組織績效。面對大環境挑戰，進行動態組織架構調整與持續性地工作職務優化本屬企業營運常態。如報導中指出要裁撤採購單位，全員轉企劃部門，實為因應廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內．近期將會依員工意願進行包括職務的調整、安排轉調至其他單位等。

未來，我們將持續與員工攜手並進，為消費者提供更好的服務。

本公司特此鄭重澄清，網路家庭營運一切正常，再次感謝媒體朋友的關心。

更多三立新聞網報導

獨家／才說不裁員！PChome內部信秒打臉「2單位遭殃」 公司1舉爆離職潮

日圓甜甜價「買到滿手血」 到底怎麼買？國泰金總經理曝關鍵

有錢人見「1數據」急買美債ETF！比重太驚人 配息率打趴金融股

退休準備多少錢才夠？調查揭曉：1403萬 比疫情前暴增300萬",https://tw.news.yahoo.com/pchome%E8%A2%AB%E7%88%86%E8%A3%81%E5%93%A1-%E8%B2%A8%E7%89%A9%E5%8D%A1%E5%80%89%E5%BA%AB-%E7%B6%B2%E5%AE%B6-261%E5%AD%97%E8%81%B2%E6%98%8E-%E6%BE%84%E6%B8%85-145517325.html,記者王翊綺／台北報導網家（8044）PChome今（3）日傳出裁員消息，有匿名同仁向《三立新聞網》爆料內部信，說設計團隊即將縮編，明就會公布裁員名單，並指採購單位也將...,Yahoo新聞,2024年07月03日
獨家／才說不裁員！PChome內部信秒打臉「2單位遭殃」 公司1舉爆離職潮,"Exclusive/I just said there will be no layoffs! PChome's internal letter slapped ""two units in the face"" instantly, and the company experienced a wave of resignations in one fell swoop","記者王翊綺／台北報導

詹宏志半個月前才在股東會中強調「不裁員」，豈料時隔半個月，就有內部員工收到內部信，爆料有2單位遭殃。（圖／資料畫面）

才說不裁員！網家（8044）6月19日舉行股東會，董事長詹宏志信誓旦旦說「PChome要繼續擴張規模，不會裁員」，豈料時隔半個月，《三立新聞網》就接獲爆料指出，PChome要裁撤採購單位，全員轉企劃部門，而設計單位也將於明（4）日公布裁員名單，近期公司更是有一系列操作導致爆發離職潮，貨物因此卡在倉庫。

PChome匿名同仁接獲內部信，內容指由於公司經營狀況問題，設計團隊即將縮編，明日就會公布裁員名單；而採購單位也將裁撤，全員轉為企劃人員。他憤憤直言：「產品經理遇缺不補，公司又從外面找來實體跟momo來的空降，錢多事少，還到處說自己薪資高，導致大量離職…倉庫也因此卡貨！」

他說，原本好不容易熬上來的同仁薪資很少，本來3個人的工作，全部丟給同1個人來做，而工作內容分配不均的問題，主管全都知道，卻因怕替同事陳情，導致自己也被裁員，所以不敢多說什麼，只能自保求安全。

事實上，PChome今年以來破產、倒閉及出售傳聞不斷，詹宏志6月19日在股東會中才強調，相較競爭對手有較佳的優勢及條件，網家只能在店商低毛利的環境下求生存，但對未來看法樂觀，「目前沒有任何裁員計畫」，豈料才經過半個月，內部就傳出裁員消息，實際經營狀況令人好奇。

針對此項爆料，PChome回應，「針對媒體報導事件，本公司特此鄭重澄清，所稱內容與事實不符。」網路家庭營運一切正常，不斷地積極提升營運效能，推動工作流程優化、強化組織績效。面對大環境挑戰，進行動態組織架構調整與持續性地工作職務優化本屬企業營運常態。

PChome 表示，如報導中指出要裁撤採購單位，全員轉企劃部門，實為因應廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內．近期將會依員工意願進行包括職務的調整、安排轉調至其他單位等。

PChome並強調，未來將持續與員工攜手並進，為消費者提供更好的服務。「本公司特此鄭重澄清，網路家庭營運一切正常。」

更多三立新聞網報導

日圓甜甜價「買到滿手血」 到底怎麼買？國泰金總經理曝關鍵

有錢人見「1數據」急買美債ETF！比重太驚人 配息率打趴金融股

AI耗電量遽增！國泰金李長庚「儲能是關鍵」：應重新檢測綠電夠不夠

退休準備多少錢才夠？調查揭曉：1403萬 比疫情前暴增300萬",https://tw.news.yahoo.com/%E7%8D%A8%E5%AE%B6-%E6%89%8D%E8%AA%AA%E4%B8%8D%E8%A3%81%E5%93%A1-pchome%E5%85%A7%E9%83%A8%E4%BF%A1%E7%A7%92%E6%89%93%E8%87%89-2%E5%96%AE%E4%BD%8D%E9%81%AD%E6%AE%83-%E5%85%AC%E5%8F%B81%E8%88%89%E7%88%86%E9%9B%A2%E8%81%B7%E6%BD%AE-122522325.html,記者王翊綺／台北報導才說不裁員！網家（8044）6月19日舉行股東會，董事長詹宏志信誓旦旦說「PChome要繼續擴張規模，不會裁員」，豈料時隔半個月，《三立新聞網》就接...,Yahoo新聞,2024年07月03日
6月才說不裁員！PChome內部信曝「2單位」下刀 員工爆料：已有離職潮,"It was only in June that we said there would be no layoffs! An internal letter from PChome revealed that ""two units"" were under attack. Employees revealed that there has been a wave of resignations.","PChome董事長詹宏志。（圖／報系資料照）

[周刊王CTWANT] 在近年的電商大戰中，老牌電商網家（8044，PChome）節節敗退，更在2024年3月一度傳出「倒閉」傳聞。雖然後來出面闢謠，董事長詹宏志還在6月19日股東會上信誓旦旦說「PCHOME要繼續擴張規模，不會裁員」，不料時隔僅半個月，就有媒體接獲爆料，指出PChome要裁撤採購單位，全員轉企劃部門，而設計單位也將於4日公布裁員名單，近期公司更是有一系列操作導致爆發離職潮。

據《三立新聞》報導，有PChome員工匿名爆料，近日接獲公司內部信件，表示由於公司經營狀況問題，設計團隊即將縮編，4日就會公布裁員名單；而採購單位也將裁撤，全員轉為企劃人員。該名員工忿忿不平表示，公司內產品經理「遇缺不補」，公司又從外面找來許多實體通路與momo來的空降部隊，這些新人「錢多事少」，還到處說自己薪資高，導致老員工心理不平衡，引爆大量離職持，網家倉庫都因此卡貨。

這名爆料員工表示，原本好不容易熬上來的網家老員工薪資普遍偏低，本來3個人份的工作，還全部丟給1個人來做。工作內容分配不均的問題，主管全都知道，但是主管們因為怕替同事陳情，會影響自己上級眼中的印象，導致自己也這個特殊時期被裁員，所以紛紛沉默以求自保。

事實上，PChome在2024年破產、倒閉及出售傳聞不斷，詹宏志6月19日在股東會中才強調，「電商是規模經濟，PChome不會停止擴張」，還強調「這兩年沒有任何裁員計畫」。豈料才經過半個月，內部就傳出裁員消息打臉，網家的實際經營狀況著實令人好奇。

針對這次事件，PChome Online網路家庭公司發聲明表示，所稱內容與事實不符。全文如下：

網路家庭營運一切正常，不斷地積極提升營運效能，推動工作流程優化、強化組織績效。面對大環境挑戰，進行動態組織架構調整與持續性地工作職務優化本屬企業營運常態。如報導中指出要裁撤採購單位，全員轉企劃部門，實為因應廠商系統及工作流程優化，組織工作重新劃分，該調整所影響的員工數在10位以內．近期將會依員工意願進行包括職務的調整、安排轉調至其他單位等。

未來，我們將持續與員工攜手並進，為消費者提供更好的服務。

本公司特此鄭重澄清，網路家庭營運一切正常，再次感謝媒體朋友的關心，也懇請媒體朋友報導前應先查證實情，勿輕易採信網路社群上的爆料及不實訊息。

原始連結

看更多 CTWANT 文章

她列「落落長」每月支出表共68萬…喊「給說要養妳的男人」 台男看傻：合理嗎？

江坤俊在家「完全失能」 妻吐結婚20年辛酸：我就是女工

人妻懷疑老公出軌被罵有病 「就診吃藥1個月」終找到證據：就是他心虛",https://tw.news.yahoo.com/6%E6%9C%88%E6%89%8D%E8%AA%AA%E4%B8%8D%E8%A3%81%E5%93%A1-pchome%E5%85%A7%E9%83%A8%E4%BF%A1%E6%9B%9D-2%E5%96%AE%E4%BD%8D-%E4%B8%8B%E5%88%80-%E5%93%A1%E5%B7%A5%E7%88%86%E6%96%99-123838079.html,"[周刊王CTWANT] 
在近年的電商大戰中，老牌電商網家（8044，PChome）節節敗退，更在2024年3月一度傳出「倒閉」傳聞。雖然後來出面闢謠，董事長詹宏志還在6月19日股東會...",Yahoo新聞,2024年07月04日
Geek+機器人入駐全台電商規模最大自動化物流中心 助力PChome效率提升3倍,Geek+ robots settle in Taiwan’s largest e-commerce automated logistics center to help PChome increase efficiency by 3 times,"本文共1313字

數百台Geek+ 物流機器人在PChome最新的林口A7智慧物流園區運作，助力客戶實現24小時內網購到貨的承諾。

AMR機器人24小時不間斷關燈倉庫作業，實現降本提效綠色倉儲。

馬上觀看智慧物流中心影片

台北2024年6月21日 /美通社/ -- 領先物流機器人科企極智嘉（Geek+）協助台灣電商領導品牌PChome網路家庭打造台灣電商規模最大的智能倉儲，數百台Geek+ 機器人進駐樓地板面積約4.5 萬坪的立體化倉儲物流中心—網家林口A7智慧物流園區運作，該物流園區中有3層樓導入了Geek+ 智能物流機器人，協力服務PChome 24h購物全台上千萬會員的網購需求。



With Geekplus robots,PChome has measured a 3x efficiency improvement.

PChome網路家庭是台灣第一家提供全台24小時快速到貨服務電商平台，24年來全年無休，每天都爭分奪秒與時間賽跑。2023年全面啟用的網家林口A7智慧物流園區是目前台灣電商首座以最高密度導入智能科技和全自動化倉儲設備的智慧倉儲，為應對持續攀升的網購需求，履行全台保證24小時到貨的承諾，PChome在A7智慧物流園區導入智能技術和全自動化設備。

PChome網路家庭執行長張瑜珊表示：「我們導入AMR無人搬運車、料盒式與棧板式穿梭車貨架系統、以及台灣少見的『全自動化無人集貨場』來強化自動化出貨效率，並透過與策略夥伴共同優化倉儲與物流效率，提升網家林口A7智慧物流園區的出貨產能，強化我們電商事業的競爭力。」

倉庫部署及設置數百台AMR機器人及逾一萬座貨架，機器人能夠移動重達1000公斤的貨架並搬運到工作站，揀貨員只需要按Geek+智能系統的指示選取指定的商品。

PChome網路家庭指出﹕「在還沒有採用自動化設備之前，是『以人就貨』的作業模式，作業員必須推車步行到貨架揀貨，耗費大量行走時間。導入自動化設備後，現在是『以貨就人』，機器人可以將貨品移動到工作站，作業員只需待在原地揀貨，縮短了一半的步行距離，揀貨效率也提升了3倍。」

作為台灣首家實踐「綠色購物」概念的電商平台，網家林口A7智慧物流園區亦落實減碳管理方針，全力落實永續物流。

極智嘉臺灣業務發展總監蕭定山指出：「極智嘉機器人能在關燈倉庫作業，在不需要照明情況下『摸黑』行走，減低倉庫燈具耗能，在滿足電商全天候訂單履行服務，並同時實踐節能減碳。貨架到人系統更為PChome員工提供更好的工作還境，減少在倉庫體力勞動的工作，實現可持續的綠色物流倉儲。」

網家林口A7智慧物流園區全面啟用以後，助力每天包裹處理量提升1倍以上，預計銷售高峰期每天可以處理達20萬筆訂單。PChome網路家庭24年來一直創新求變，持續為全台上千萬消費者創造多元便捷的網購體驗。

關於極智嘉

極智嘉（Geek+）是物流機器人解決方案的全球領導者，通過自主研發的AMR機器人解決方案，來實現倉庫和供應鏈管理自動化。成立於 2015 年，極智嘉受全球過千個行業領導者的信賴，旗下有 1500 多名員工，在德國、英國、美國、日本、韓國、中國、香港和新加坡設有辦事處。",https://money.udn.com/money/story/123828/8046373,"數百台Geek+ 物流機器人在PChome最新的林口A7智慧物流園區運作，助力客戶實現24小時內網購到貨的承諾。 
AMR機器人24小時不間斷關燈倉庫作業，實現降本提效綠色倉儲。",經濟日報,2024年06月21日
網家股東會／營收月月減 董座詹宏志：電商本業要健康擴張,Wangjia Shareholders Meeting/Revenue decreases month by month Chairman Zhan Hongzhi: E-commerce industry must expand healthily,"本文共565字

網路家庭集團（8044）19日舉行股東會，網家去年虧了半個股本，今年以來每月業績呈現年減，僅5月與去年同期持平。董事長詹宏志不改樂觀，他坦言過去這一年沒什麼好說，2022年8月底上任的新團隊要把過去的舊系統打掉，去年是辛苦的一年，今年「把下水道工程做好再說」，他解釋，大家看到營業上有一部分收縮，但團隊希望把收益和成本結構找出來，支持好的子公司，電商本業要做「健康的擴張」。

他表示，去年有A7的林口新倉交付，有折舊和租金的成本壓力，但今年逐步改好，會占整體六成出貨。另外，店商本業一定要擴張，不過要調整出正確的公式，五、六年前毛利很好，但最近電商參與者眾，電商平台有上百萬種商品銷售，比價網站一比就知道，業者不但要降價，還要用系統設定自動降價，對本來毛利就低的產品例如3C影響很大，不過網家會繼續努力，短期來看營運年對年還有落後，但希望在毛利維持下的狀況營運要持續成長。持續成長。

他也表示，雖然營收減少，但今年第1季的虧損大幅的縮小，去年平均每季虧損超過1.5億元，今年第1季稅前虧損降到300萬元左右。主要是對成本的細節控制有達到成果，其次是前年起調整子公司，處理了短期內無貢獻的子公司， 支持有獲利能力子公司。成本的進一步收斂和子公司獲利貢獻，是讓今年第1季虧損大減的原因。



延伸閱讀

詹宏志：網家市場價值被低估 倉庫負擔今年減輕",https://money.udn.com/money/story/5612/8040210,網路家庭集團（8044）19日舉行股東會，網家去年虧了半個股本，今年以來每月業績呈現年減，僅5月與去年同期持平。不過董事...,經濟日報,2024年06月19日
出售、倒閉傳聞甚囂塵上！網家董座詹宏志：積極洽談合作 不排除任何可能性,"Rumors of sale and bankruptcy are rampant! Zhan Hongzhi, Chairman of Nethome: Actively discuss cooperation and do not rule out any possibility","PChome網路家庭19日召開股東會，董事長詹宏志在會後接受媒體聯訪。戴嘉芬攝



電商集團網路家庭 PChome 今（6/19）召開股東常會。面對今年以來的破產、倒閉和出售傳聞，網家董事長詹宏志表示，相對競爭對手擁有較佳的條件優勢，網家只能在電商低毛利的環境下求存、持續努力，但對未來方向看法樂觀。他強調，目前沒有任何裁員計畫，也會積極洽談各種策略聯盟，包括業務、資本合作，都不排除任何可能性。

詹宏志在股東會後接受媒體聯訪。他首先坦言，並沒有驚天動地的好消息要告訴大家，更糟的是，他也沒有壞消息可以說。

PChome 首季財報日前出爐，虧損幅度已較去年縮小。詹宏志表示，這是由於費用效率掌握得宜，以及子公司陸續開始貢獻營收使然。對於虧損收斂，「當然會很開心，也有了一點點信心，但不敢太樂觀，因為還有更大的考驗和挑戰在後頭。」他也感謝經營團隊，面對這麼多苦難、挫折，他們還是堅守崗位，都是虧損縮小的功臣。

針對目前電商全新的競爭環境，詹宏志說，某些新的競爭者有著不同條件，可以不必以獲利為目標，也可以不管毛利來營運，但 PChome 不能不管；還有些競爭者可以有豐富複雜的收入來源，而 PChome 也沒有這樣的條件。儘管面臨如此惡劣的競爭環境，仍要繼續努力。

詹宏志強調，PChome 以銷售3C商品起家，對於非3C商品著墨較少，但這部分也做了很多努力改善，雖然有進展，但進展速度沒有預期來的快。

詹宏志說，3C銷售本來就是低毛利的行業，加上電商競爭激烈，對手壓低價格，消費者很容易就能進行比價，「我們沒有太多魔術，可以一夜之間把經營環境改變，只能把每一天的小部分都做好。」

不過，詹宏志也強調，「就算毛利再低，我們也要賺錢，要賠錢別人先賠。」要把毛利、成本的最佳方程式找出來然後放大，例如去觀察哪些領域的商品還沒被其他電商開發，這都是未來的成長動能之一。

媒體問到，目前子公司 IPO 進度。詹宏志表示，無法透露細節，目前有些子公司有策略合資夥伴，也有上市目標，正如火如荼進行中。

另對於母公司網家本身是否進行增資或引進其他策略夥伴？詹宏志說，過去10年來，從來沒停止過這類接觸，包括業務、資本上的合作，「可能是我們投資人家，或是人家投資我們，不排除任何可能性。」在適當的時機看到彼此互補性，這個事情才會發生。

媒體也問到近期網家是否會裁員，詹則說，目前沒有任何裁員計畫，也強調他自己是一個沒有領薪水的董事長。

網家經營團隊左起董事長詹宏志、執行長張瑜珊和財務長周磊。戴嘉芬攝

更多太報報導

數位經濟4大產業源頭防詐 網路詐騙廣告最高罰2,500萬

投審司通過 電商酷澎增資台灣60億元

謠傳近期倒閉 PChome重訊澄清資金無虞 將蒐證保留追訴權",https://tw.news.yahoo.com/%E5%87%BA%E5%94%AE-%E5%80%92%E9%96%89%E5%82%B3%E8%81%9E%E7%94%9A%E5%9B%82%E5%A1%B5%E4%B8%8A-%E7%B6%B2%E5%AE%B6%E8%91%A3%E5%BA%A7%E8%A9%B9%E5%AE%8F%E5%BF%97-%E7%A9%8D%E6%A5%B5%E6%B4%BD%E8%AB%87%E5%90%88%E4%BD%9C-%E4%B8%8D%E6%8E%92%E9%99%A4%E4%BB%BB%E4%BD%95%E5%8F%AF%E8%83%BD%E6%80%A7-052941464.html,電商集團—網路家庭PChome今（6/19）召開股東常會。面對今年以來的破產、倒閉和出售傳聞，網家董事長詹宏志表示，相對競爭對手擁有較佳的條件優勢，網家只能在電商低...,Yahoo新聞,2024年06月19日
酷澎折價競爭！PChome董座：保持規模經濟、維持毛利，網家不會停止擴張,"Cool discount competition! PChome Chairman: To maintain economies of scale and maintain gross profit, PChome will not stop expanding.",,https://smart.businessweekly.com.tw/Reading/IndepArticle.aspx?id=6015465,電商集團PChome網路家庭今天召開股東常會，股東抱怨網家虧損連連，不知何時能獲利。網家董事長詹宏志.,Smart自學網,2024年06月19日
