title,title_translated,content,link,snippet,source,date
國票金十大股東出爐未見錦鋐 三大股東維持共治,"The top ten shareholders of Guofanjin were revealed, but no one was found. The three major shareholders maintained co-governance.","本文共738字

國票金控（2889）前十大股東出爐！官股、旺旺以及耐斯持續維持各9.9％持股，延續三大股東共治時代，但原本去年躍升第八大股東的錦鋐氣密窗，此次退出十大股東行列，受到市場關注。

根據國票金控公布資訊，統計至今年4月2日最新前十大股東名單，第一大股東仍為諾威斯、持股比與上一年度相同維持在8.05％，如果加上人旺公司持股1.93％，合計持股仍維持9.98％。耐斯資融名列第二大股東、持股比維持在4.07％，與第四大股東耐斯投資3.21％相加，總持股比為7.28％，據了解，耐斯集團對國票金持股今年也仍維持在9.9％。

與國票金大股東旺旺友好的美麗華，持股比再度出現略降，從2022年的4.81％、到2023年4月降至3.91％，今年4月續降至3.88％，持續坐在第三大股東。台產李家去年原本掉出榜外，但因增持國票金股票，以1.38％持股回到榜內，位居第九大股東。

統計前十大股東中公股行庫對國票金持股總計為8.2％，與上一年度前十大股東中的公股行庫對國票金持股總計8.29％，差距不大，其中差別為，今年台企銀以持股1.32％成為第十大股東，取代去年持股1.41％位居第十大股東的彰銀，彰銀今年已經掉出榜外。但據了解，整體官股對國票金持股比目前仍維持在9.9％。另外，去年以持股1.79％躍升第八大股東的錦鋐，今年直接掉出榜外，等同對國票金持股降至1.32％以下。

國票金今年股東會將在5月31日舉行，股東會討論事項中，首次出現大股東 諾威斯向獨董陳惟龍提起訴訟，認為陳惟龍在會議中霸凌經紀人，並在公司併購、投資以及投資等案，不實言論傷害公司商譽、阻礙公司發展等，對此提案，陳惟龍則透過重大訊息回應，質疑人旺集團身為大股東，可以在董事會上提案討論，卻藉由興訟提案狀告獨立董事，損害公司治理。",https://money.udn.com/money/story/5613/7938849,國票金控（2889）前十大股東出爐！官股、旺旺以及耐斯持續維持各9.9％持股，延續三大股東共治時代，但原本去年躍升第八大股東的錦鋐氣密窗，此次退出十大股東行列，...,經濟日報,2024年05月02日
A20興和特區 稀有微型商辦吸引置產客目光,A20 Xinghe Special Zone’s rare micro-commercial offices attract the attention of property buyers,"近年台商積極回流，讓廠辦與商辦市場極為熱絡，其中又以桃園成為各大企業鎖定的區域，根據「投資台灣三大方案」資料顯示，桃園市獲投資金額全國第一，桃園也因應台商對於商辦、廠辦需求，提出中壢工業區擴大計畫，目前中壢工業區總面積433公頃，進駐率已達97%，桃園市政府預計在既有的中壢工業區北側設置擴區一、二期基地，引進電子零件、機械、金屬等製造業。

不僅中壢工業區，桃園青埔也吸引不少科技業者進駐，像是全球筆記型電腦電池組最大供應商新普科技就以5億餘元購置於桃園高鐵青埔特區之辦公室，而過去台灣人壽也曾砸下63億元「打包」知名氣密窗大廠錦鋐企業位於桃園青埔的廠辦大樓，穩定招商收租。

中壢工業區佔地433公頃，年產值上看4,377億元。 圖／海悅廣告提供

微型商辦需求增 低基期房價搶進商仲業者表示：桃園為國門之都，加上地點優勢，銜接台北與新竹，自然是許多科技工業大廠回台設點的首選，而壽險業者砸錢購買商辦，也是評估好長期穩定的租金收益，加上未來增值潛力，才會吸引入主。

不僅科技大廠進駐，磁吸效應下，下游廠商也積極尋找相關辦公室，也讓不少建商鎖定商業不動產開發。商仲業者表示進一步提到：商辦需求除了相關產業鏈外、新創公司等自用需求，另一龐大商機是來自於網紅、自媒體、電商的竄起，加上桃園低基期房價，讓微型商辦跟著翻紅，成為目前置產客、自用客戶搶進的目標。

商業型態轉變，微型商辦成房產新興焦點。 圖／海悅廣告提供

宏普序時代 A20指標位於機捷A20興和特區的「宏普序時代」就是一例，該案規劃住宅與事務所產品，其中微型商辦受到不少自用客、長期置產客青睞，A20興和特區位置正處於青埔與中壢的接縫帶，區段位置條件佳，該案距機捷A20站僅160公尺，走路3分鐘內就能抵達，鄰接全台唯一貫穿北北桃機場捷運，搭上機捷，無論是到桃園國際機場、青埔轉乘高鐵、中壢轉乘台鐵、或是到雙北都相當便利。

以規劃面來看，「宏普序時代」位居重劃區內核心地段，基地3,065坪，樓層規劃地上23層，逾600坪私人中庭花園，逾千坪綠覆，規模為重劃區之最，而事務所產品樓高4.6米，採首付48萬起即可入主的方案，讓不少具有前瞻性的自用、置產客趨之若鶩。

再者，全案規劃1,025戶戶別，試以單戶2.5人計算，屆時將有2,500人以上之人口入住，對於區域本身之商業能量有一定支撐，再加上捷運軌道經濟，商業價值必將大幅提升。

宏普序時代佇立興和特區核心地段，擁有絕佳發展價值。 圖／海悅廣告提供

買微型商辦 輕鬆當房東商業不動產業者分析：目前中壢商辦租金行情每坪約為800-1200元，且多數是老舊的商辦，加上大中壢地區微型商辦極為稀有，使得上市公司宏普建設的個案，甫公開即吸引不少買氣。

以置產角度來看，置產客多數認為：購入商業不動產收租相對於住宅而言更加穩定，購買商辦穩當房東反而是最佳選擇。

業者表示：過去重劃區推案經驗來看，首推幾案是最具價格優勢的，「宏普序時代」為「興和特區」第二個個案，價位仍屬親民皆段，且整體價格與青埔A18,A19站周邊相比較低；上市品牌建商宏普建設品質佳、品牌力強也是購屋族買單的關鍵；而產品競爭力上，「宏普序時代」一般事務所規劃小坪數及4米6挑高格局、加上低首付條件，不僅幫助SOHO族輕鬆圓夢，也讓看好該區發展的置產客戶積極入主。

瞭解更多：https://pse.is/5jpsp9",https://udn.com/news/story/7314/7732893,近年台商積極回流，讓廠辦與商辦市場極為熱絡，其中又以桃園成為各大企業鎖定的區域，根據「投資台灣三大方案」資料顯示，桃園市獲投資金額全國第一，桃園也因應台商...,聯合新聞網,2024年01月25日
明泰併購前搶進場 前仲琦女副董等6人涉內線交易,Six people including former female vice director Zhongqi were involved in insider trading as Mingtai entered the market before the merger.,,https://www.chinatimes.com/realtimenews/20230718004298-260402,網通廠明泰科技2019年決議斥資48億，私募入股網通設備廠仲琦科技，時任仲琦的劉姓女副董疑在私募案消息公開前，通知家人提早進場購買仲琦股票，內線交易獲利數十萬元，...,中時新聞網,2023年07月18日
重啟安泰銀併購？國票金：不可能原條件談判 未來續尋求標的,"Restart Antaiyin M&A? National ticket fee: It is impossible to negotiate on original conditions, and we will continue to seek targets in the future","鉅亨網記者陳蕙綾 台北 2023-05-31 14:02

國票金今天討論議案全數通過，其中一案為股東錦鋐企業所提的「重啟執行安泰銀併購案」，此案後來經投票通過，贊成比例達 63%，特別是外資股東對此案均投下同意票，顯示全體股東對於國票金控擴大經營版圖的期待。

亦有股東表示意見，並非反對國票金控併購銀行，而是認為安泰銀行授信品質不佳，過去董事會討論時，有獨立董事提出相關的反對意見及看法，從公開訊息得知安泰銀行分別於去年第四季及今年第一季大幅提列備抵呆帳，而使逾放比仍居高不下，未來併購安泰銀行應審慎評估交易條件。

對此，魏啟林於股東會上表示，將銀行業務納入經營範疇，積極對外尋求併購機會，為既定之發展方向，符合公司之最大利益。

他也說明經營團隊在執行安泰銀行併購案的評估過程，均委託外部知名國際財務及法律專業機構，進行盡職調查，其授信資產逾放比率偏高及潛在不良授信資產，均在評估報告中詳實揭露，並且分別以樂觀及悲觀情境分析，設算應增提準備及淨資產價值，惟併購標的是繼續經營中且持續有獲利的銀行，並非被接管之問題銀行，而以淨值估算其價值，應需考量未來經營價值及綜效而給予溢價，依公司所委請的外部顧問計算併購價格，以當時的併購價格估計溢價不超過 10%，尚屬合理，這些都在評估報告中揭露，並且由審計委員會所通過之獨立專家出具價格合理意見書，併購價格及交易條件尚屬合理。

魏啟林強調，國票與安泰銀雙方合約在去年 10 月 13 日已經終止，不可能按原本條件重啟談判，但是未來也不排除對任何銀行再洽商，屆時將依照新環境、架構、條件去談併購，此案精神會繼續，但執行方式要按照新的狀況進行。

除了併購議題，針對本業營運，魏啟林則表示，國票金今年 1-4 月自結累計稅後純益已達 7.4 億元，年成長 20%，EPS 為 0.22 元，4 月底每股淨值 11.15 元。因全球解封，景氣復甦表示樂觀，隨著升息放緩，授信資產結構逐季調整，利差逐漸擴大，而債券投資組合因補券持續，收益率及評價利益回升。證券經紀業務，則因強化數位金融服務與行銷策略，效益逐漸顯現，各子公司獲利回穩，預期上半年有望走出谷底。

國票金完成董事改選。（圖：國票金提供）

國票金今天股東會也順利完成董事改選，三大股東公股、人旺集團以及耐斯集團前三大股東，各自推派三席董事，包含一席獨立董事；美麗華推派 2 席董事包含一席獨立董事，而台灣產險則推派 2 席董事，其中一席法人代表為現任董事長魏啓林。

最新國票金控董事以及獨立董事名單，包含：合作金庫一席、一銀一席，以及現職國票金融控股 (股) 公司董事陳冠舟、現職雷虎科技 (股) 公司董事長陳冠如、國票金控董事長魏啟林、國票金融控股公司董事陳正林、國票金融控股 (股) 公司副董事長蔡紹中、國票金融控股 (股) 公司董事施正峰、國票金融控股 (股) 公司董事楊承羲，一共九席一般董事。

另外獨董為華南銀前總經理張振芳、現任國票金控獨立董事陳惟龍、現任國票金控獨立董事饒世湛、現任國票金控獨立董事陳淑娟，一共四席獨立董事。",https://news.cnyes.com/news/id/5197710,"國票金控(2889-TW) 今(31) 日舉行股東會，最後全數照案通過，順利完成董事改選選舉。其中雖然也通過重啟安泰銀行(2849-TW) 
併購案，但董事長魏啟林表示，不太可能原...",Anue鉅亨,2023年05月31日
「金銀併」破局後還有戲？國票金蔡紹中驚爆辭任副董,"Is there still room for success after the ""Gold and Silver Merger"" is broken? State ticket financier Cai Shaozhong resigns as deputy director in shock","原本會是國內首例的「金銀併」，國票金併安泰銀因大股東間的歧見破局後，今（31）日股東會上再度討論，國票金董座魏啟林回應：「已事過境遷，回不去了！」會後，也驚爆旺旺集團少東蔡紹中辭任國票金董事、副董。

國票金（2889）今日舉行股東會，並進行董監事全面改選，雖然看似和平落幕，但事前並不平靜。清明連假後，兩大股東陣營一度喬不攏人事安排，但最後經公股協調後各方達成共識，候選人名單也從原先共23人降為13人，才轉為同額競選。

值得注意的是，雖然維持三方共治，但今年國票金仍送出超商50元商品卡股東會紀念品，就連不到一張的零股股東也可領取。只是也有小股東上網抱怨領取地點變少，連每日發放份數都有限制。

董監改選落幕後，驚爆蔡紹中辭任董事、副董

攤開國票金前十大股東名單，耐斯陳家從原本5％一口氣增加到9.9％，逼近10％持股上限。而五大股東中，公股、旺旺集團的人旺公司及耐斯集團前三大股東持股均為9.9％，各自推派三席董事，包含一席獨立董事。至於美麗華，則推派兩席董事，包含一席獨立董事；台灣產險推派兩席董事，其中一席法人代表為現任國票金董事長魏啟林。

然而，就在股東會看似和平落幕，旺旺、耐斯及公股三大股東陣營股權均等、維持「共治」局面的同時，傍晚竟又傳出旺旺集團少東蔡紹中將在6月1日董事會上選任新董事長、副董事長時，正式辭去法人代表，並且「不續任」金控副董的消息。

此外，新任總經理也「內定」由國票金董事、耐斯集團二代陳冠舟出任。事實上從耐斯今年積極大幅增持買股，加上「喬出」先前被董事會拔位的陳冠舟弟弟陳冠如的新董事席次，可預見國票金接下來將有更多耐斯陣營的話語權、參與力道可望更深。

此次最受矚目的議案，就是原先經董事會通過的國票金併安泰銀併購案，後因股東間有歧見告上商業法院而破局，契約也在去年10月過期失效。今年4月底，併購案再度由持股1％以上股東錦鋐企業主動提案討論提案重啟討論，此案後來經投票通過，贊成比例達63％。也有股東現場發言，強調不反對併購，但反對不合理的併購條件，要求公司深入評估相關併購標的。

訂閱遠見電子報，掌握國內外大事 訂閱

國票金董事長魏啟林。蘇義傑攝

國票金併購安泰銀，還有戲嗎？

這場「金銀併」究竟還有戲嗎？

不只知識要續航 手機電量也要！現在訂遠見 即贈飛利浦最新磁吸式行動電源

「同樣條件回不去了！」魏啟林回應，雙方合約在去年10月13日已經終止，事過境遷，不可能按原本條件重啟，但是未來也不排除對任何銀行再洽商。屆時將依照新環境、架構、條件去談併購，此案精神會繼續，但執行方式要按照新的狀況進行。

國票金針對此案補充說明提到，銀行業務納入經營範疇，積極對外尋求併購機會，是既定的發展方向，符合公司的最大利益。未來如有合適的併購標的，也會積極爭取並審慎評估。在適當條件及時機下，也不排除與安泰銀行重啟併購交易磋商，但具體交易條件及契約內容，須另依盡職調查結果、標的公司的財務、業務狀況等事項，逐一協商洽談。

今年不配息，四大策略並進

只是，股東最關心的還是經營情況，因為過去兩年國票金均可配發超過1元股利，是不少存股族青睞的標的，但今年卻宣布不發，終止連續13年發放股利的紀錄。

去年國票金完成首次現金增資30億後，實收資本額增為344 .7億元，今年第一季稅後淨利約6億元，跟去年同期相比有微幅成長。但在國內金控大者恆大，金融市場仍然動盪的背景下，內外部均面臨多重挑戰。

而網銀方面，國票金和日本樂天集團合資，其持股49％的樂天國際銀行，開張第二年的表現，今年第一季存款人數已有15.8萬戶，存款餘額 197.8億元，放款餘額為 13.3億元，各較第一年成長213％、586％，步調算是穩扎穩打。

只是，樂天銀行雖有2077萬的淨收益，但也正因營業費用高昂，去年稅後淨損5億4114萬元，每股稅後虧損 0.54元，財務上尚未對國票金有實質貢獻。

展望今年經營目標，國票金董事長魏啟林也在致股東報告書提出四大策略，包括：

一、持續研擬金融機構整併方案，以併購實體商業銀行為首要成長策略。



二、配合主管機關金融創新開放政策，積極協助樂天銀行申請試辦業務，持續累積客戶基礎，以持續提供新種產品及服務。



三、鼓勵子公司間進行業務交流及合作，發展共同金融生態圈，並提升集團整體營運綜效。



四、強化票券、證券、創投及銀行等核心業務的風險管理，以提升各關係企業經營效益，降低金融環境變化對業務衝擊。",https://www.gvm.com.tw/article/103216,原本會是國內首例的「金銀併」，國票金併安泰銀因大股東間的歧見破局後，今（31）日股東會上再度討論，國票金董座魏啟林回應：「已事過境遷，回不去了！,遠見雜誌,2023年05月31日
國票金完成改選 若重啟併安泰銀不會原條件,"The national vote has been re-elected. If it is restarted, Antai Bank will not return to the original conditions.","▲國票金控今（31）日舉行股東會，並順利完成董事改選。（圖／國票金提供）

[NOWnews今日新聞]國票金控今（31）日舉行股東會，並進行董事改選，由於改選前公股已介入協調，2大民股人旺集團、耐斯集團與公股3方協商席次分配定案，因此，今日全數照案通過，董事改選也和平落幕。至於有股東提案重啟執行安泰銀行併購案，也經投票通過，不過，國票金董事長魏啟林表示，不太可能原條件重啟談判，未來不排除對任何銀行洽談併購意願。

國票金今日股東會順利選出第8屆董事（含獨立董事）共13人，其中公股、人旺集團及耐斯集團3大股東，各自推派3席董事，包含1席獨立董事，美麗華推派2席董事包含1席獨立董事，台灣產險則推派2席董事，其中1席法人代表為現任董事長魏啓林。

今日選出的9席一般董事包含合庫銀行1席、第一銀行1席及現任國票金董事長魏啟林、國票金董事陳正林、國票金副董事長蔡紹中、國票金董事施正峰、國票金董事陳冠舟、國票金董事楊承羲及現職雷虎科技董事長陳冠如。另4席獨董包括華南銀前總經理張振芳、現任國票金控獨立董事陳惟龍、現任國票金控獨立董事饒世湛、現任國票金控獨立董事陳淑娟。

董事長魏啟林在股東會上也提到，雖然各國邊境逐漸解封，但去年因為俄烏戰爭爆發、原物料價格上漲等因素，導致全球經濟成長趨緩，金融市場因大幅升息波動加大，國票金去年稅後淨利約新台幣12.8億元，每股稅後盈餘（EPS）為0.41元，而子公司樂天國際銀行經營2年，持續以擴大客戶與資產規模、強化資產品質為經營目的，去年底存放款餘額都呈現年成長，但全年仍虧損5億4000萬元。

展望今年，他說，國票金前4月自結稅後淨利達7.4億元，年成長20%，EPS為0.22元，子公司票券公司也伺機布局優質債券，逐步調整授信結構、擴大利差，預計上半年可望走出谷底。

至於股東錦鋐企業提案討論「重啟執行安泰銀併購案」，今日也投票通過，贊成比例逾6成，也有股東發言不反對併購，而是反對不合理的併購條件，要求公司深入評估相關併購標的。據了解，魏啟林在會中也回應表示，雙方合約在去年10月13日已經終止，事過境遷，不可能按原本條件重啟，未來也不排除對任何銀行再洽商，屆時將依照新環境、架構、條件去談併購，執行方式要按照新的狀況進行。

國票金也補充指出，銀行業務納入經營範疇，積極對外尋求併購機會，是既定的發展方向，符合公司的最大利益。未來若有合適的併購標的，也會積極爭取並審慎評估，在適當條件及時機下，也不排除與安泰銀行重啟併購交易磋商，不過，具體交易條件及契約內容，須另依盡職調查結果、標的公司的財務、業務狀況等事項，逐一協商洽談。

更多 NOWnews 今日新聞 報導

終結連13年發放紀錄 國票金這原因決議不派發股利

新光金經營權之爭！總座吳欣儒法說會避談 僅強調改選依法規辦理

董事改選、外資挺洪士琪派？新光金聲明：僅評估報告",https://tw.news.yahoo.com/%E5%9C%8B%E7%A5%A8%E9%87%91%E5%AE%8C%E6%88%90%E6%94%B9%E9%81%B8-%E8%8B%A5%E9%87%8D%E5%95%9F%E4%BD%B5%E5%AE%89%E6%B3%B0%E9%8A%80%E4%B8%8D%E6%9C%83%E5%8E%9F%E6%A2%9D%E4%BB%B6-085844289.html,[NOWnews今日新聞]國票金控今（31）日舉行股東會，並進行董事改選，由於改選前公股已介入協調，2大民股人旺集團、耐斯集團與公股3方協商席次分配定案，因此，...,Yahoo新聞,2023年05月31日
詐團假冒創世基金會行騙 警籲：數位部快比照誠品追洩漏管道,Fraudulent group pretends to be the Creation Foundation to defraud. Warning: Digital departments should use Eslite to track down leaks.,,https://www.chinatimes.com/realtimenews/20230517003438-260402,刑事局最近發現，歹徒以「＋8869」開頭的來電假冒「創世基金會」致電捐款人，以「系統錯誤」、「信用卡自動扣款」、「定期捐款金額誤植」、「連續扣款」等名義，...,中時新聞網,2023年05月17日
王思佳遭轟「沒有代購存在 」 精品老闆揪1關鍵：是拿假貨,"Wang Sijia was bombarded with saying ""there is no purchasing agent"". The boss of boutique boutique found out the key: it was fake goods",,https://www.chinatimes.com/realtimenews/20230517001136-260404,藝人王思佳近來捲入假包風波，收藏的愛馬仕包被質疑是假貨，雖然送去檢驗仍未能平息質疑聲浪，開直播更是哭到說不出話，從事精品代購業的YouTuber「蹦闆」看完王思佳的...,中時新聞網,2023年05月17日
拉盟友、收委託書 旺旺、耐斯都力拚董事席次過半 國票金經營權開打 揭三大股東攻防內幕,"Attracting allies and collecting power of attorney, Want Want and Nest are striving to obtain more than half of the director seats. The battle for the management rights of Guoqianjin is underway. The inside story of the offense and defense of the three major shareholders is revealed.","國票金控改選戰火開打，二十三名候選人搶十三席為史上最激烈，旺旺與耐斯集團近日頻隔空放話，在五月底召開股東會前，戰火短期恐難結束。

國票金控（以下簡稱國票金）的經營權大戰，戰火愈來愈猛烈！

五月三十一日登場的國票金改選進入倒數計時，根據最新公告的董事改選名單，兩大股東旺旺與耐斯集團各提名十二和八位候選人，要和官股提名的三席，共二十三人搶十三席，僧多粥少下，戰況之激烈可見一斑。

從提名人選來看，無論旺旺蔡家與耐斯陳家皆展現勢在必得的企圖心。現手握七席董事、獨董的旺旺集團，透過法人人旺公司提出四席一般董事人選，台產派的台灣領航資產投資公司則提出二席董事，美麗華德安開發提出二席，最特別的是出現一位董事新面孔呂靜怡，據悉，提名她的盈科實業背後為錦鋐氣密窗，也與寶佳集團相熟，此次都替旺旺助陣。由於過往美麗華、台產、寶佳都屬旺旺友好派，推估旺旺陣營至少提出八席一般董事人選。

▲點擊圖片放大

戰況激烈

各陣營提好提滿 配票定輸贏

值得玩味的是，現任國票金董事長魏啟林是由領航資產提名參選董事，而非目前指派他的人旺公司；另一名董事候選人陳正林，也由目前的人旺公司法人代表改為由家德投資指派，因領航資產與家德投資幕後皆為持股國票金約四％的台灣產險，可見旺旺集團配票策略，為先力保股權相對較少的盟友安全上壘，再將其餘股權配給人旺所提名的席次，確保所有提名人全上。

至於現有三席董事、獨董的大股東耐斯集團，則提名五席董事。除了現任國票金董事暨副總經理陳冠舟、前國票創投董事長陳冠如兩位耐斯集團二代外，還有在證券圈有三十年資歷的前國票證券總經理康惠媚、現任國票期貨監察人詹亢戎，以及投資圈老將戴志毅。

獨董提名人中，此次一共有八名人選，其中國票金獨董饒世湛為旺旺陣營、陳淑娟為美麗華指派，耐斯集團則提出三席獨董：國票金獨董陳惟龍、陳羿君、侯政，公股提出一席。另外包括現任中華郵政退休人員協進會顧問黃振忠、銘傳大學金融科技學院副教授兼主任林盟翔，應該也是旺旺陣營。",https://www.businesstoday.com.tw/article/category/183017/post/202304120027/,國票金控改選戰火開打，二十三名候選人搶十三席為史上最激烈，旺旺與耐斯集團近日頻隔空放話，在五月底召開股東會前，戰火短期恐難結束。,今周刊,2023年04月12日
今年已砸逾196億金融保險業瘋買工業地- 產業,"This year, more than 19.6 billion has been spent on the financial and insurance industry’s crazy purchase of industrial land - Industry",,https://www.ctee.com.tw/news/20221130701013-430503,工業地產過去並不算商用不動產市場上的要角，但是近幾年拜台商積極回流、美中貿易戰開打及疫情爆發後全球產業鏈重組所賜，台灣工業地產市場愈來愈炙手可熱！,工商時報,2022年11月30日
